MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H019802,1993-11-17,1993,11,17,28.8,8.05,84.0,18.2,0.936,0.406,0.225,0.038,1.287,0.095,0.263,0.195,0.046,0.015,7.24,2.1
Cambodia,H019802,1993-12-15,1993,12,15,27.5,7.97,36.0,16.3,0.887,0.353,0.227,0.036,1.187,0.096,0.206,0.14,0.009,0.009,5.69,0.5
Cambodia,H019802,1994-01-18,1994,1,18,28.0,8.1,7.0,18.2,1.09,0.44,0.27,0.042,1.42,0.11,0.3,0.075,0.014,0.01,7.65,1.1
Cambodia,H019802,1994-02-17,1994,2,17,29.6,8.52,2.0,19.0,1.146,0.478,0.335,0.035,1.517,0.05,0.415,0.024,0.001,0.009,7.47,0.7
Cambodia,H019802,1994-03-15,1994,3,15,30.6,7.92,4.0,20.2,1.125,0.461,0.36,0.038,1.5,0.03,0.537,0.015,0.11,0.034,7.2,1.0
Cambodia,H019802,1994-11-21,1994,11,21,28.0,8.11,4.0,14.2,0.855,0.242,0.242,0.042,1.155,0.095,0.069,0.178,0.046,0.04,7.23,2.3
Cambodia,H019802,1994-12-20,1994,12,20,27.4,8.26,3.0,15.4,0.775,0.468,0.25,0.029,1.285,0.116,0.078,0.114,0.002,0.053,7.55,2.3
Cambodia,H019802,1995-02-17,1995,2,17,28.0,8.14,2.0,17.9,1.079,0.442,0.325,0.029,1.477,0.171,0.067,0.004,0.023,0.027,7.51,0.9
Cambodia,H019802,1995-06-16,1995,6,16,31.8,7.89,56.0,19.3,1.059,0.395,0.44,0.06,1.239,0.253,0.33,0.18,0.009,0.05,6.61,1.4
Cambodia,H019802,1995-11-19,1995,11,19,27.2,7.51,68.0,14.3,0.79,0.287,0.32,0.03,1.044,0.216,0.128,0.184,0.02,0.04,7.45,1.1
Cambodia,H019802,1995-12-20,1995,12,20,26.8,8.0,42.0,16.3,0.947,0.363,0.29,0.04,1.272,0.139,0.187,0.157,0.02,0.03,7.56,1.0
Cambodia,H019802,1996-01-22,1996,1,22,27.3,8.38,1.3,17.2,0.99,0.402,0.33,0.03,1.337,0.17,0.152,0.105,0.01,0.02,6.45,0.9
Cambodia,H019802,1996-03-16,1996,3,16,29.5,7.94,3.0,19.6,1.061,0.496,0.399,0.03,1.471,0.228,0.223,0.181,0.08,0.01,7.28,3.0
Cambodia,H019802,1996-04-22,1996,4,22,31.0,7.22,6.5,20.2,1.08,0.481,0.4,0.04,1.498,0.26,0.228,0.072,0.05,0.01,6.98,1.9
Cambodia,H019802,1996-05-29,1996,5,29,29.6,7.17,15.0,12.1,0.557,0.33,0.44,0.04,0.88,0.141,0.251,0.102,0.02,0.03,6.32,2.8
Cambodia,H019802,1996-06-18,1996,6,18,30.4,6.62,47.5,13.1,0.646,0.308,0.29,0.04,0.886,0.188,0.156,0.079,0.03,0.02,6.62,2.5
Cambodia,H019802,1996-11-19,1996,11,19,28.2,7.08,87.0,13.9,0.658,0.248,0.34,0.04,0.962,0.254,0.101,0.198,0.11,0.02,7.49,4.0
Cambodia,H019802,1996-12-15,1996,12,15,25.8,7.1,84.0,15.5,0.744,0.311,0.39,0.04,1.036,0.323,0.12,0.171,0.02,0.02,7.78,1.7
Cambodia,H019802,1997-01-20,1997,1,20,26.8,7.49,12.5,16.1,0.902,0.386,0.33,0.03,1.242,0.165,0.173,0.12,0.06,0.02,7.99,1.7
Cambodia,H019802,1997-02-19,1997,2,19,29.3,7.25,40.0,17.8,0.984,0.41,0.36,0.03,1.338,0.186,0.207,0.02,0.05,0.02,7.23,1.5
Cambodia,H019802,1997-03-18,1997,3,18,29.7,7.25,15.0,19.5,1.016,0.492,0.415,0.04,1.422,0.255,0.181,0.25,0.03,0.04,7.23,2.8
Cambodia,H019802,1997-04-21,1997,4,21,31.3,7.13,2.0,19.3,0.981,0.438,0.45,0.05,1.352,0.284,0.21,0.09,0.07,0.01,7.21,1.5
Cambodia,H019802,1997-05-20,1997,5,20,31.0,7.53,6.7,18.8,0.939,0.471,0.44,0.04,1.29,0.282,0.203,0.05,0.03,0.01,7.41,1.4
Cambodia,H019802,1997-06-19,1997,6,19,31.5,7.62,12.7,18.1,0.908,0.524,0.42,0.04,1.252,0.3,0.301,0.05,0.04,0.006,6.69,2.9
Cambodia,H019802,1997-11-19,1997,11,19,28.5,7.75,60.0,14.6,1.024,0.35,0.2,0.05,1.173,0.1,0.229,0.26,0.07,0.03,7.25,1.2
Cambodia,H019802,1997-12-19,1997,12,19,28.2,7.87,8.0,16.1,1.087,0.438,0.2,0.03,1.322,0.117,0.192,0.2,0.01,0.02,8.1,1.0
Cambodia,H019802,1998-01-19,1998,1,19,29.3,8.2,2.5,18.9,1.166,0.669,0.2,0.03,1.498,0.175,0.245,0.22,0.02,0.02,7.34,2.2
Cambodia,H019802,1998-02-14,1998,2,14,30.0,8.17,6.7,19.8,1.284,0.571,0.33,0.03,1.54,0.133,0.437,0.23,0.03,0.01,7.26,1.7
Cambodia,H019802,1998-04-20,1998,4,20,31.5,8.35,0.3,22.1,1.234,0.48,0.44,0.04,1.568,0.255,0.3,0.07,0.005,0.01,8.77,1.5
