Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
1945,Cambodia,H430102,2017-06-22,2017,6,22,31.188,7.178,107.719,8.438,0.348,0.241,0.235,0.062,0.598,0.099,0.163,0.145,0.039,0.092,7.309,1.697
1199,Cambodia,H430102,2008-10-24,2008,10,24,27.5,7.05,41.0,4.75,0.167,0.118,0.156,0.021,0.32,0.012,0.143,0.193,0.097,0.152,7.09,0.642
1770,Cambodia,H430102,2015-05-26,2015,5,26,30.723,7.053,22.5,14.116,0.642,0.342,0.347,0.049,0.921,0.166,0.287,0.204,0.031,0.094,8.611,1.758
1292,Cambodia,H430102,2010-02-22,2010,2,22,28.0,7.63,6.0,8.41,0.376,0.24,0.177,0.078,0.652,0.138,0.077,0.012,0.05,0.037,7.69,2.223
1620,Cambodia,H430102,2013-03-24,2013,3,24,29.7,6.81,7.5,7.82,0.368,0.271,0.166,0.037,0.624,0.027,0.176,0.053,0.084,0.002,7.736,0.865
1618,Cambodia,H430102,2013-01-25,2013,1,25,29.825,7.0,37.0,6.89,0.343,0.231,0.145,0.033,0.577,0.039,0.14,0.064,0.105,0.065,8.76,1.899
1625,Cambodia,H430102,2013-12-22,2013,12,22,25.3,7.27,41.0,5.83,0.289,0.187,0.135,0.022,0.458,0.03,0.088,0.078,0.041,0.231,8.85,0.692
918,Cambodia,H430102,2006-04-22,2006,4,22,28.5,7.23,36.416,7.5,0.375,0.288,0.168,0.021,0.664,0.083,0.046,0.108,0.009,0.031,6.903,1.947
1624,Cambodia,H430102,2013-11-28,2013,11,28,28.5,7.23,74.0,5.78,0.259,0.224,0.123,0.014,0.473,0.037,0.062,0.196,0.031,0.18,8.241,0.764
666,Cambodia,H430102,2004-12-18,2004,12,18,26.5,7.1,9.0,6.4,0.239,0.166,0.199,0.023,0.473,0.02,0.08,0.004,0.01,0.014,7.968,7.425
1366,Cambodia,H430102,2011-08-25,2011,8,25,27.5,7.3,72.0,4.93,0.179,0.187,0.092,0.033,0.353,0.017,0.119,0.117,0.025,0.103,7.516,6.623
1488,Cambodia,H430102,2012-04-22,2012,4,22,30.0,7.18,7.0,8.54,0.312,0.268,0.126,0.147,0.579,0.028,0.218,0.094,0.062,0.058,6.401,3.57
916,Cambodia,H430102,2006-02-18,2006,2,18,27.5,7.55,5.0,6.07,0.269,0.142,0.145,0.026,0.416,0.019,0.19,0.006,0.03,0.002,7.611,1.049
786,Cambodia,H430102,2005-07-15,2005,7,15,30.5,7.35,26.0,3.5,0.231,0.053,0.079,0.022,0.234,0.019,0.128,0.202,0.025,0.055,5.078,1.572
1295,Cambodia,H430102,2010-12-16,2010,12,16,28.5,7.1,51.0,6.79,0.343,0.096,0.22,0.022,0.468,0.023,0.192,0.053,0.053,0.026,3.995,0.77
788,Cambodia,H430102,2005-10-20,2005,10,20,27.1,6.67,53.0,4.03,0.128,0.096,0.127,0.017,0.258,0.015,0.091,0.075,0.103,0.023,8.081,4.003
789,Cambodia,H430102,2005-11-22,2005,11,22,26.4,6.74,10.0,3.6,0.119,0.099,0.116,0.015,0.255,0.016,0.052,0.059,0.045,0.023,7.866,1.192
1075,Cambodia,H430102,2007-11-21,2007,11,21,24.0,7.1,72.001,3.9,0.15,0.126,0.118,0.02,0.316,0.014,0.096,0.25,0.068,0.134,8.36,1.475
1487,Cambodia,H430102,2012-03-23,2012,3,23,29.7,6.87,21.0,7.88,0.345,0.253,0.133,0.079,0.532,0.032,0.186,0.049,0.075,0.035,7.354,0.787
665,Cambodia,H430102,2004-10-24,2004,10,24,25.5,6.96,14.0,4.7,0.221,0.17,0.094,0.002,0.434,0.019,0.022,0.004,0.023,0.058,6.21,2.693
1943,Cambodia,H430102,2017-03-23,2017,3,23,30.41,7.538,17.35,6.82,0.38,0.135,0.124,0.062,0.451,0.096,0.123,0.076,0.044,0.122,7.78,0.843
787,Cambodia,H430102,2005-09-28,2005,9,28,26.6,6.27,56.0,3.21,0.159,0.047,0.106,0.021,0.271,0.019,0.052,0.073,0.006,0.025,7.095,1.84
1699,Cambodia,H430102,2014-03-24,2014,3,24,29.5,7.81,18.0,8.231,0.385,0.286,0.12,0.036,0.673,0.035,0.174,0.092,0.049,0.015,7.849,0.446
1195,Cambodia,H430102,2008-05-25,2008,5,25,28.7,7.34,84.0,3.83,0.129,0.118,0.072,0.034,0.256,0.022,0.11,0.084,0.017,0.113,5.041,3.489
1947,Cambodia,H430102,2017-10-19,2017,10,19,29.0,7.06,70.5,4.52,0.113,0.14,0.17,0.058,0.326,0.035,0.077,0.126,0.048,0.075,5.763,1.838
1068,Cambodia,H430102,2007-01-24,2007,1,24,28.7,6.86,5.0,5.64,0.252,0.193,0.113,0.026,0.521,0.014,0.055,0.01,0.0,0.019,7.895,4.248
923,Cambodia,H430102,2006-12-18,2006,12,18,28.0,6.59,8.0,4.95,0.189,0.159,0.174,0.024,0.446,0.05,0.017,0.127,0.01,0.045,7.998,7.34
1621,Cambodia,H430102,2013-04-23,2013,4,23,31.2,6.99,9.5,7.2,0.326,0.244,0.134,0.035,0.608,0.029,0.123,0.039,0.011,0.034,7.564,1.511
1948,Cambodia,H430102,2017-12-20,2017,12,20,26.6,7.35,74.567,6.87,0.306,0.219,0.178,0.042,0.478,0.049,0.16,0.107,0.046,0.165,8.83,1.63
1942,Cambodia,H430102,2017-02-21,2017,2,21,29.379,7.459,36.69,7.682,0.324,0.273,0.156,0.067,0.578,0.098,0.156,0.068,0.03,0.052,6.26,0.716
1198,Cambodia,H430102,2008-08-21,2008,8,21,28.0,7.59,44.0,3.79,0.166,0.111,0.107,0.022,0.317,0.012,0.087,0.056,0.04,0.107,7.281,2.739
1069,Cambodia,H430102,2007-02-24,2007,2,24,29.2,7.18,6.0,6.28,0.302,0.209,0.121,0.028,0.607,0.017,0.032,0.001,0.015,0.023,7.387,5.297
1485,Cambodia,H430102,2012-01-25,2012,1,25,28.5,6.95,10.0,6.12,0.199,0.111,0.189,0.078,0.394,0.059,0.113,0.197,0.025,0.045,8.686,1.247
1197,Cambodia,H430102,2008-07-16,2008,7,16,28.5,7.36,41.0,4.4,0.174,0.156,0.091,0.026,0.336,0.009,0.117,0.087,0.013,0.088,6.663,1.591
1492,Cambodia,H430102,2012-10-25,2012,10,25,30.0,6.64,46.0,6.26,0.235,0.185,0.14,0.076,0.425,0.032,0.156,0.079,0.026,0.041,7.126,1.125
1700,Cambodia,H430102,2014-04-25,2014,4,25,28.2,7.48,35.0,7.87,0.308,0.336,0.178,0.033,0.66,0.041,0.107,0.145,0.034,0.049,10.097,0.0
1767,Cambodia,H430102,2015-01-22,2015,1,22,28.9,7.15,18.0,6.314,0.278,0.184,0.141,0.032,0.486,0.043,0.104,0.019,0.026,0.01,5.945,4.148
1074,Cambodia,H430102,2007-10-21,2007,10,21,25.5,7.12,77.001,4.12,0.175,0.129,0.098,0.018,0.353,0.017,0.079,0.059,0.03,0.076,7.767,0.129
1946,Cambodia,H430102,2017-07-25,2017,7,25,30.13,7.23,69.0,6.929,0.29,0.2,0.104,0.044,0.431,0.038,0.234,0.06,0.044,0.105,7.365,1.65
782,Cambodia,H430102,2005-02-18,2005,2,18,29.0,7.29,38.0,6.6,0.348,0.103,0.134,0.022,0.576,0.018,0.039,0.005,0.012,0.005,6.418,7.096
1368,Cambodia,H430102,2011-12-28,2011,12,28,25.0,7.26,108.0,5.35,0.248,0.144,0.071,0.051,0.39,0.027,0.11,0.134,0.012,0.058,7.347,0.966
785,Cambodia,H430102,2005-05-27,2005,5,27,30.5,7.82,15.0,6.6,0.269,0.147,0.189,0.032,0.593,0.02,0.043,0.017,0.022,0.02,6.355,2.372
1196,Cambodia,H430102,2008-06-21,2008,6,21,29.5,7.68,68.0,4.17,0.115,0.159,0.092,0.024,0.289,0.013,0.124,0.175,0.044,0.042,7.267,2.247
1193,Cambodia,H430102,2008-01-16,2008,1,16,28.7,7.46,9.0,6.29,0.241,0.235,0.119,0.019,0.498,0.014,0.109,0.103,0.029,0.157,7.235,0.823
922,Cambodia,H430102,2006-11-22,2006,11,22,29.5,6.78,17.0,7.28,0.23,0.25,0.202,0.021,0.702,0.016,0.046,0.036,0.009,0.037,7.63,0.635
783,Cambodia,H430102,2005-03-18,2005,3,18,29.7,8.03,40.0,8.4,0.299,0.288,0.242,0.026,0.64,0.122,0.067,0.005,0.008,0.014,7.81,9.34
1293,Cambodia,H430102,2010-06-24,2010,6,24,31.5,6.882,23.5,7.55,0.226,0.284,0.262,0.03,0.566,0.05,0.144,0.029,0.023,0.051,6.941,1.498
1944,Cambodia,H430102,2017-04-20,2017,4,20,30.7,7.1,24.917,7.5,0.32,0.2,0.17,0.02,0.521,0.135,0.11,0.075,0.037,0.075,7.25,0.846
1491,Cambodia,H430102,2012-09-23,2012,9,23,29.5,7.17,112.667,11.25,0.202,0.798,0.191,0.021,1.013,0.031,0.118,0.136,0.044,0.137,7.212,2.324
1076,Cambodia,H430102,2007-12-15,2007,12,15,24.0,6.99,9.333,5.77,0.237,0.192,0.129,0.02,0.466,0.091,0.081,0.021,0.0,0.044,7.961,0.883
781,Cambodia,H430102,2005-01-25,2005,1,25,30.0,7.0,24.0,6.8,0.338,0.205,0.134,0.02,0.521,0.111,0.05,0.016,0.003,0.024,5.916,2.865
1364,Cambodia,H430102,2011-02-27,2011,2,27,28.0,6.98,20.0,8.41,0.31,0.254,0.177,0.078,0.549,0.031,0.183,0.099,0.025,0.037,7.054,0.787
1768,Cambodia,H430102,2015-02-24,2015,2,24,29.8,7.166,10.0,4.586,0.134,0.151,0.131,0.049,0.318,0.044,0.105,0.029,0.04,0.005,6.754,3.303
1073,Cambodia,H430102,2007-08-26,2007,8,26,27.8,7.17,84.668,3.4,0.161,0.087,0.097,0.022,0.295,0.014,0.076,0.087,0.022,0.045,6.88,1.731
1769,Cambodia,H430102,2015-04-24,2015,4,24,29.1,7.274,8.5,13.539,0.503,0.332,0.418,0.065,0.85,0.213,0.243,0.081,0.073,0.104,8.745,1.069
784,Cambodia,H430102,2005-04-26,2005,4,26,31.8,7.43,14.0,8.6,0.311,0.242,0.232,0.053,0.627,0.028,0.195,0.029,0.009,0.015,6.921,5.792
915,Cambodia,H430102,2006-01-21,2006,1,21,27.9,7.53,13.0,5.89,0.242,0.103,0.179,0.021,0.388,0.021,0.145,0.008,0.005,0.023,7.916,1.643
1489,Cambodia,H430102,2012-05-28,2012,5,28,31.7,7.1,9.0,6.67,0.263,0.2,0.127,0.078,0.441,0.035,0.184,0.315,0.074,0.22,7.1,2.8
1072,Cambodia,H430102,2007-07-24,2007,7,24,30.5,7.06,39.334,3.74,0.181,0.105,0.097,0.024,0.353,0.019,0.07,0.099,0.048,0.055,6.889,2.36
1486,Cambodia,H430102,2012-02-24,2012,2,24,29.3,7.05,17.0,5.43,0.162,0.145,0.13,0.078,0.34,0.04,0.184,0.142,0.021,0.068,7.417,0.787
1200,Cambodia,H430102,2008-11-22,2008,11,22,27.0,6.95,36.0,5.02,0.224,0.148,0.107,0.017,0.423,0.017,0.064,0.048,0.058,0.084,7.084,0.355
1619,Cambodia,H430102,2013-02-23,2013,2,23,29.9,6.71,9.0,7.26,0.314,0.318,0.126,0.021,0.609,0.036,0.092,0.048,0.058,0.017,8.24,0.79
1247,Cambodia,H430102,2009-12-24,2009,12,24,28.0,7.02,68.5,7.01,0.374,0.199,0.136,0.033,0.574,0.055,0.121,0.043,0.006,0.037,7.392,0.404
790,Cambodia,H430102,2005-12-26,2005,12,26,24.3,6.54,33.0,3.8,0.131,0.055,0.195,0.024,0.354,0.016,0.063,0.068,0.008,0.011,8.536,3.283
