Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
746,Cambodia,H020107,2005-11-25,2005,11,25,27.4,6.31,2.0,11.97,0.415,0.434,0.313,0.066,0.947,0.1,0.148,0.013,0.101,0.048,3.837,6.896
1459,Cambodia,H020107,2012-08-25,2012,8,25,28.0,7.12,82.0,10.99,0.416,0.264,0.312,0.14,0.678,0.103,0.282,0.056,0.062,0.119,1.585,5.845
1050,Cambodia,H020107,2007-10-22,2007,10,22,28.6,6.51,15.333,9.59,0.428,0.237,0.252,0.04,0.731,0.134,0.046,0.0,0.04,0.039,2.299,5.785
1594,Cambodia,H020107,2013-10-27,2013,10,27,30.0,6.5,14.0,10.95,0.576,0.204,0.313,0.044,0.794,0.112,0.166,0.073,0.027,0.058,4.025,4.129
1692,Cambodia,H020107,2014-05-25,2014,5,25,31.1,7.09,101.0,17.7,0.816,0.464,0.441,0.047,1.054,0.268,0.36,0.254,0.144,0.027,6.783,2.168
745,Cambodia,H020107,2005-10-20,2005,10,20,29.7,6.06,2.0,11.48,0.535,0.226,0.3,0.048,0.818,0.129,0.101,0.008,0.142,0.047,5.506,6.973
1908,Cambodia,H020107,2017-03-22,2017,3,22,30.56,7.707,77.5,24.6,1.123,0.782,0.449,0.077,1.678,0.321,0.459,0.155,0.094,0.125,7.534,1.8
1755,Cambodia,H020107,2015-02-23,2015,2,23,29.2,7.164,75.0,10.481,0.466,0.272,0.281,0.045,0.73,0.153,0.142,0.336,0.116,0.199,7.889,2.169
1049,Cambodia,H020107,2007-09-22,2007,9,22,26.5,6.73,14.5,10.99,0.49,0.302,0.338,0.045,0.917,0.182,0.103,0.0,0.07,0.068,2.707,5.977
1350,Cambodia,H020107,2011-08-27,2011,8,27,29.5,6.94,88.0,15.85,0.533,0.506,0.31,0.136,0.995,0.042,0.518,0.177,0.007,0.119,6.86,0.819
1911,Cambodia,H020107,2017-10-20,2017,10,20,30.0,6.98,52.0,15.53,0.635,0.419,0.323,0.073,1.023,0.235,0.178,0.038,0.049,0.158,7.267,2.065
1167,Cambodia,H020107,2008-05-25,2008,5,25,28.4,6.68,85.0,12.76,0.41,0.36,0.564,0.042,0.783,0.192,0.386,0.152,0.034,0.095,3.273,6.711
883,Cambodia,H020107,2006-01-18,2006,1,18,27.1,7.12,22.0,15.84,0.896,0.274,0.364,0.033,1.134,0.179,0.216,0.153,0.063,0.076,4.09,5.065
1909,Cambodia,H020107,2017-05-22,2017,5,22,31.145,7.94,92.7,21.885,1.123,0.593,0.518,0.062,1.627,0.285,0.354,0.06,0.123,0.08,8.641,2.353
887,Cambodia,H020107,2006-12-19,2006,12,19,23.5,6.72,3.0,15.82,0.787,0.431,0.4,0.021,1.398,0.182,0.134,0.025,0.032,0.04,6.273,8.78
1595,Cambodia,H020107,2013-11-28,2013,11,28,29.0,6.68,7.5,13.9,0.665,0.387,0.276,0.022,1.036,0.286,0.145,0.019,0.064,0.077,5.226,4.238
885,Cambodia,H020107,2006-10-21,2006,10,21,29.7,6.85,39.0,9.21,0.34,0.19,0.321,0.038,0.708,0.129,0.109,0.021,0.148,0.072,4.273,8.738
1279,Cambodia,H020107,2010-10-23,2010,10,23,29.0,6.7,6.0,10.1,0.485,0.207,0.19,0.041,0.856,0.068,0.07,0.063,0.079,0.096,1.237,7.764
