Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3948,Viet Nam,H988316,2006-04-15,2006,4,15,27.5,7.07,51.0,18.2,0.775,0.546,0.538,0.051,1.038,0.34,0.375,0.358,0.098,0.18,5.81,3.4
3946,Viet Nam,H988316,2006-02-15,2006,2,15,25.3,7.04,39.0,13.5,0.705,0.333,0.281,0.05,0.831,0.351,0.179,0.557,0.036,0.091,6.211,3.62
3986,Viet Nam,H988316,2007-09-15,2007,9,15,27.6,6.98,88.0,11.5,0.638,0.234,0.173,0.025,0.747,0.175,0.182,0.18,0.035,0.126,5.87,5.73
3950,Viet Nam,H988316,2006-10-15,2006,10,15,26.1,7.1,20.0,9.7,0.449,0.308,0.181,0.031,0.606,0.251,0.135,0.133,0.058,0.166,6.574,2.49
3799,Viet Nam,H988316,2004-09-15,2004,9,15,30.0,7.0,18.5,11.5,1.016,0.007,0.182,0.038,0.976,0.124,0.044,0.261,0.021,0.151,6.302,2.36
4065,Viet Nam,H988316,2008-12-15,2008,12,15,27.5,6.96,74.0,9.2,0.42,0.22,0.285,0.037,0.749,0.177,0.075,0.142,0.067,0.101,5.636,5.45
3875,Viet Nam,H988316,2005-01-15,2005,1,15,27.5,7.0,3.5,12.5,0.618,0.308,0.314,0.047,0.864,0.3,0.152,0.406,0.08,0.034,6.406,3.36
3993,Viet Nam,H988316,2007-12-15,2007,12,15,30.0,6.5,76.0,9.1,0.378,0.248,0.245,0.035,0.619,0.194,0.098,0.111,0.113,0.126,5.849,4.12
4078,Viet Nam,H988316,2009-02-15,2009,2,15,27.6,6.72,38.5,11.3,0.59,0.16,0.263,0.03,0.765,0.182,0.092,0.36,0.034,0.112,5.547,5.9
3969,Viet Nam,H988316,2007-05-15,2007,5,15,31.5,7.01,41.5,16.3,0.611,0.377,0.545,0.054,0.774,0.303,0.365,0.433,0.054,0.139,5.08,5.04
3879,Viet Nam,H988316,2005-04-15,2005,4,15,28.2,6.95,57.5,23.6,1.239,0.488,0.448,0.045,1.495,0.451,0.234,0.06,0.004,0.195,5.69,7.63
3951,Viet Nam,H988316,2006-11-15,2006,11,15,26.7,6.52,29.0,8.8,0.284,0.314,0.257,0.046,0.614,0.25,0.034,0.132,0.081,0.1,5.309,5.04
3802,Viet Nam,H988316,2004-12-15,2004,12,15,29.0,7.06,20.0,11.5,0.492,0.31,0.319,0.051,0.923,0.198,0.12,0.323,0.023,0.123,6.247,3.82
3992,Viet Nam,H988316,2007-11-15,2007,11,15,28.4,6.4,45.5,9.3,0.493,0.223,0.176,0.03,0.728,0.162,0.096,0.023,0.011,0.149,7.0,4.06
3976,Viet Nam,H988316,2007-07-15,2007,7,15,27.7,6.9,41.0,18.0,0.88,0.348,0.352,0.049,0.74,0.316,0.692,0.302,0.091,0.069,5.89,4.69
3949,Viet Nam,H988316,2006-09-15,2006,9,15,24.8,7.05,42.5,9.9,0.563,0.224,0.156,0.036,0.676,0.28,0.106,0.083,0.068,0.204,5.2,2.57
3886,Viet Nam,H988316,2005-09-15,2005,9,15,27.9,7.34,37.0,12.3,0.766,0.24,0.163,0.033,0.96,0.071,0.109,0.136,0.145,0.032,7.073,1.3
4028,Viet Nam,H988316,2008-06-15,2008,6,15,26.3,6.76,56.0,18.4,0.83,0.44,0.398,0.035,1.055,0.423,0.278,0.106,0.114,0.089,6.23,2.79
4114,Viet Nam,H988316,2009-06-15,2009,6,15,27.0,7.28,78.0,16.2,0.7,0.37,0.465,0.058,1.099,0.228,0.269,0.429,0.083,0.169,6.23,4.2
4312,Viet Nam,H988316,2019-09-16,2019,9,16,28.4,7.22,65.0,7.3,0.387,0.128,0.194,0.051,0.564,0.106,0.095,0.264,0.058,0.209,4.57,3.96
