Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
2097,Lao PDR,H013401,2001-03-15,2001,3,15,28.0,8.26,23.0,26.0,1.415,0.652,0.19,0.016,1.774,0.21,0.58,0.12,0.046,0.013,6.95,0.4
2174,Lao PDR,H013401,2004-02-20,2004,2,20,23.0,8.28,22.0,13.2,0.689,0.47,0.16,0.005,0.871,0.158,0.281,0.051,0.018,0.025,7.1,1.168
2375,Lao PDR,H013401,2008-05-15,2008,5,15,30.0,7.57,10.0,19.65,1.073,0.457,0.38,0.038,1.309,0.337,0.283,0.494,0.017,0.064,8.64,1.276
2371,Lao PDR,H013401,2008-01-10,2008,1,10,24.0,7.1,1.0,23.1,1.488,0.486,0.425,0.038,1.838,0.354,0.31,0.252,0.043,0.051,5.75,1.11
2146,Lao PDR,H013401,2003-05-17,2003,5,17,30.8,7.23,26.0,22.05,1.565,0.372,0.216,0.042,1.704,0.246,0.255,0.153,0.06,0.035,7.01,1.2
2374,Lao PDR,H013401,2008-04-24,2008,4,24,30.0,7.63,7.0,24.8,1.426,0.543,0.408,0.051,1.625,0.464,0.565,0.183,0.039,0.017,7.6,1.555
2268,Lao PDR,H013401,2006-02-15,2006,2,15,24.0,7.0,60.0,23.5,1.286,0.619,0.437,0.043,1.619,0.392,0.488,0.136,0.023,0.02,7.5,0.82
2176,Lao PDR,H013401,2004-04-20,2004,4,20,24.8,6.68,20.0,24.6,1.51,0.573,0.195,0.006,1.772,0.244,0.469,0.054,0.009,0.013,6.7,1.175
2175,Lao PDR,H013401,2004-03-24,2004,3,24,28.0,8.0,18.0,14.7,1.045,0.22,0.174,0.007,0.907,0.275,0.297,0.086,0.014,0.026,6.96,1.312
2270,Lao PDR,H013401,2006-04-23,2006,4,23,30.0,7.8,23.0,24.6,1.29,0.542,0.597,0.04,1.812,0.343,0.378,0.087,0.045,0.032,7.5,0.862
2096,Lao PDR,H013401,2001-02-16,2001,2,16,24.0,8.35,18.0,25.4,1.523,0.667,0.168,0.016,1.836,0.193,0.315,0.03,0.035,0.007,7.03,0.2
2625,Lao PDR,H013401,2016-02-11,2016,2,11,22.2,7.01,25.5,25.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.32,0.03,0.02,6.91,2.3
2100,Lao PDR,H013401,2001-12-13,2001,12,13,26.0,8.13,76.0,21.1,1.023,0.511,0.11,0.025,1.784,0.188,0.265,0.237,0.02,0.034,7.1,1.8
2327,Lao PDR,H013401,2007-05-19,2007,5,19,31.0,7.7,25.0,29.0,1.523,0.631,0.587,0.016,1.811,0.3,0.551,0.143,0.039,0.011,7.865,0.138
2130,Lao PDR,H013401,2002-12-17,2002,12,17,26.0,7.27,76.0,15.6,1.477,0.101,0.102,0.02,1.815,0.132,0.115,0.002,0.029,0.024,6.51,0.5
2373,Lao PDR,H013401,2008-03-14,2008,3,14,24.5,7.97,10.0,25.0,1.438,0.527,0.4,0.041,2.03,0.4,0.209,0.212,0.023,0.018,8.56,1.555
2462,Lao PDR,H013401,2010-12-15,2010,12,15,26.0,7.59,26.0,20.29,1.24,0.487,0.343,0.032,1.359,0.216,0.517,0.308,0.034,0.027,8.09,3.3
2629,Lao PDR,H013401,2016-07-22,2016,7,22,28.5,6.6,114.25,14.3,0.753,0.321,0.151,0.041,0.801,0.252,0.172,0.27,0.02,0.01,6.02,6.24
2323,Lao PDR,H013401,2007-01-20,2007,1,20,29.0,7.9,20.0,24.1,1.425,0.547,0.354,0.008,1.847,0.06,0.319,0.18,0.073,0.01,10.35,0.88
2147,Lao PDR,H013401,2003-06-17,2003,6,17,29.0,7.44,52.0,20.24,1.548,0.297,0.2,0.035,1.629,0.218,0.239,0.301,0.044,0.025,6.9,0.9
2494,Lao PDR,H013401,2011-06-14,2011,6,14,26.0,7.39,87.0,15.72,0.862,0.325,0.337,0.04,1.026,0.289,0.287,0.346,0.018,0.043,5.87,2.025
2326,Lao PDR,H013401,2007-04-22,2007,4,22,31.0,7.23,74.0,25.8,1.445,0.545,0.397,0.01,1.761,0.328,0.425,0.132,0.078,0.057,10.822,2.669
2144,Lao PDR,H013401,2003-01-14,2003,1,14,23.0,7.64,22.0,19.5,1.472,0.376,0.168,0.06,1.641,0.173,0.201,0.178,0.03,0.04,7.1,1.6
2523,Lao PDR,H013401,2013-06-13,2013,6,13,25.7,7.03,65.0,18.7,1.0,0.617,0.326,0.023,1.4,0.234,0.354,0.38,0.03,0.13,8.64,2.0
2461,Lao PDR,H013401,2010-08-17,2010,8,17,26.0,7.24,98.0,13.7,0.899,0.288,0.175,0.035,0.943,0.137,0.24,0.305,0.108,0.039,7.98,3.724
2272,Lao PDR,H013401,2006-07-13,2006,7,13,27.0,7.22,74.0,16.27,1.065,0.353,0.157,0.04,1.43,0.103,0.122,0.492,0.03,0.037,6.62,2.734
2459,Lao PDR,H013401,2010-04-21,2010,4,21,28.0,7.31,73.0,21.46,1.092,0.494,0.396,0.059,1.558,0.287,0.185,0.263,0.034,0.06,7.16,1.724
2631,Lao PDR,H013401,2016-11-23,2016,11,23,27.2,7.21,80.6,19.9,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.3,0.01,0.02,6.2,4.22
2125,Lao PDR,H013401,2002-03-19,2002,3,19,26.1,8.1,42.0,24.5,1.467,0.167,0.116,0.012,1.907,0.24,0.463,0.095,0.068,0.018,7.11,1.2
2624,Lao PDR,H013401,2016-02-04,2016,2,4,21.9,6.7,36.0,26.9,0.0,0.0,0.0,0.0,1.545,0.0,0.0,0.22,0.042,0.03,7.8,1.12
2325,Lao PDR,H013401,2007-03-13,2007,3,13,28.0,7.64,10.0,25.0,1.34,0.545,0.458,0.01,1.725,0.349,0.349,0.013,0.022,0.019,7.816,1.015
2630,Lao PDR,H013401,2016-10-21,2016,10,21,28.2,6.91,101.0,20.6,1.14,0.35,0.175,0.05,1.502,0.118,0.178,0.33,0.02,0.02,6.45,4.01
2572,Lao PDR,H013401,2015-04-21,2015,4,21,27.7,8.14,24.0,23.8,1.55,0.691,0.383,0.059,1.4,0.535,0.521,0.44,0.01,0.03,5.85,1.6
2217,Lao PDR,H013401,2005-05-17,2005,5,17,26.0,7.53,16.0,26.0,1.15,0.517,0.84,0.07,1.72,0.199,0.662,0.172,0.103,0.026,5.8,1.075
2128,Lao PDR,H013401,2002-07-18,2002,7,18,29.0,7.53,110.0,19.8,1.038,0.346,0.091,0.014,1.126,0.101,0.126,0.246,0.058,0.036,7.84,2.0
2570,Lao PDR,H013401,2015-01-29,2015,1,29,23.7,7.81,22.0,21.7,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.46,0.01,0.17,7.87,2.0
2427,Lao PDR,H013401,2009-06-19,2009,6,19,30.0,7.55,115.0,18.9,1.237,0.339,0.32,0.04,1.538,0.169,0.213,0.292,0.082,0.054,7.2,2.4
2493,Lao PDR,H013401,2011-04-18,2011,4,18,29.0,7.89,12.0,19.07,1.082,0.45,0.345,0.039,1.415,0.254,0.384,0.122,0.087,0.016,6.6,3.2
2372,Lao PDR,H013401,2008-02-13,2008,2,13,23.5,7.0,27.0,23.5,1.339,0.645,0.482,0.039,1.778,0.322,0.368,0.154,0.046,0.049,9.64,0.991
2524,Lao PDR,H013401,2013-07-26,2013,7,26,24.8,7.07,96.5,16.2,1.1,0.35,0.209,0.033,1.4,0.121,0.212,0.226,0.02,0.01,7.05,4.02
