Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
2961,Thailand,H010501,2000-09-13,2000,9,13,24.0,7.68,1.591,19.5,1.433,0.357,0.318,0.042,1.543,0.183,0.252,0.222,0.044,0.037,8.99,0.6
2960,Thailand,H010501,2000-02-14,2000,2,14,19.7,7.87,72.0,26.9,1.299,0.44,0.487,0.045,1.96,0.267,0.143,0.248,0.095,0.025,8.63,0.3
3309,Thailand,H010501,2011-06-14,2011,6,14,26.5,7.835,117.5,24.15,1.422,0.574,0.458,0.054,1.769,0.323,0.626,0.48,0.017,0.089,7.85,4.714
3119,Thailand,H010501,2006-01-16,2006,1,16,18.2,8.11,67.0,27.5,1.558,0.749,0.495,0.041,2.003,0.33,0.616,0.27,0.078,0.061,8.65,2.959
2892,Thailand,H010501,1997-01-15,1997,1,15,17.5,8.36,75.0,24.8,1.52,0.535,0.412,0.057,1.933,0.216,0.536,0.357,0.012,0.067,9.14,1.2
2823,Thailand,H010501,1994-04-14,1994,4,14,23.7,8.51,108.0,29.2,1.554,0.592,0.748,0.074,1.986,0.334,0.466,0.429,0.098,0.041,8.248,0.1
3433,Thailand,H010501,2014-01-13,2014,1,13,20.8,6.53,29.833,24.6,1.477,0.649,0.385,0.033,1.848,0.208,0.594,0.329,0.046,0.028,9.27,1.256
3282,Thailand,H010501,2010-10-18,2010,10,18,24.0,6.8,108.0,21.44,1.49,0.46,0.258,0.038,1.546,0.135,0.522,0.421,0.014,0.106,8.85,3.31
2866,Thailand,H010501,1996-02-15,1996,2,15,18.5,7.73,88.0,27.0,1.488,0.672,0.396,0.045,1.995,0.271,0.554,0.286,0.081,0.083,8.84,1.8
3281,Thailand,H010501,2010-02-15,2010,2,15,20.0,7.51,28.0,27.82,1.566,0.744,0.609,0.066,2.126,0.274,0.556,0.216,0.024,0.02,6.65,1.674
3334,Thailand,H010501,2012-11-12,2012,11,12,25.7,6.31,110.667,21.6,1.354,0.517,0.342,0.035,1.78,0.182,0.495,0.36,0.019,0.135,7.96,3.558
2744,Thailand,H010501,1990-03-13,1990,3,13,22.0,7.84,115.0,28.4,1.353,0.504,0.63,0.044,1.952,0.324,0.445,0.289,0.0,0.016,8.67,1.5
3045,Thailand,H010501,2004-04-19,2004,4,19,25.0,7.72,52.0,13.4,0.746,0.391,0.294,0.084,1.298,0.185,0.099,0.13,0.049,0.114,7.75,3.08
2917,Thailand,H010501,1998-05-14,1998,5,14,23.5,7.73,83.0,27.2,1.255,0.679,0.597,0.052,1.894,0.362,0.535,0.258,0.013,0.068,9.44,2.4
2893,Thailand,H010501,1997-08-14,1997,8,14,25.5,7.85,103.0,14.3,0.974,0.45,0.173,0.032,1.258,0.167,0.115,0.322,0.028,0.046,5.4,1.7
2800,Thailand,H010501,1993-01-13,1993,1,13,19.0,7.9,60.0,24.5,1.501,0.515,0.431,0.039,1.995,0.26,0.377,0.27,0.032,0.036,9.87,0.7
3013,Thailand,H010501,2002-02-13,2002,2,13,19.0,8.2,35.0,28.7,1.573,0.713,0.54,0.049,1.93,0.45,0.332,0.265,0.077,0.035,7.47,0.75
3383,Thailand,H010501,2013-11-18,2013,11,18,23.3,6.57,51.5,23.3,1.387,0.588,0.334,0.041,1.624,0.187,0.566,0.401,0.016,0.113,7.62,2.022
3284,Thailand,H010501,2010-12-14,2010,12,14,21.8,6.79,93.0,24.1,1.475,0.59,0.346,0.042,1.81,0.188,0.689,0.336,0.039,0.095,7.83,1.906
2715,Thailand,H010501,1989-01-16,1989,1,16,20.0,8.37,76.0,25.5,1.315,0.618,0.47,0.04,1.837,0.187,0.463,0.223,0.0,0.042,7.57,0.7
3480,Thailand,H010501,2015-11-16,2015,11,16,23.8,7.73,82.0,21.4,1.168,0.786,0.338,0.062,1.727,0.166,0.405,0.477,0.012,0.209,8.14,2.871
2916,Thailand,H010501,1998-04-20,1998,4,20,22.0,7.6,56.0,27.8,1.553,0.653,0.561,0.059,1.86,0.341,0.537,0.369,0.089,0.042,8.2,1.8
3335,Thailand,H010501,2012-12-17,2012,12,17,18.3,6.23,48.0,23.5,1.373,0.584,0.335,0.034,1.831,0.165,0.462,0.245,0.021,0.077,5.95,1.448
2648,Thailand,H010501,1986-02-13,1986,2,13,22.5,7.71,107.0,24.5,1.59,0.59,0.48,0.04,1.99,0.27,0.42,0.407,0.025,0.2,7.98,0.6
2915,Thailand,H010501,1998-01-14,1998,1,14,18.0,7.93,69.0,25.4,1.53,0.528,0.436,0.055,1.925,0.218,0.237,0.323,0.045,0.049,9.95,1.2
2717,Thailand,H010501,1989-05-16,1989,5,16,25.5,8.43,39.0,24.6,1.203,0.622,0.567,0.053,1.456,0.348,0.536,0.32,0.0,0.084,7.98,2.5
3168,Thailand,H010501,2007-02-13,2007,2,13,18.6,9.73,51.167,25.89,1.43,0.577,0.541,0.041,1.888,0.28,0.529,0.32,0.036,0.083,8.6,1.424
2761,Thailand,H010501,1991-02-13,1991,2,13,19.0,7.63,58.0,27.6,1.529,0.63,0.7,0.065,1.984,0.2,0.589,0.257,0.031,0.045,8.514,0.6
3333,Thailand,H010501,2012-10-15,2012,10,15,26.3,6.29,88.0,21.3,1.23,0.496,0.366,0.031,1.565,0.167,0.527,0.535,0.016,0.091,7.79,2.659
3213,Thailand,H010501,2008-01-14,2008,1,14,18.4,7.94,95.333,23.9,1.379,0.593,0.415,0.037,1.794,0.244,0.395,0.26,0.021,0.019,8.9,1.528
3332,Thailand,H010501,2012-08-15,2012,8,15,27.3,6.26,89.0,20.2,1.264,0.516,0.34,0.061,1.444,0.212,0.337,0.418,0.007,0.153,7.44,1.2
3046,Thailand,H010501,2004-12-13,2004,12,13,17.2,7.5,95.0,25.2,1.442,0.658,0.418,0.035,1.75,0.318,0.466,0.254,0.05,0.109,8.75,3.099
2801,Thailand,H010501,1993-02-15,1993,2,15,19.0,7.72,41.0,27.3,1.504,0.58,0.517,0.042,2.015,0.278,0.383,0.234,0.042,0.031,8.918,0.9
3251,Thailand,H010501,2008-12-15,2008,12,15,18.2,7.22,82.0,23.75,1.478,0.653,0.332,0.036,1.862,0.204,0.39,0.298,0.018,0.074,8.75,1.862
3247,Thailand,H010501,2008-11-17,2008,11,17,21.6,8.04,100.833,16.71,1.161,0.421,0.138,0.029,1.531,0.106,0.287,0.419,0.016,0.096,8.35,3.12
2743,Thailand,H010501,1990-02-15,1990,2,15,21.5,8.01,82.0,29.5,1.449,0.645,0.523,0.042,2.029,0.306,0.404,0.278,0.0,0.061,7.83,0.7
2843,Thailand,H010501,1995-12-14,1995,12,14,17.5,7.85,32.0,23.2,1.328,0.576,0.3,0.066,1.756,0.17,0.263,0.489,0.052,0.155,9.32,1.9
2985,Thailand,H010501,2001-02-15,2001,2,15,20.0,7.85,58.0,29.0,1.474,0.71,0.51,0.046,1.646,0.35,0.568,0.24,0.1,0.028,9.29,0.5
2865,Thailand,H010501,1996-01-15,1996,1,15,17.5,8.12,90.0,25.2,1.512,0.531,0.431,0.04,1.971,0.28,0.263,0.227,0.045,0.071,8.89,0.9
3283,Thailand,H010501,2010-10-18,2010,10,18,24.0,7.08,100.0,21.34,1.248,0.587,0.251,0.039,1.585,0.138,0.488,0.402,0.013,0.095,7.808,2.897
3167,Thailand,H010501,2007-01-15,2007,1,15,18.3,8.05,54.0,25.43,1.311,0.648,0.445,0.033,1.73,0.28,0.462,0.26,0.055,0.06,8.85,2.034
3382,Thailand,H010501,2013-10-14,2013,10,14,26.0,6.39,85.333,19.87,1.219,0.482,0.31,0.022,1.502,0.132,0.364,0.36,0.017,0.166,9.36,2.0
