MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H020102,1997-04-24,1997,4,24,31.8,6.61,16.0,6.4,0.222,0.084,0.25,0.04,0.41,0.082,0.075,0.47,0.03,0.04,3.61,5.1
Cambodia,H020102,2012-11-24,2012,11,24,30.0,6.15,31.000000000000057,9.67,0.4331707317073172,0.3082926829268292,0.11,0.0600088448671621,0.674,0.12,0.1360055,0.0627893,0.025,0.0120315,3.581442254573082,2.3606557377049184
Cambodia,H020102,2017-03-24,2017,3,24,31.78,7.340461538461538,44.75000000000003,14.713646153846152,0.7084238284938589,0.5109590661389726,0.3191144711185923,0.0385292307692307,1.0090114218578838,0.1459029084744005,0.3469549707692307,0.31578731,0.0366982398,0.1465554132,7.033738197627327,1.186710314547064
Cambodia,H020102,2008-02-20,2008,2,20,27.0,7.0,41.333333333333314,7.53,0.3331619537275064,0.2323907455012853,0.1823,0.022,0.5562398703403566,0.0941240478781284,0.0635544,0.0858896,0.1340507,0.0982134999999999,5.156040442744873,2.902263942573164
Cambodia,H020102,2011-12-27,2011,12,27,26.1,6.94,26.00000000000005,8.82,0.3846153846153847,0.1942307692307692,0.1942078,0.0566256,0.5846244477172313,0.1063644289450741,0.1821999999999999,0.026802,0.1254976,0.0405200999999999,6.703769969577806,4.294520547945204
Cambodia,H020102,2012-09-23,2012,9,23,29.6,6.49,42.39999999999999,10.65,0.5631067961165048,0.2388349514563106,0.288798290767933,0.0207016027963564,0.7700636942675162,0.0949432404540763,0.2357512,0.11175308,0.0387897,0.0444933999999999,7.839314216830389,2.662721893491124
Cambodia,H020102,2005-12-25,2005,12,25,25.5,6.3,46.0,9.8,0.525,0.165,0.197,0.0438,0.711,0.079,0.13,0.025,0.046,0.029,7.108,1.453
Cambodia,H020102,2017-02-22,2017,2,22,29.63571428571429,7.311477832512315,38.90277777777778,9.447142857142858,0.388728565107573,0.2539646707053291,0.306299486863711,0.0394067077175697,0.5838861243487783,0.1488566743580305,0.2429150861247947,0.1630307392857143,0.1116606399999999,0.0584292268,7.567300738761636,3.509380848589612
Cambodia,H020102,1997-06-24,1997,6,24,31.2,7.34,28.0,13.1,0.598,0.486,0.25,0.05,0.887,0.203,0.272,0.22,0.05,0.02,6.32,5.7
Cambodia,H020102,1994-02-17,1994,2,17,29.8,7.02,4.0,6.6,0.29,0.162,0.175,0.037,0.491,0.05,0.125,0.221,0.026,0.034,3.85,4.3
Cambodia,H020102,2000-09-30,2000,9,30,29.8,7.2,40.0,11.04,0.689,0.261,0.24,0.03,0.956,0.0167,0.135,0.18,0.007,0.04,6.227,3.78
