MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Thailand,H290103,2015-09-14,2015,9,14,30.0,7.04,14.5,8.8,0.152,0.0485232414644179,0.5571117877337973,0.0208260869565217,0.3609625668449198,0.4685538461538461,0.0273599833437434,0.0356449620610552,0.019774011299435,0.0681660899653979,3.76,4.047337278106509
Thailand,H290103,2005-10-18,2005,10,18,29.0,6.95,17.0,8.34,0.1385281385281385,0.144465058750773,0.3956171420286253,0.0374801316056279,0.296296488,0.4512,0.0167399562877891,0.007,0.036,0.0417449384262158,4.5,3.6757070340826687
Thailand,H290103,2012-07-16,2012,7,16,30.5,6.28,25.0,8.629999999999999,0.2753992015968064,0.07420814479638,0.459308394954328,0.0313631713554987,0.3333333333333333,0.4073258110014104,0.0316135748490526,0.0443159922928709,0.1089770354906054,0.0455531453362255,4.98,3.1395348837209296
Thailand,H290103,2007-04-18,2007,4,18,30.0,7.99,10.666666666666671,24.72,1.3784615384615388,0.4960946745562131,0.5167464114832536,0.0395140664961636,1.8604037471962005,0.3735263157894736,0.3916094107849261,0.045,0.0770598695909899,0.0798037725419747,7.1,2.0
Thailand,H290103,2012-09-17,2012,9,17,31.0,6.46,14.0,12.36,0.1841217564870259,0.1017770464829288,0.7868638538494999,0.0408695652173913,0.3708281829419035,0.7866121297602257,0.0446887362065375,0.059867282169648,0.0552553599442217,0.0329791132282887,4.36,2.2247191011235943
Thailand,H290103,2013-04-17,2013,4,17,29.0,6.6,11.17,23.4,1.29291166848419,0.6916742081447964,0.5026054806437582,0.0283708439897698,1.992481203007519,0.2465049365303243,0.492771184676244,0.0058394160583941,0.0146181958068859,0.0855216465578424,8.95,1.2134831460674147
Thailand,H290103,2015-07-13,2015,7,13,30.0,8.08,12.166666666666504,26.45,1.486132734530938,0.6673138626079803,0.8064549804262724,0.0488567774936061,1.8326693227091628,0.6003870967741936,0.6545492400582968,0.079932292646229,0.0712899050905953,0.0327812284334023,7.24,2.2300884955752207
Thailand,H290103,2018-09-17,2018,9,17,31.0,6.26,12.66666666666666,5.9,0.1692415169660678,0.1180327868852458,0.2583819051761635,0.0282762148337595,0.3413940256045519,0.2527012987012986,0.0054153653966271,0.012775638781939,0.0110933211344922,0.0793299620733249,4.21,2.6292134831460667
Thailand,H290103,2017-08-15,2017,8,15,31.0,6.16,19.166666666666707,7.1,0.1862275449101796,0.090538872891814,0.4315832970856895,0.0394117647058823,0.3423680456490728,0.3222857142857142,0.1358317718092858,0.0256980979360582,0.0234071319925638,0.0749230242901129,3.26,4.604651162790695
Thailand,H290103,2020-08-17,2020,8,17,24.0,7.38,52.6666666666667,17.15,1.0866752910737387,0.4655264860080344,0.2850587211831231,0.0436112531969309,1.235059760956175,0.159076923076923,0.4450343535290443,0.5808641975308642,0.0784666067684935,0.1059696220416813,6.18,3.5
Thailand,H290103,2012-08-15,2012,8,15,27.0,6.21,28.0,9.3,0.5436327345309381,0.2032908268202386,0.4788777729447586,0.0524731457800511,0.7407407407407407,0.3965625,0.1037726420986883,0.2152275627392598,0.0109715094673509,0.0709828393135725,5.27,0.4000000000000003
Thailand,H290103,2014-09-18,2014,9,18,30.0,7.75,14.333333333333142,9.64,0.2093617021276596,0.1480851063829787,0.5593736407133536,0.0427902813299232,0.3316953316953316,0.5987076923076923,0.0156943576931084,0.0612141652613828,0.0325894438540559,0.0324963072378138,4.01,3.263736263736265
Thailand,H290103,2007-08-14,2007,8,14,23.0,7.14,26.00000000000005,12.5,0.0969696969696969,0.1357575757575757,0.8119472234304771,0.0918542199488491,0.374859427714607,0.7254141414141414,0.1151285234280938,0.08,0.0473186119873817,0.0490600321475994,3.7,3.826086956521737
Thailand,H290103,2016-01-18,2016,1,18,29.0,6.75,13.833333333333409,8.53,0.4192139737991266,0.4820960698689956,0.3254893431926924,0.0332557544757033,0.7843137254901962,0.4352778561354019,0.0417051842598375,0.1244940909826776,0.0577444235980821,0.0955983493810178,5.43,3.181818181818181
Thailand,H290103,2008-10-13,2008,10,13,30.5,8.23,14.500000000019496,9.76,0.1923344947735192,0.1254355400696864,0.5372379295345803,0.0397365728900255,0.310880829015544,0.5504423076923077,0.0766146774029778,0.0996342355523043,0.0585275619681835,0.0238558558558558,4.0,2.689655172413795
