MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Viet Nam,H039803,2004-04-15,2004,4,15,30.0,7.39,24.4,20.3,1.024,0.5129999999999999,0.495,0.055,1.42,0.268,0.34,0.292,0.0,0.11,5.87,3.1
Viet Nam,H039803,2012-09-15,2012,9,15,27.17,7.17,81.0,11.67,0.656,0.2269999999999999,0.2170434782608695,0.0581282051282051,0.882,0.277,0.051,0.587,0.087,0.188,5.69,3.68
Viet Nam,H039803,2005-03-15,2005,3,15,27.9,6.87,23.0,19.1,1.001,0.5030000000000001,0.389,0.046,1.285,0.347,0.235,0.104,0.135,0.065,6.31,2.11
Viet Nam,H039803,2005-04-15,2005,4,15,29.3,7.2,27.0,24.5,1.151,0.7589999999999999,0.426,0.037,1.537,0.485,0.227,0.06,0.001,0.091,6.07,1.7
Viet Nam,H039803,2015-03-15,2015,3,15,28.8,7.13,33.0,19.7,0.862,0.487,0.452,0.066,1.123,0.337,0.536,0.309,0.0,0.058,5.62,2.48
Viet Nam,H039803,2006-04-15,2006,4,15,28.3,6.82,39.5,18.9,0.874,0.561,0.338,0.077,1.334,0.273,0.185,0.005,0.013,0.142,5.56,2.76
Viet Nam,H039803,2008-11-15,2008,11,15,27.4,6.73,64.5,13.9,0.83,0.23,0.209,0.038,1.003,0.248,0.141,0.292,0.013,0.105,6.24,4.04
Viet Nam,H039803,2014-09-15,2014,9,15,29.3,7.08,99.0,10.59,0.62,0.1999999999999999,0.256,0.029,0.936,0.15,0.041,0.283,0.027,0.133,6.56,3.16
Viet Nam,H039803,2012-10-15,2012,10,15,28.37,6.85,97.0,11.24,0.615,0.2059999999999999,0.25,0.062,0.836,0.218,0.053,0.502,0.0,0.15,6.34,4.95
Viet Nam,H039803,2003-11-15,2003,11,15,28.0,6.91,47.0,12.8,0.702,0.285,0.25,0.056,0.915,0.151,0.107,0.279,0.12,0.142,5.98,3.17
