Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3955,Viet Nam,H019804,2007-01-15,2007,1,15,26.3,6.77,38.5,14.2,0.728,0.428,0.326,0.035,0.95,0.286,0.158,0.073,0.028,0.075,6.6,4.85
3966,Viet Nam,H019804,2007-05-15,2007,5,15,31.3,7.37,22.0,20.8,1.067,0.507,0.534,0.056,1.313,0.388,0.317,0.011,0.011,0.06,5.7,1.4
4005,Viet Nam,H019804,2008-01-15,2008,1,15,28.7,7.03,38.0,13.0,0.667,0.358,0.243,0.028,1.029,0.241,0.139,0.243,0.0,0.096,6.16,2.13
4011,Viet Nam,H019804,2008-02-15,2008,2,15,28.7,6.51,59.5,14.4,0.7,0.414,0.328,0.035,0.877,0.417,0.15,0.491,0.009,0.249,6.17,3.67
4021,Viet Nam,H019804,2008-04-15,2008,4,15,28.2,6.93,76.0,19.7,0.94,0.58,0.297,0.013,1.366,0.322,0.295,0.41,0.0,0.14,5.18,2.75
4036,Viet Nam,H019804,2008-07-15,2008,7,15,27.8,6.75,66.0,13.2,0.758,0.192,0.345,0.035,0.943,0.369,0.107,0.296,0.012,0.156,6.04,3.03
4047,Viet Nam,H019804,2008-09-15,2008,9,15,28.4,6.68,98.0,13.3,0.55,0.49,0.246,0.03,0.914,0.318,0.125,0.342,0.076,0.175,6.13,4.14
4062,Viet Nam,H019804,2008-11-15,2008,11,15,28.2,6.64,53.0,13.8,0.76,0.26,0.322,0.026,0.904,0.328,0.153,0.044,0.039,0.149,6.38,3.64
4075,Viet Nam,H019804,2009-01-15,2009,1,15,25.9,6.85,48.0,14.4,0.68,0.33,0.374,0.023,1.158,0.275,0.101,0.279,0.025,0.072,6.5,3.03
4084,Viet Nam,H019804,2009-02-15,2009,2,15,26.0,6.55,23.5,15.0,0.81,0.32,0.302,0.038,1.118,0.285,0.132,0.189,0.058,0.058,4.41,4.81
