Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
2165,Lao PDR,H010500,2004-10-21,2004,10,21,21.0,8.05,9.0,22.9,1.506,0.525,0.071,0.006,1.454,0.147,0.614,0.34,0.021,0.058,6.9,1.633
2319,Lao PDR,H010500,2007-12-15,2007,12,15,18.0,7.63,62.0,21.6,1.248,0.687,0.312,0.035,1.946,0.211,0.161,0.323,0.053,0.035,6.318,2.339
2365,Lao PDR,H010500,2008-11-16,2008,11,16,19.0,7.1,108.0,20.74,1.277,0.408,0.28,0.036,1.541,0.164,0.344,0.447,0.094,0.052,8.03,0.948
2455,Lao PDR,H010500,2010-08-12,2010,8,12,26.0,7.46,115.0,22.7,1.332,0.544,0.351,0.047,1.52,0.238,0.597,0.426,0.11,0.048,7.79,2.312
2456,Lao PDR,H010500,2010-10-17,2010,10,17,25.0,7.34,88.0,23.8,1.429,0.606,0.32,0.049,1.653,0.227,0.568,0.466,0.05,0.044,8.36,5.528
2489,Lao PDR,H010500,2011-08-18,2011,8,18,29.0,7.75,42.0,25.8,1.485,0.561,0.372,0.051,1.633,0.261,0.582,0.415,0.011,0.034,7.25,1.615
2490,Lao PDR,H010500,2011-10-16,2011,10,16,25.0,7.72,49.0,24.9,1.536,0.512,0.355,0.045,1.719,0.187,0.572,0.425,0.035,0.029,7.23,1.066
2512,Lao PDR,H010500,2012-10-13,2012,10,13,27.0,7.74,57.0,25.4,1.473,0.633,0.286,0.146,1.654,0.221,0.609,0.514,0.086,0.049,7.86,1.593
2538,Lao PDR,H010500,2014-08-15,2014,8,15,24.9,8.13,84.0,23.7,1.57,0.18,0.12,0.05,1.4,0.1,0.5,0.4,0.01,0.09,5.59,3.7
2539,Lao PDR,H010500,2014-09-26,2014,9,26,26.4,7.4,102.0,15.8,0.72,0.43,0.16,0.04,1.02,0.08,0.35,0.3,0.01,0.03,5.0,2.1
2612,Lao PDR,H010500,2016-10-21,2016,10,21,25.1,7.66,68.0,22.4,1.51,0.69,0.54,0.07,2.17,0.14,0.28,0.45,0.04,0.01,5.22,2.01
2613,Lao PDR,H010500,2016-11-22,2016,11,22,23.0,7.58,34.2,24.9,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.32,0.02,0.02,5.99,1.28
2614,Lao PDR,H010500,2016-12-20,2016,12,20,23.1,7.56,44.6,21.6,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.39,0.01,0.04,5.97,3.02
