Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
8338,Viet Nam,H988114,2018-04-15,2018,4,15,30.3,8.2,23.0,22.7,0.948,0.732,0.393,0.041,1.117,0.467,0.564,0.285,0.049,0.024,4.76,3.37
7596,Viet Nam,H988114,2005-11-15,2005,11,15,26.7,7.12,54.8,11.2,0.636,0.236,0.204,0.037,0.909,0.07,0.07,0.384,0.052,0.118,5.42,1.85
8007,Viet Nam,H988114,2008-08-15,2008,8,15,28.8,6.51,148.0,11.2,0.769,0.143,0.144,0.031,0.85,0.209,0.106,0.124,0.053,0.233,5.53,5.86
7890,Viet Nam,H988114,2007-09-15,2007,9,15,27.3,7.04,31.5,11.7,0.667,0.2759999999999999,0.194,0.03,0.768,0.198,0.167,0.247,0.016,0.095,6.05,5.52
8022,Viet Nam,H988114,2008-09-15,2008,9,15,28.6,6.6,62.5,13.0,0.61,0.46,0.226,0.036,1.033,0.271,0.117,0.03,0.03,0.109,5.85,2.75
8365,Viet Nam,H988114,2019-09-16,2019,9,16,29.1,7.32,52.0,8.18,0.338,0.18,0.196,0.061,0.485,0.142,0.184,0.325,0.095,0.237,5.01,3.32
8057,Viet Nam,H988114,2008-11-15,2008,11,15,27.3,6.81,52.0,16.1,0.72,0.35,0.409,0.038,1.084,0.282,0.136,0.015,0.006,0.076,5.24,3.11
8129,Viet Nam,H988114,2009-05-15,2009,5,15,28.0,6.89,52.5,17.6,0.8,0.42,0.524,0.034,1.262,0.211,0.22,0.499,0.056,0.19,6.01,3.43
8280,Viet Nam,H988114,2015-09-15,2015,9,15,27.1,6.94,42.0,12.8,0.897,0.2159999999999999,0.213,0.032,1.17,0.204,0.045,0.254,0.078,0.176,5.22,2.16
8181,Viet Nam,H988114,2011-04-15,2011,4,15,27.0,6.92,57.0,19.48,1.354,0.268,0.388,0.036,1.445,0.25,0.313,0.17,0.102,0.104,4.8,2.32
7597,Viet Nam,H988114,2005-12-15,2005,12,15,25.2,7.41,58.0,11.5,0.612,0.26,0.232,0.039,0.838,0.138,0.119,0.294,0.019,0.207,6.66,1.87
7904,Viet Nam,H988114,2007-10-15,2007,10,15,27.6,6.62,215.0,10.4,0.455,0.328,0.221,0.041,0.729,0.241,0.144,0.499,0.147,0.336,5.87,5.48
8211,Viet Nam,H988114,2012-09-15,2012,9,15,27.37,7.75,126.0,11.27,0.677,0.2159999999999999,0.2272608695652174,0.0649487179487179,0.914,0.132,0.056,0.121,0.048,0.205,5.46,3.64
7589,Viet Nam,H988114,2005-02-15,2005,2,15,27.5,7.31,45.5,18.8,1.03,0.46,0.395,0.038,1.3,0.341,0.172,0.179,0.05,0.178,5.87,2.47
8104,Viet Nam,H988114,2009-02-15,2009,2,15,27.9,6.75,91.0,15.4,0.79,0.36,0.325,0.034,1.242,0.221,0.132,0.354,0.015,0.185,5.41,3.35
7595,Viet Nam,H988114,2005-10-15,2005,10,15,25.1,7.26,92.5,11.3,0.651,0.236,0.18,0.033,0.873,0.103,0.082,0.072,0.013,0.153,4.58,2.76
7591,Viet Nam,H988114,2005-05-15,2005,5,15,27.3,6.75,49.5,29.8,1.434,0.6220000000000001,0.591,0.046,1.891,0.369,0.626,0.117,0.025,0.088,5.66,2.04
8339,Viet Nam,H988114,2018-08-15,2018,8,15,27.7,7.01,49.0,13.19,0.545,0.3959999999999999,0.244,0.023,0.737,0.303,0.168,0.173,0.08,0.169,4.68,3.32
8210,Viet Nam,H988114,2012-04-15,2012,4,15,28.47,7.48,94.0,21.4,1.14,0.4460000000000002,0.381,0.055,1.12,0.386,0.67,0.353,0.02,0.143,5.7,2.63
8235,Viet Nam,H988114,2013-04-15,2013,4,15,27.9,6.81,81.0,21.2,1.13,0.6060000000000001,0.416,0.11,1.354,0.485,0.289,0.2,0.041,0.192,6.75,3.17
8082,Viet Nam,H988114,2008-12-15,2008,12,15,28.5,6.95,98.0,11.2,0.5,0.25,0.348,0.027,0.866,0.253,0.098,0.109,0.029,0.195,5.12,4.26
7592,Viet Nam,H988114,2005-06-15,2005,6,15,26.1,7.42,126.0,21.6,1.1,0.488,0.484,0.052,1.298,0.343,0.309,0.077,0.098,0.156,6.11,3.4
7590,Viet Nam,H988114,2005-03-15,2005,3,15,28.0,6.96,28.0,19.0,1.035,0.518,0.386,0.042,1.153,0.338,0.325,0.175,0.104,0.051,6.04,1.83
8162,Viet Nam,H988114,2010-10-15,2010,10,15,28.0,7.01,90.0,12.04,0.43,0.35,0.342,0.023,0.921,0.098,0.107,0.18,0.016,0.2,2.514976635112337,9.22
7588,Viet Nam,H988114,2005-01-15,2005,1,15,26.9,7.28,41.0,15.8,0.796,0.3169999999999999,0.333,0.04,1.093,0.292,0.202,0.266,0.056,0.025,6.32,3.27
7750,Viet Nam,H988114,2006-02-15,2006,2,15,25.3,7.39,40.5,15.0,0.859,0.2669999999999999,0.314,0.043,0.97,0.287,0.137,0.392,0.014,0.101,6.45,2.73
7942,Viet Nam,H988114,2008-01-15,2008,1,15,26.4,6.95,86.0,14.5,0.756,0.3480000000000001,0.267,0.032,1.019,0.19,0.28,0.337,0.001,0.116,5.8,2.46
7593,Viet Nam,H988114,2005-07-15,2005,7,15,27.6,6.75,114.0,16.1,0.801,0.396,0.312,0.091,0.802,0.286,0.357,0.319,0.091,0.136,5.87,4.08
8313,Viet Nam,H988114,2017-09-15,2017,9,15,28.88,6.31,87.0,11.57,0.629,0.2309999999999999,0.251,0.076,0.689,0.186,0.226,0.222,0.063,0.179,4.81,4.09
8281,Viet Nam,H988114,2015-10-15,2015,10,15,27.7,6.9,66.0,12.44,0.632,0.388,0.254,0.03,0.925,0.298,0.118,0.243,0.109,0.125,5.59,2.63
8312,Viet Nam,H988114,2017-04-15,2017,4,15,30.02,6.55,64.0,23.1,1.052,0.71,0.405,0.069,1.381,0.441,0.564,0.245,0.118,0.046,4.06,2.56
8183,Viet Nam,H988114,2011-10-15,2011,10,15,27.4,7.72,127.0,10.4,0.643,0.2129999999999999,0.19,0.025,0.92,0.157,0.049,0.199,0.149,0.143,4.84,3.19
7594,Viet Nam,H988114,2005-08-15,2005,8,15,28.4,7.13,87.0,13.5,0.771,0.299,0.257,0.055,0.728,0.216,0.401,0.195,0.113,0.173,5.92,3.02
8182,Viet Nam,H988114,2011-09-15,2011,9,15,28.0,7.25,84.0,9.6,0.543,0.269,0.206,0.027,0.895,0.087,0.058,0.208,0.034,0.248,4.51,2.63
7920,Viet Nam,H988114,2007-11-15,2007,11,15,27.9,6.65,104.0,8.9,0.435,0.203,0.188,0.028,0.628,0.19,0.1,0.106,0.05,0.389,5.2,4.71
7751,Viet Nam,H988114,2006-03-15,2006,3,15,27.3,7.42,50.0,17.1,0.914,0.4169999999999999,0.356,0.052,1.191,0.219,0.249,0.026,0.018,0.19,6.38,3.46
7937,Viet Nam,H988114,2007-12-15,2007,12,15,30.0,6.85,122.0,12.9,0.577,0.518,0.236,0.042,0.867,0.233,0.184,0.267,0.003,0.142,6.35,3.96
