MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H020108,2006-08-17,2006,8,17,28.0,7.15,63.0,9.86,0.6,0.22,0.273,0.039,0.752,0.12,0.17,0.202,0.022,0.078,9.663,4.91
Cambodia,H020108,2006-09-14,2006,9,14,29.5,6.53,75.0,10.04,0.561,0.227,0.277,0.058,0.746,0.107,0.164,0.224,0.106,0.101,9.819,1.5
Cambodia,H020108,2017-12-23,2017,12,23,27.7,7.335,40.69,9.78,0.376,0.253,0.344,0.062,0.568,0.126,0.281,0.103,0.085,0.14,7.78,5.799
Cambodia,H020108,2007-01-23,2007,1,23,29.5,7.31,45.0,9.22,0.39,0.23,0.311,0.043,0.808,0.159,0.058,0.037,0.05,0.12,7.324,8.61
Cambodia,H020108,2013-12-23,2013,12,23,25.3,6.55,34.0,4.3,0.135,0.092,0.157,0.024,0.234,0.087,0.109,0.06,0.094,0.168,7.888,3.594
Cambodia,H020108,2006-10-19,2006,10,19,23.5,6.84,11.0,8.81,0.5,0.2,0.197,0.033,0.646,0.074,0.145,0.017,0.084,0.022,9.403,1.872
Cambodia,H020108,2007-10-22,2007,10,22,28.9,7.62,16.667,9.68,0.462,0.227,0.203,0.031,0.69,0.096,0.202,0.011,0.041,0.124,8.375,0.258
Cambodia,H020108,2013-11-28,2013,11,28,29.2,6.85,59.5,4.2,0.178,0.064,0.18,0.016,0.271,0.063,0.083,0.037,0.064,0.058,6.498,4.123
Cambodia,H020108,2005-10-21,2005,10,21,30.6,7.05,14.0,9.66,0.583,0.173,0.188,0.032,0.764,0.04,0.144,0.029,0.065,0.037,8.178,2.304
Cambodia,H020108,2013-10-27,2013,10,27,29.2,6.58,14.0,9.78,0.276,0.256,0.388,0.029,0.52,0.312,0.161,0.048,0.05,0.099,7.158,5.942
Cambodia,H020108,2006-12-18,2006,12,18,28.4,7.04,3.0,5.77,0.268,0.144,0.178,0.024,0.497,0.076,0.07,0.016,0.036,0.05,7.057,9.182
Cambodia,H020108,2004-12-24,2004,12,24,27.4,6.81,20.0,7.9,0.377,0.212,0.129,0.035,0.593,0.108,0.063,0.104,0.044,0.051,5.378,4.421
Cambodia,H020108,2009-10-22,2009,10,22,29.4,6.25,8.5,10.6,0.497,0.24,0.185,0.048,0.679,0.143,0.173,0.032,0.046,0.035,7.917,2.785
