Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3793,Lao PDR,H910107,2002-03-13,2002,3,13,29.0,7.4,53.0,28.5,1.283,0.099,0.287,0.102,2.019,0.712,0.468,0.301,0.075,0.013,5.62,3.6
3955,Lao PDR,H910107,2003-07-16,2003,7,16,29.0,6.5,68.0,15.65,0.597,0.316,0.335,0.094,0.761,0.366,0.339,0.364,0.08,0.173,4.02,9.3
3797,Lao PDR,H910107,2002-09-19,2002,9,19,28.8,6.15,119.0,10.3,0.471,0.281,0.316,0.102,0.803,0.111,0.3,0.712,0.025,0.079,6.2,3.5
3954,Lao PDR,H910107,2003-03-20,2003,3,20,28.1,7.38,27.0,25.1,1.539,0.566,0.209,0.092,1.654,0.252,0.492,0.412,0.011,0.021,4.23,5.1
3796,Lao PDR,H910107,2002-06-18,2002,6,18,32.9,6.81,88.0,24.3,0.788,0.114,0.269,0.098,1.936,0.531,0.451,0.711,0.123,0.264,6.019,2.6
3794,Lao PDR,H910107,2002-04-15,2002,4,15,28.3,7.06,68.0,29.6,1.12,0.106,0.268,0.111,2.008,0.736,0.503,0.693,0.068,0.158,5.94,3.2
