MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Viet Nam,H019803,2017-03-15,2017,3,15,30.44,7.09,71.0,19.44,1.01,0.715,0.348,0.058,1.412,0.287,0.31,0.124,0.06,0.082,5.43,2.69
Viet Nam,H019803,2008-06-15,2008,6,15,26.2,6.7,84.5,14.8,0.7,0.32,0.327,0.044,0.832,0.479,0.152,0.04,0.083,0.108,5.59,2.79
Viet Nam,H019803,2015-04-15,2015,4,15,29.0,7.31,34.0,23.1,0.967,0.658,0.566,0.066,1.476,0.256,0.649,0.285,0.101,0.064,4.75,1.69
Viet Nam,H019803,2009-01-15,2009,1,15,26.6,6.88,87.0,13.6,0.68,0.35,0.253,0.031,0.919,0.272,0.107,0.274,0.0,0.095,6.04,2.91
Viet Nam,H019803,2013-03-15,2013,3,15,28.6,7.8,45.0,19.7,1.11,0.394,0.392,0.092,1.563,0.378,0.228,0.235,0.017,0.106,6.43,2.04
Viet Nam,H019803,2007-02-15,2007,2,15,26.7,6.8,92.0,13.7,0.738,0.355,0.269,0.03,0.792,0.359,0.141,0.046,0.093,0.17,7.42,3.34
Viet Nam,H019803,2003-10-15,2003,10,15,29.0,6.98,81.0,11.7,0.633,0.316,0.213,0.036,0.926,0.132,0.076,0.164,0.0,0.191,5.95,3.29
Viet Nam,H019803,2008-05-15,2008,5,15,30.0,7.28,40.5,17.8,0.9,0.43,0.332,0.035,1.077,0.556,0.198,0.104,0.016,0.094,6.0,2.64
Viet Nam,H019803,2003-06-15,2003,6,15,29.8,6.79,47.0,11.5,0.54,0.327,0.261,0.051,0.818,0.23,0.183,0.23,0.019,0.104,6.53,1.2
Viet Nam,H019803,2004-12-15,2004,12,15,30.0,7.26,17.5,12.9,0.874,0.186,0.243,0.035,0.968,0.173,0.117,0.121,0.011,0.098,6.824,2.2
Viet Nam,H019803,2003-08-15,2003,8,15,29.5,6.69,85.0,10.7,0.6,0.216,0.157,0.025,0.812,0.173,0.097,0.086,0.092,0.097,7.16,2.71
Viet Nam,H019803,2005-12-15,2005,12,15,25.0,7.47,69.0,11.7,0.67,0.26,0.204,0.034,0.909,0.113,0.114,0.145,0.076,0.152,6.57,1.67
Viet Nam,H019803,2009-04-15,2009,4,15,25.7,7.2,53.0,17.2,0.85,0.45,0.365,0.035,1.286,0.319,0.181,0.104,0.0,0.071,2.63,2.42
Viet Nam,H019803,2012-03-15,2012,3,15,28.25,7.2,82.0,15.3,0.83,0.312,0.332,0.049,1.09,0.335,0.165,0.058,0.018,0.064,5.83,2.11
Viet Nam,H019803,2018-04-15,2018,4,15,30.9,7.73,14.0,21.5,0.909,0.721,0.412,0.04,1.077,0.502,0.408,0.267,0.073,0.006,4.78,2.47
Viet Nam,H019803,2009-03-15,2009,3,15,25.8,6.92,29.0,15.9,0.84,0.36,0.325,0.029,1.126,0.311,0.148,0.04,0.0,0.022,2.93,2.99
Viet Nam,H019803,2011-03-15,2011,3,15,28.2,6.87,45.0,18.4,1.0,0.363,0.351,0.036,1.235,0.221,0.275,0.036,0.0,0.074,7.3,1.96
Viet Nam,H019803,2008-02-15,2008,2,15,27.6,6.7,39.5,13.2,0.68,0.385,0.274,0.031,0.906,0.367,0.107,0.031,0.051,0.072,6.42,3.58
Viet Nam,H019803,2010-03-15,2010,3,15,26.7,6.77,38.5,15.7,0.84,0.378,0.312,0.036,1.182,0.18,0.201,0.035,0.003,0.04,5.819,4.1
Viet Nam,H019803,2003-04-15,2003,4,15,29.0,7.25,14.0,18.1,0.63,0.72,0.347,0.036,1.22,0.481,0.138,0.235,0.039,0.089,7.63,1.79
Viet Nam,H019803,2003-03-15,2003,3,15,29.0,7.07,59.5,16.63,0.897,0.455,0.336,0.04,1.343,0.197,0.069,0.108,0.014,0.107,7.53,2.35
Viet Nam,H019803,2004-05-15,2004,5,15,29.8,6.98,17.0,20.9,1.092,0.521,0.452,0.035,1.52,0.196,0.26,0.17,0.016,0.072,6.18,3.24
Viet Nam,H019803,2006-01-15,2006,1,15,24.9,7.12,48.0,13.6,0.759,0.3,0.265,0.039,0.99,0.157,0.125,0.409,0.033,0.05,5.81,2.22
Viet Nam,H019803,2019-03-15,2019,3,15,29.0,7.65,41.0,22.0,1.049,0.586,0.378,0.065,1.445,0.486,0.237,0.127,0.0,0.032,4.99,5.06
Viet Nam,H019803,2014-09-15,2014,9,15,27.7,7.38,119.0,11.26,0.68,0.235,0.258,0.026,0.897,0.234,0.013,0.279,0.069,0.187,6.64,4.4
Viet Nam,H019803,2018-03-15,2018,3,15,30.9,7.6,31.0,20.8,0.869,0.613,0.408,0.038,1.117,0.51,0.31,0.265,0.094,0.032,5.72,2.7
Viet Nam,H019803,2012-04-15,2012,4,15,28.75,7.08,86.0,14.8,0.94,0.252,0.25,0.031,1.25,0.245,0.13,0.029,0.007,0.055,6.29,2.11
Viet Nam,H019803,2003-12-15,2003,12,15,29.0,6.84,16.5,12.6,0.703,0.314,0.239,0.032,0.976,0.165,0.17,0.133,0.005,0.011,4.7,1.91
Viet Nam,H019803,2005-06-15,2005,6,15,26.7,7.5,47.0,20.5,1.046,0.471,0.45,0.047,1.298,0.29,0.32,0.024,0.026,0.092,6.28,1.62
Viet Nam,H019803,2008-01-15,2008,1,15,28.5,6.99,85.0,12.0,0.637,0.308,0.243,0.028,1.01,0.182,0.118,0.058,0.0,0.091,6.83,2.79
Viet Nam,H019803,2006-02-15,2006,2,15,25.2,7.48,25.5,14.0,0.825,0.372,0.285,0.036,0.978,0.301,0.144,0.274,0.011,0.052,5.8,2.25
