Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3208,Lao PDR,H230102,1995-09-18,1995,9,18,29.2,6.97,55.0,7.9,0.503,0.184,0.088,0.02,0.578,0.034,0.118,0.099,0.033,0.045,8.2,1.5
3856,Lao PDR,H230102,2003-01-20,2003,1,20,25.4,7.13,11.0,11.8,0.797,0.292,0.06,0.019,1.087,0.077,0.049,0.006,0.063,0.027,7.2,1.3
3366,Lao PDR,H230102,1997-01-20,1997,1,20,24.6,7.39,52.0,13.4,0.813,0.271,0.285,0.036,0.984,0.162,0.322,0.036,0.018,0.013,7.2,0.5
2987,Lao PDR,H230102,1992-11-18,1992,11,18,26.2,7.73,13.0,14.8,1.0,0.173,0.217,0.015,1.149,0.167,0.072,0.127,0.042,0.032,7.0,0.1
3539,Lao PDR,H230102,2001-06-19,2001,6,19,29.0,7.85,32.0,12.0,0.84,0.293,0.04,0.006,1.069,0.03,0.125,0.003,0.034,0.02,6.3,0.5
3542,Lao PDR,H230102,2001-09-19,2001,9,19,32.3,8.16,98.0,9.8,0.763,0.136,0.036,0.019,0.902,0.036,0.078,0.133,0.052,0.024,6.12,1.0
4003,Lao PDR,H230102,2004-01-20,2004,1,20,27.9,7.25,13.0,12.8,0.879,0.386,0.005,0.002,1.122,0.084,0.094,0.012,0.016,0.015,7.3,1.1
2649,Lao PDR,H230102,1986-04-17,1986,4,17,27.2,7.6,10.0,11.2,0.71,0.268,0.125,0.02,1.026,0.064,0.044,0.008,0.01,0.005,6.39,0.9
3062,Lao PDR,H230102,1993-01-13,1993,1,13,24.2,7.78,15.0,14.4,0.887,0.385,0.198,0.024,1.145,0.152,0.083,0.069,0.03,0.009,8.36,0.1
2980,Lao PDR,H230102,1992-04-17,1992,4,17,25.6,7.57,4.0,12.8,0.865,0.258,0.103,0.02,0.956,0.114,0.245,0.063,0.114,0.03,8.21,1.4
3067,Lao PDR,H230102,1993-08-17,1993,8,17,24.9,7.28,64.0,12.1,0.856,0.202,0.1,0.024,1.133,0.006,0.11,0.031,0.021,0.018,7.98,0.8
2684,Lao PDR,H230102,1987-10-15,1987,10,15,28.0,7.14,68.0,22.0,0.44,0.669,0.12,0.018,1.144,0.069,0.136,0.049,0.002,0.019,6.3,0.9
2716,Lao PDR,H230102,1988-03-15,1988,3,15,26.2,7.39,12.0,11.3,0.772,0.199,0.17,0.024,0.979,0.068,0.163,0.102,0.002,0.007,6.15,1.4
3545,Lao PDR,H230102,2001-12-19,2001,12,19,24.8,7.63,70.0,14.6,0.933,0.316,0.045,0.026,1.138,0.146,0.184,0.103,0.069,0.053,6.3,1.2
4006,Lao PDR,H230102,2004-04-20,2004,4,20,26.3,7.66,13.0,12.1,0.872,0.3,0.065,0.004,1.034,0.007,0.186,0.006,0.015,0.013,5.13,0.784
2650,Lao PDR,H230102,1986-05-14,1986,5,14,26.9,7.18,40.0,11.2,0.934,0.006,0.135,0.026,1.015,0.06,0.009,0.195,0.008,0.03,5.11,1.2
3453,Lao PDR,H230102,2000-09-19,2000,9,19,27.7,8.57,96.0,8.9,0.706,0.304,0.093,0.022,0.826,0.039,0.113,0.12,0.045,0.047,6.2,2.0
3065,Lao PDR,H230102,1993-06-17,1993,6,17,25.8,7.43,35.0,13.2,0.98,0.165,0.058,0.034,1.123,0.003,0.204,0.062,0.022,0.013,6.64,1.0
3858,Lao PDR,H230102,2003-03-20,2003,3,20,27.3,6.29,9.0,10.9,0.868,0.26,0.04,0.022,0.991,0.044,0.078,0.039,0.048,0.013,7.0,0.4
3202,Lao PDR,H230102,1995-03-23,1995,3,23,27.0,7.52,2.0,10.7,0.89,0.127,0.181,0.023,0.922,0.127,0.106,0.329,0.049,0.015,8.77,0.2
2775,Lao PDR,H230102,1989-06-14,1989,6,14,26.0,7.29,56.0,12.6,1.091,0.258,0.135,0.017,1.269,0.037,0.139,0.107,0.002,0.033,5.6,1.0
3700,Lao PDR,H230102,2002-08-20,2002,8,20,27.0,6.94,89.0,8.4,0.87,0.264,0.08,0.005,0.714,0.047,0.06,0.095,0.034,0.037,7.42,1.3
3696,Lao PDR,H230102,2002-04-15,2002,4,15,29.3,7.6,29.0,11.3,0.769,0.028,0.086,0.009,1.046,0.097,0.016,0.25,0.055,0.01,6.96,0.2
3447,Lao PDR,H230102,2000-02-21,2000,2,21,25.2,7.36,6.0,12.1,1.005,0.233,0.106,0.018,1.057,0.213,0.062,0.002,0.014,0.009,6.45,1.1
3209,Lao PDR,H230102,1995-10-17,1995,10,17,27.6,8.52,42.0,14.1,0.802,0.354,0.086,0.017,1.019,0.154,0.173,0.004,0.023,0.013,7.26,1.1
2721,Lao PDR,H230102,1988-11-15,1988,11,15,24.8,7.56,48.0,11.8,0.944,0.275,0.195,0.013,1.246,0.126,0.163,0.104,0.018,0.02,6.22,0.3
3145,Lao PDR,H230102,1994-11-14,1994,11,14,29.6,7.55,20.0,12.3,0.818,0.205,0.152,0.025,0.868,0.211,0.21,0.064,0.028,0.013,7.12,0.7
3857,Lao PDR,H230102,2003-02-25,2003,2,25,26.8,7.63,9.0,11.7,0.617,0.419,0.062,0.022,0.918,0.078,0.144,0.059,0.084,0.015,6.8,1.3
2984,Lao PDR,H230102,1992-08-10,1992,8,10,27.0,7.47,96.0,11.7,0.727,0.242,0.097,0.027,1.016,0.042,0.116,0.146,0.024,0.2,7.6,1.9
3695,Lao PDR,H230102,2002-03-13,2002,3,13,26.2,7.4,20.0,11.0,0.533,0.21,0.095,0.007,1.034,0.076,0.063,0.055,0.05,0.006,7.11,0.4
3144,Lao PDR,H230102,1994-10-17,1994,10,17,30.8,7.33,60.0,10.1,0.714,0.179,0.11,0.014,0.807,0.17,0.095,0.088,0.032,0.045,6.44,0.7
