Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
2634,Lao PDR,H011201,1986-06-24,1986,6,24,28.0,7.48,54.0,18.7,1.533,0.153,0.286,0.029,1.641,0.091,0.264,0.072,0.109,0.056,7.35,2.7
3486,Lao PDR,H011201,2001-06-19,2001,6,19,27.1,7.59,89.0,22.3,1.21,0.43,0.175,0.015,1.429,0.015,0.468,0.234,0.14,0.064,7.01,1.3
3181,Lao PDR,H011201,1995-11-14,1995,11,14,26.6,7.84,135.0,21.4,1.387,0.463,0.118,0.041,1.569,0.101,0.342,0.31,0.023,0.049,9.23,2.0
3488,Lao PDR,H011201,2001-08-17,2001,8,17,26.6,8.01,200.0,18.83,1.13,0.565,0.156,0.01,1.513,0.042,0.287,0.389,0.038,0.037,8.06,0.4
2812,Lao PDR,H011201,1990-03-14,1990,3,14,23.3,7.88,102.0,27.8,1.706,0.316,0.45,0.04,1.543,0.276,0.565,0.33,0.019,0.053,8.06,1.8
3180,Lao PDR,H011201,1995-06-14,1995,6,14,25.0,7.95,105.0,16.8,1.012,0.422,0.225,0.062,1.277,0.067,0.289,0.516,0.016,0.069,7.99,2.7
3043,Lao PDR,H011201,1993-03-16,1993,3,16,24.5,7.94,57.0,27.3,1.411,0.685,0.461,0.032,1.933,0.209,0.412,0.133,0.017,0.029,8.52,1.7
3646,Lao PDR,H011201,2002-12-18,2002,12,18,21.9,7.67,50.0,19.8,1.645,0.328,0.092,0.013,2.066,0.129,0.283,0.017,0.039,0.021,7.0,0.5
3484,Lao PDR,H011201,2001-01-18,2001,1,18,22.0,7.98,12.0,27.3,1.727,0.572,0.2,0.022,2.534,0.206,0.514,0.154,0.065,0.015,7.13,0.6
3809,Lao PDR,H011201,2003-12-16,2003,12,16,21.6,6.31,68.0,26.4,1.843,0.446,0.23,0.042,1.986,0.161,0.588,0.214,0.08,0.041,7.12,0.9
3044,Lao PDR,H011201,1993-05-16,1993,5,16,28.8,7.7,80.0,19.1,1.015,0.602,0.352,0.03,1.388,0.311,0.426,0.241,0.04,0.031,8.21,0.5
3642,Lao PDR,H011201,2002-08-15,2002,8,15,26.4,7.18,168.0,16.1,1.338,0.434,0.085,0.011,1.405,0.116,0.202,0.218,0.05,0.096,9.0,2.3
3644,Lao PDR,H011201,2002-10-16,2002,10,16,24.2,7.65,130.0,19.8,1.382,0.357,0.08,0.009,1.911,0.081,0.211,0.281,0.03,0.024,8.3,0.5
2631,Lao PDR,H011201,1986-02-16,1986,2,16,21.0,7.9,15.0,25.6,1.444,0.493,0.447,0.014,2.085,0.183,0.381,0.018,0.017,0.033,8.21,1.1
3798,Lao PDR,H011201,2003-01-15,2003,1,15,21.0,7.28,20.0,18.7,1.463,0.396,0.149,0.024,1.603,0.121,0.2,0.008,0.041,0.115,7.11,2.4
3637,Lao PDR,H011201,2002-03-15,2002,3,15,26.0,7.54,35.0,29.6,1.758,0.462,0.09,0.01,2.031,0.194,0.467,0.132,0.046,0.018,8.1,1.1
2632,Lao PDR,H011201,1986-03-27,1986,3,27,23.0,7.9,69.0,28.7,1.563,0.545,0.54,0.014,2.23,0.099,0.42,0.013,0.004,0.023,8.38,0.6
2891,Lao PDR,H011201,1991-12-16,1991,12,16,19.8,7.73,14.0,23.4,1.475,0.562,0.247,0.047,1.784,0.186,0.447,0.211,0.031,0.045,7.82,0.7
3808,Lao PDR,H011201,2003-11-19,2003,11,19,22.8,7.98,90.0,26.5,1.803,0.49,0.253,0.051,2.034,0.188,0.621,0.145,0.06,0.04,7.08,1.83
3640,Lao PDR,H011201,2002-06-15,2002,6,15,27.2,8.03,98.0,24.2,1.65,0.401,0.089,0.01,1.908,0.387,0.463,0.35,0.026,0.013,7.389,1.3
3274,Lao PDR,H011201,1996-04-21,1996,4,21,26.8,8.04,3.0,27.2,1.611,0.522,0.455,0.067,1.829,0.157,0.463,0.195,0.055,0.079,8.22,1.9
3804,Lao PDR,H011201,2003-07-21,2003,7,21,28.2,7.23,83.0,20.05,1.367,0.438,0.205,0.048,1.585,0.182,0.406,0.204,0.078,0.042,6.93,1.3
2630,Lao PDR,H011201,1986-01-27,1986,1,27,20.0,7.2,20.0,24.6,1.766,0.358,0.202,0.011,2.016,0.087,0.358,0.019,0.017,0.099,8.24,0.5
2759,Lao PDR,H011201,1989-05-15,1989,5,15,27.8,7.75,194.0,25.6,1.073,0.504,0.433,0.053,1.455,0.397,0.55,0.357,0.041,0.022,6.64,3.1
3179,Lao PDR,H011201,1995-05-15,1995,5,15,26.0,7.8,60.0,26.7,1.511,0.46,0.683,0.066,1.699,0.317,0.68,0.337,0.053,0.115,7.92,1.6
2948,Lao PDR,H011201,1992-02-17,1992,2,17,19.5,7.88,84.0,26.7,1.876,0.644,0.105,0.039,2.026,0.295,0.463,0.019,0.026,0.041,8.71,0.5
3802,Lao PDR,H011201,2003-05-16,2003,5,16,28.4,7.23,20.0,29.2,1.878,0.566,0.254,0.033,1.984,0.342,0.33,0.137,0.035,0.03,7.08,1.3
3130,Lao PDR,H011201,1994-12-13,1994,12,13,20.4,7.69,212.0,22.3,1.442,0.457,0.224,0.023,1.562,0.239,0.484,0.084,0.037,0.067,7.42,2.1
3964,Lao PDR,H011201,2004-06-17,2004,6,17,27.2,7.87,38.0,21.9,1.181,0.795,0.091,0.004,1.358,0.145,0.652,0.126,0.054,0.04,6.6,0.784
3042,Lao PDR,H011201,1993-02-17,1993,2,17,23.6,7.9,84.0,27.2,1.541,0.752,0.47,0.049,2.108,0.274,0.336,0.16,0.017,0.025,8.79,0.4
3177,Lao PDR,H011201,1995-03-13,1995,3,13,22.3,7.89,8.0,30.7,1.688,0.503,0.594,0.054,2.095,0.302,0.674,0.132,0.077,0.027,8.56,0.3
