MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H350101,2000-08-18,2000,8,18,29.0,8.33,13.0,9.8,0.846,0.272,0.101,0.049,0.918,0.07,0.16,0.008,0.032,0.097,6.53,3.2
Lao PDR,H350101,2013-10-29,2013,10,29,22.9,7.39,78.5,8.81,0.471,0.242,0.12,0.023,0.688,0.095,0.131,0.17,0.01,0.15,8.19,2.06
Lao PDR,H350101,2007-12-13,2007,12,13,25.0,7.67,4.0,11.05,0.893,0.03,0.192,0.027,0.996,0.113,0.062,0.029,0.128,0.012,7.027,3.569
Lao PDR,H350101,1988-11-12,1988,11,12,22.0,7.67,40.0,6.9,0.495,0.255,0.155,0.017,0.794,0.052,0.123,0.109,0.022,0.023,8.82,1.3
Lao PDR,H350101,1995-05-12,1995,5,12,27.0,6.83,15.0,6.0,0.311,0.196,0.097,0.014,0.407,0.028,0.154,0.395,0.129,0.12,6.47,4.2
Lao PDR,H350101,2009-12-12,2009,12,12,25.0,7.57,5.0,18.37,0.901,0.547,0.246,0.028,1.804,0.029,0.059,0.106,0.027,0.033,7.28,0.9
Lao PDR,H350101,2000-01-13,2000,1,13,28.0,7.3,76.0,11.6,0.577,0.376,0.136,0.04,0.896,0.074,0.136,0.002,0.02,0.006,7.054,0.1
Lao PDR,H350101,1993-11-17,1993,11,17,29.0,7.33,20.0,10.5,0.685,0.179,0.088,0.036,0.884,0.1,0.096,0.044,0.094,0.02,7.86,0.4
Lao PDR,H350101,2011-06-14,2011,6,14,27.0,7.12,84.0,8.36,0.404,0.19,0.16,0.07,0.328,0.125,0.338,0.119,0.112,0.087,5.23,3.545
Lao PDR,H350101,2002-06-15,2002,6,15,26.6,7.78,90.0,20.3,0.043,0.049,0.081,0.025,1.168,0.092,0.086,0.163,0.018,0.065,7.02,0.8
Lao PDR,H350101,1990-11-15,1990,11,15,24.0,7.44,80.0,9.2,0.563,0.188,0.1,0.02,0.565,0.065,0.213,0.1,0.033,0.042,5.24,1.6
Lao PDR,H350101,1991-02-14,1991,2,14,28.9,7.5,21.0,14.8,0.8,0.229,0.28,0.03,1.054,0.11,0.279,0.17,0.027,0.026,8.42,0.1
Lao PDR,H350101,2007-07-18,2007,7,18,30.0,7.3,89.0,9.66,0.565,0.273,0.178,0.044,0.79,0.047,0.179,0.183,0.085,0.052,6.732,4.263
Lao PDR,H350101,2001-06-14,2001,6,14,29.0,7.9,80.0,11.3,0.685,0.311,0.095,0.029,0.502,0.111,0.159,0.018,0.073,0.076,7.76,2.4
Lao PDR,H350101,1991-01-14,1991,1,14,25.8,7.51,16.0,13.0,0.651,0.334,0.24,0.03,0.841,0.097,0.25,0.126,0.037,0.028,8.86,0.4
