Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7748,Viet Nam,H988113,2006-04-15,2006,4,15,27.4,7.09,132.5,23.1,0.899,0.75,0.538,0.06,1.174,0.305,0.626,0.02,0.006,0.347,5.32,3.56
7978,Viet Nam,H988113,2008-05-15,2008,5,15,26.1,6.92,88.5,25.9,1.0,0.71,0.664,0.088,1.164,0.973,0.45,0.5,0.047,0.049,5.69,5.73
7955,Viet Nam,H988113,2008-02-15,2008,2,15,26.5,6.31,118.0,19.2,0.71,0.4040000000000001,0.745,0.069,1.024,0.536,0.304,0.238,0.125,0.209,5.4,3.67
7993,Viet Nam,H988113,2008-07-15,2008,7,15,29.5,6.89,111.5,22.6,0.889,0.6559999999999999,0.625,0.0395,0.896,0.622,0.69,0.649,0.007,0.275,6.33,6.36
8131,Viet Nam,H988113,2009-05-15,2009,5,15,25.4,7.4,71.0,23.8,0.94,0.63,0.623,0.038,1.262,0.404,0.559,0.018,0.058,0.044,5.69,4.77
7586,Viet Nam,H988113,2005-01-15,2005,1,15,27.7,7.37,128.0,16.4,0.744,0.522,0.378,0.046,1.166,0.343,0.14,0.672,0.036,0.226,5.87,4.37
7587,Viet Nam,H988113,2005-12-15,2005,12,15,24.3,7.04,136.0,15.6,0.612,0.412,0.366,0.05,0.596,0.211,0.587,0.629,0.019,0.356,5.48,5.44
7965,Viet Nam,H988113,2008-03-15,2008,3,15,27.5,6.8,171.0,21.6,0.796,0.5469999999999999,0.539,0.081,1.012,0.549,0.496,0.497,0.067,0.127,6.39,8.26
7749,Viet Nam,H988113,2006-12-15,2006,12,15,25.3,6.81,89.0,15.0,0.583,0.508,0.361,0.059,0.667,0.27,0.449,0.794,0.046,0.144,6.4,7.41
7889,Viet Nam,H988113,2007-09-15,2007,9,15,27.9,6.82,149.0,18.2,0.812,0.4339999999999999,0.396,0.051,0.854,0.387,0.428,0.543,0.068,0.212,5.77,6.43
7903,Viet Nam,H988113,2007-10-15,2007,10,15,27.2,6.25,141.0,17.0,0.425,0.552,0.514,0.082,0.621,0.539,0.509,0.557,0.038,0.29,5.24,5.4
8042,Viet Nam,H988113,2008-10-15,2008,10,15,29.3,6.64,94.0,15.2,0.44,0.55,0.469,0.046,0.916,0.445,0.169,0.396,0.078,0.141,5.42,6.64
