Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7638,Viet Nam,H988310,2005-09-15,2005,9,15,28.0,7.52,32.5,12.1,0.657,0.3019999999999999,0.185,0.05,0.828,0.086,0.175,0.28,0.045,0.077,5.66,2.87
7345,Viet Nam,H988310,2003-06-15,2003,6,15,29.5,6.56,140.0,17.2,0.715,0.4640000000000001,0.503,0.051,0.506,0.705,0.484,0.28,0.008,0.16,5.7,3.99
8075,Viet Nam,H988310,2008-11-15,2008,11,15,29.3,6.54,96.0,10.3,0.31,0.25,0.373,0.042,0.564,0.253,0.23,0.423,0.01,0.066,5.11,5.82
7789,Viet Nam,H988310,2006-09-15,2006,9,15,24.7,6.81,43.0,9.9,0.468,0.265,0.234,0.059,0.552,0.263,0.164,0.029,0.059,0.146,3.39,4.99
7346,Viet Nam,H988310,2003-07-15,2003,7,15,25.5,6.27,69.0,16.3,0.574,0.373,0.577,0.071,0.614,0.541,0.445,0.265,0.057,0.062,6.37,5.31
7639,Viet Nam,H988310,2005-10-15,2005,10,15,24.7,7.23,37.0,10.2,0.559,0.246,0.25,0.032,0.796,0.152,0.118,0.056,0.053,0.054,5.64,2.93
7347,Viet Nam,H988310,2003-11-15,2003,11,15,29.0,6.56,100.0,9.3,0.287,0.248,0.254,0.05,0.334,0.215,0.353,0.463,0.006,0.267,5.97,7.36
7788,Viet Nam,H988310,2006-03-15,2006,3,15,27.3,6.92,148.0,21.6,0.832,0.6869999999999999,0.58,0.077,0.96,0.438,0.584,0.428,0.007,0.301,5.0,6.3
7462,Viet Nam,H988310,2004-08-15,2004,8,15,30.0,6.42,74.0,17.5,0.911,0.397,0.288,0.069,0.74,0.209,0.623,0.189,0.013,0.089,6.03,4.34
7461,Viet Nam,H988310,2004-07-15,2004,7,15,30.0,6.79,203.0,18.5,0.815,0.4260000000000001,0.416,0.081,0.638,0.304,0.644,0.792,0.024,0.166,5.85,6.28
7464,Viet Nam,H988310,2004-10-15,2004,10,15,30.0,7.22,13.0,11.8,0.623,0.359,0.177,0.035,0.976,0.201,0.06,0.104,0.065,0.103,6.34,2.66
7637,Viet Nam,H988310,2005-02-15,2005,2,15,28.2,7.07,109.0,19.1,0.805,0.5219999999999999,0.481,0.054,0.935,0.364,0.607,0.69,0.012,0.204,6.22,4.94
8090,Viet Nam,H988310,2008-12-15,2008,12,15,29.4,6.34,202.0,9.9,0.38,0.26,0.287,0.043,0.604,0.259,0.149,0.544,0.128,0.309,2.57,9.06
7787,Viet Nam,H988310,2006-02-15,2006,2,15,25.9,7.07,91.0,16.8,0.859,0.512,0.369,0.055,0.813,0.219,0.541,0.801,0.037,0.189,5.29,5.03
8005,Viet Nam,H988310,2008-07-15,2008,7,15,27.1,6.39,149.0,18.1,0.808,0.2139999999999999,0.703,0.054,0.787,0.722,0.242,0.821,0.096,0.398,2.01,6.64
7463,Viet Nam,H988310,2004-09-15,2004,9,15,29.6,6.7,36.5,12.3,0.8,0.1969999999999999,0.19,0.045,0.94,0.124,0.161,0.298,0.103,0.078,6.94,3.32
7790,Viet Nam,H988310,2006-10-15,2006,10,15,24.3,6.8,29.5,9.5,0.465,0.327,0.195,0.044,0.623,0.204,0.111,0.181,0.099,0.078,4.02,4.29
7907,Viet Nam,H988310,2007-10-15,2007,10,15,28.2,6.32,75.0,9.8,0.406,0.29,0.224,0.045,0.571,0.131,0.273,0.198,0.051,0.162,4.92,6.62
