Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
8015,Viet Nam,H988105,2008-08-15,2008,8,15,28.0,6.41,163.0,11.5,0.677,0.246,0.182,0.041,0.83,0.193,0.133,0.234,0.037,0.076,3.22,5.86
8087,Viet Nam,H988105,2008-12-15,2008,12,15,27.6,6.71,83.0,12.7,0.62,0.33,0.327,0.026,0.894,0.192,0.184,0.45,0.025,0.195,4.3,8.53
7392,Viet Nam,H988105,2004-10-15,2004,10,15,30.0,6.97,24.0,10.2,0.686,0.2219999999999999,0.161,0.03,0.945,0.138,0.045,0.479,0.022,0.188,6.53,1.86
7568,Viet Nam,H988105,2005-07-15,2005,7,15,27.6,6.95,124.0,14.2,0.776,0.351,0.255,0.067,0.711,0.203,0.436,0.573,0.094,0.129,5.17,3.64
7997,Viet Nam,H988105,2008-07-15,2008,7,15,27.5,6.45,65.5,13.8,0.758,0.2529999999999999,0.389,0.044,1.01,0.307,0.124,0.387,0.018,0.241,2.36,6.85
7968,Viet Nam,H988105,2008-03-15,2008,3,15,26.7,6.66,102.0,16.0,0.766,0.528,0.324,0.036,1.218,0.312,0.189,0.313,0.075,0.09,2.51,3.87
7735,Viet Nam,H988105,2006-09-15,2006,9,15,24.1,7.11,115.0,10.3,0.618,0.244,0.16,0.033,0.712,0.197,0.092,0.492,0.009,0.191,3.85,3.08
7886,Viet Nam,H988105,2007-09-15,2007,9,15,28.0,6.54,111.0,10.6,0.484,0.352,0.251,0.035,0.783,0.117,0.182,0.08,0.01,0.161,5.85,5.69
7390,Viet Nam,H988105,2004-08-15,2004,8,15,31.0,6.81,23.0,12.2,0.589,0.361,0.225,0.039,0.554,0.204,0.387,0.316,0.013,0.035,5.79,3.33
8031,Viet Nam,H988105,2008-09-15,2008,9,15,28.4,6.09,98.0,13.5,0.62,0.4,0.225,0.05,0.924,0.301,0.114,0.434,0.034,0.196,4.85,3.49
7391,Viet Nam,H988105,2004-09-15,2004,9,15,29.5,6.73,56.5,10.9,0.619,0.2229999999999999,0.176,0.042,0.578,0.096,0.392,0.319,0.018,0.101,6.87,2.96
7571,Viet Nam,H988105,2005-11-15,2005,11,15,23.0,7.25,50.5,11.2,0.612,0.287,0.196,0.036,0.889,0.054,0.1,0.05,0.018,0.14,5.87,1.69
7565,Viet Nam,H988105,2005-01-15,2005,1,15,27.3,7.06,43.0,18.6,0.813,0.3960000000000001,0.535,0.109,0.991,0.468,0.395,0.508,0.035,0.36,6.53,3.19
7393,Viet Nam,H988105,2004-11-15,2004,11,15,29.0,6.67,65.0,11.5,0.753,0.1159999999999999,0.258,0.038,0.826,0.103,0.221,0.422,0.005,0.065,6.58,3.9
7733,Viet Nam,H988105,2006-04-15,2006,4,15,28.1,6.95,34.5,19.2,0.954,0.486,0.455,0.075,1.519,0.27,0.272,0.034,0.051,0.07,6.08,1.72
7566,Viet Nam,H988105,2005-02-15,2005,2,15,27.7,7.09,67.0,19.1,0.872,0.5810000000000001,0.413,0.036,1.179,0.359,0.401,0.355,0.016,0.227,6.42,3.08
7736,Viet Nam,H988105,2006-11-15,2006,11,15,28.5,6.7,55.5,10.5,0.508,0.3389999999999999,0.235,0.032,0.758,0.232,0.105,0.126,0.02,0.204,4.96,3.92
7569,Viet Nam,H988105,2005-08-15,2005,8,15,28.5,7.15,125.0,11.9,0.618,0.309,0.215,0.055,0.662,0.093,0.421,0.127,0.065,0.22,4.85,3.5
7289,Viet Nam,H988105,2003-12-15,2003,12,15,26.0,7.06,29.5,11.3,0.366,0.574,0.202,0.04,0.81,0.243,0.123,0.282,0.011,0.109,7.13,3.11
8112,Viet Nam,H988105,2009-02-15,2009,2,15,27.3,6.75,73.0,14.2,0.75,0.42,0.188,0.021,0.987,0.212,0.164,0.113,0.018,0.109,4.89,2.89
7389,Viet Nam,H988105,2004-07-15,2004,7,15,30.0,6.5,22.0,11.0,0.495,0.412,0.194,0.035,0.524,0.208,0.324,0.289,0.012,0.115,5.62,3.1
7734,Viet Nam,H988105,2006-07-15,2006,7,15,26.5,6.83,154.0,12.2,0.664,0.272,0.277,0.048,0.703,0.315,0.167,0.913,0.076,0.215,5.8,3.19
7846,Viet Nam,H988105,2007-04-15,2007,4,15,30.3,7.0,35.5,18.5,0.953,0.5559999999999999,0.409,0.034,1.255,0.164,0.372,0.064,0.086,0.087,4.7,1.64
7818,Viet Nam,H988105,2007-01-15,2007,1,15,26.6,6.5,40.5,12.8,0.526,0.485,0.282,0.033,0.945,0.204,0.149,0.068,0.035,0.075,5.08,3.84
