Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7585,Viet Nam,H988111,2005-12-15,2005,12,15,23.5,6.47,118.0,10.8,0.318,0.3709999999999999,0.289,0.05,0.273,0.122,0.545,0.708,0.147,0.295,5.13,7.97
8034,Viet Nam,H988111,2008-09-15,2008,9,15,28.9,5.9,35.5,17.4,0.41,0.62,0.502,0.089,0.466,0.655,0.535,0.138,0.088,0.069,4.97,6.6
7902,Viet Nam,H988111,2007-10-15,2007,10,15,27.0,6.59,40.0,13.4,0.348,0.474,0.347,0.069,0.601,0.214,0.49,0.356,0.017,0.145,5.65,6.21
7746,Viet Nam,H988111,2006-11-15,2006,11,15,28.4,6.5,71.0,9.3,0.289,0.349,0.22,0.072,0.42,0.26,0.204,0.072,0.122,0.193,6.31,8.61
7919,Viet Nam,H988111,2007-11-15,2007,11,15,28.3,6.05,81.0,11.0,0.474,0.242,0.32,0.048,0.611,0.16,0.284,0.156,0.124,0.298,3.9,9.84
7404,Viet Nam,H988111,2004-10-15,2004,10,15,31.0,6.42,33.0,12.8,0.524,0.4209999999999999,0.256,0.047,0.936,0.261,0.151,0.354,0.01,0.089,6.79,6.44
8069,Viet Nam,H988111,2008-11-15,2008,11,15,27.8,6.52,26.0,9.8,0.28,0.39,0.318,0.047,0.756,0.136,0.139,0.017,0.017,0.051,3.25,5.82
7584,Viet Nam,H988111,2005-11-15,2005,11,15,23.7,6.87,64.5,9.7,0.371,0.3369999999999999,0.212,0.042,0.495,0.057,0.356,0.191,0.026,0.184,4.77,4.74
8046,Viet Nam,H988111,2008-10-15,2008,10,15,29.1,6.14,33.0,11.6,0.24,0.53,0.336,0.05,0.663,0.354,0.149,0.189,0.024,0.125,5.37,7.63
