Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
1304,82,Cambodia,H020101,1995-07-15,1995,7,15,29.4,7.48,148.0,10.6,0.64,0.214,0.19,0.04,0.8,0.101,0.115,0.368,0.008,0.05,6.72,1.3
1364,83,Cambodia,H020101,1995-09-20,1995,9,20,29.0,7.62,75.0,10.4,0.672,0.22,0.16,0.04,0.873,0.069,0.068,0.15,0.005,0.03,6.35,1.3
1374,84,Cambodia,H020101,1995-10-16,1995,10,16,29.8,7.21,13.8,9.8,0.579,0.222,0.15,0.03,0.845,0.066,0.048,0.074,0.02,0.02,3.8,2.1
1423,85,Cambodia,H020101,1995-11-21,1995,11,21,28.4,7.32,44.0,8.9,0.512,0.197,0.16,0.03,0.736,0.072,0.061,0.022,0.05,0.02,5.23,2.4
1449,86,Cambodia,H020101,1995-12-20,1995,12,20,28.0,7.26,18.0,8.1,0.433,0.181,0.16,0.04,0.65,0.84,0.039,0.064,0.08,0.02,5.12,3.3
1472,153,Cambodia,H020101,1996-01-18,1996,1,18,27.8,7.19,29.0,7.8,0.403,0.182,0.18,0.04,0.629,0.078,0.061,0.157,0.01,0.02,4.53,3.6
1504,154,Cambodia,H020101,1996-02-22,1996,2,22,29.0,7.37,18.0,6.4,0.283,0.159,0.18,0.04,0.506,0.063,0.056,0.16,0.04,0.04,5.07,4.3
1544,155,Cambodia,H020101,1996-04-20,1996,4,20,31.3,6.91,5.8,6.6,0.226,0.187,0.2,0.04,0.468,0.086,0.082,0.648,0.03,0.03,3.28,5.3
1578,156,Cambodia,H020101,1996-05-29,1996,5,29,30.0,7.63,34.0,12.4,0.654,0.264,0.22,0.04,0.875,0.142,0.175,0.256,0.01,0.04,6.19,1.9
1604,157,Cambodia,H020101,1996-06-20,1996,6,20,31.0,7.02,5.0,15.4,0.776,0.335,0.37,0.05,0.989,0.245,0.221,0.361,0.03,0.04,6.08,1.5
1616,158,Cambodia,H020101,1996-07-11,1996,7,11,30.6,7.41,77.5,13.3,0.727,0.243,0.33,0.04,0.94,0.195,0.139,0.298,0.09,0.04,6.53,1.3
