Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3274,7321,Viet Nam,H988304,2003-03-15,2003,3,15,26.5,6.8,3.0,15.21,0.776,0.4,0.28,0.05,1.159,0.177,0.111,0.162,0.139,0.057,5.32,2.39
3468,7322,Viet Nam,H988304,2003-08-15,2003,8,15,29.0,6.39,29.0,19.2,0.947,0.641,0.271,0.053,0.944,0.52,0.489,0.383,0.069,0.055,6.47,2.27
3679,7422,Viet Nam,H988304,2004-02-15,2004,2,15,29.0,6.83,26.0,15.3,0.688,0.429,0.389,0.043,1.077,0.254,0.17,0.446,0.065,0.044,6.53,3.25
3727,7423,Viet Nam,H988304,2004-04-15,2004,4,15,30.0,6.81,17.0,24.3,1.176,0.538,0.579,0.049,1.31,0.602,0.544,0.216,0.08,0.175,5.29,2.35
