Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
500,5365,Thailand,H371203,1990-01-15,1990,1,15,25.8,7.2,17.0,6.4,0.237,0.138,0.154,0.05,0.457,0.155,0.037,0.353,0.075,0.041,7.71,1.8
517,5366,Thailand,H371203,1990-02-14,1990,2,14,28.0,7.13,14.0,5.6,0.227,0.095,0.133,0.042,0.344,0.13,0.021,0.198,0.007,0.036,8.66,1.4
534,5367,Thailand,H371203,1990-04-17,1990,4,17,30.0,7.17,13.0,6.1,0.257,0.124,0.121,0.06,0.339,0.185,0.016,0.345,0.019,0.039,7.99,2.3
559,5368,Thailand,H371203,1990-07-16,1990,7,16,28.5,6.83,18.0,5.3,0.247,0.088,0.154,0.043,0.327,0.119,0.041,0.189,0.056,0.03,7.14,1.5
569,5369,Thailand,H371203,1990-08-13,1990,8,13,28.5,7.34,31.0,4.3,0.145,0.082,0.12,0.041,0.341,0.058,0.03,0.524,0.066,0.049,7.57,4.2
608,5370,Thailand,H371203,1990-10-16,1990,10,16,29.0,7.24,71.0,5.1,0.106,0.215,0.104,0.062,0.288,0.07,0.076,0.863,0.04,0.039,7.14,1.2
653,5426,Thailand,H371203,1991-03-12,1991,3,12,29.5,7.7,105.0,6.0,0.276,0.092,0.15,0.041,0.255,0.134,0.118,0.668,0.085,0.036,9.46,1.9
665,5427,Thailand,H371203,1991-04-17,1991,4,17,29.0,7.19,43.0,8.0,0.198,0.286,0.2,0.078,0.422,0.185,0.049,0.697,0.019,0.022,7.63,2.6
681,5428,Thailand,H371203,1991-06-11,1991,6,11,27.0,7.5,182.0,4.9,0.236,0.069,0.11,0.09,0.255,0.127,0.012,0.602,0.017,0.112,7.27,5.8
695,5429,Thailand,H371203,1991-07-15,1991,7,15,27.0,7.03,148.0,4.2,0.207,0.067,0.1,0.04,0.229,0.102,0.022,0.456,0.04,0.034,9.65,2.6
707,5430,Thailand,H371203,1991-08-14,1991,8,14,29.3,7.59,105.0,4.8,0.221,0.106,0.117,0.043,0.271,0.124,0.075,0.369,0.057,0.047,8.23,3.5
737,5431,Thailand,H371203,1991-11-13,1991,11,13,22.0,7.32,62.0,4.9,0.212,0.11,0.17,0.041,0.267,0.109,0.062,0.398,0.023,0.059,8.37,2.5
754,5432,Thailand,H371203,1991-12-17,1991,12,17,26.0,7.21,29.0,5.5,0.24,0.052,0.201,0.034,0.358,0.107,0.06,0.25,0.071,0.021,6.81,0.8
759,5488,Thailand,H371203,1992-01-15,1992,1,15,24.0,7.41,14.0,5.7,0.271,0.145,0.119,0.036,0.413,0.094,0.047,0.069,0.083,0.157,7.89,2.0
766,5489,Thailand,H371203,1992-02-12,1992,2,12,26.0,7.72,13.0,7.2,0.415,0.153,0.111,0.037,0.525,0.125,0.025,0.213,0.03,0.003,6.72,1.4
792,5490,Thailand,H371203,1992-04-05,1992,4,5,30.0,6.84,45.0,6.5,0.272,0.178,0.114,0.05,0.41,0.114,0.044,0.396,0.028,0.04,7.27,2.1
825,5491,Thailand,H371203,1992-06-17,1992,6,17,29.5,7.72,44.0,7.2,0.365,0.183,0.146,0.069,0.519,0.143,0.025,0.373,0.002,0.023,7.97,1.9
862,5492,Thailand,H371203,1992-09-16,1992,9,16,29.0,7.05,54.0,3.7,0.181,0.078,0.052,0.027,0.206,0.02,0.07,0.155,0.009,0.045,7.48,1.9
892,5493,Thailand,H371203,1992-11-18,1992,11,18,21.5,7.33,13.0,6.1,0.289,0.157,0.08,0.061,0.409,0.081,0.034,0.23,0.028,0.007,7.42,2.8
904,5554,Thailand,H371203,1993-01-12,1993,1,12,25.1,7.4,11.0,6.5,0.351,0.153,0.061,0.053,0.468,0.144,0.022,0.233,0.07,0.004,8.27,1.3
928,5555,Thailand,H371203,1993-02-16,1993,2,16,25.0,7.0,31.0,7.9,0.388,0.115,0.17,0.054,0.475,0.184,0.058,0.205,0.053,0.018,7.25,2.0
943,5556,Thailand,H371203,1993-03-15,1993,3,15,26.3,7.92,6.0,6.5,0.297,0.217,0.087,0.052,0.514,0.135,0.019,0.139,0.106,0.042,9.39,1.5
958,5557,Thailand,H371203,1993-04-15,1993,4,15,30.0,7.3,15.0,6.9,0.245,0.23,0.182,0.06,0.522,0.106,0.08,0.255,0.057,0.054,8.02,1.5
973,5558,Thailand,H371203,1993-06-14,1993,6,14,29.0,7.98,12.0,7.5,0.408,0.191,0.188,0.069,0.677,0.088,0.101,0.484,0.042,0.029,8.01,2.4
983,5559,Thailand,H371203,1993-07-14,1993,7,14,24.0,7.63,18.0,8.0,0.299,0.232,0.204,0.072,0.613,0.141,0.04,0.464,0.103,0.044,7.6,0.6
1010,5560,Thailand,H371203,1993-09-14,1993,9,14,30.0,7.72,46.0,6.3,0.33,0.134,0.166,0.071,0.471,0.14,0.03,0.446,0.114,0.03,5.54,1.9
1024,5561,Thailand,H371203,1993-10-12,1993,10,12,23.0,7.3,23.0,4.7,0.276,0.094,0.111,0.057,0.43,0.031,0.041,0.143,0.104,0.037,8.0,2.5
1048,5562,Thailand,H371203,1993-11-16,1993,11,16,28.0,6.95,4.0,6.7,0.32,0.164,0.152,0.057,0.516,0.056,0.139,0.262,0.056,0.061,8.31,3.7
1206,5670,Thailand,H371203,1995-01-17,1995,1,17,19.5,7.44,21.0,5.2,0.231,0.162,0.1,0.031,0.316,0.19,0.054,0.09,0.117,0.058,7.95,2.3
1233,5671,Thailand,H371203,1995-03-14,1995,3,14,27.5,7.54,6.0,5.3,0.3,0.102,0.099,0.053,0.368,0.059,0.087,0.217,0.106,0.085,7.15,2.0
1255,5672,Thailand,H371203,1995-04-17,1995,4,17,28.0,7.3,1.0,5.0,0.24,0.143,0.09,0.038,0.376,0.126,0.018,0.421,0.053,0.023,7.69,3.2
1279,5673,Thailand,H371203,1995-06-14,1995,6,14,32.2,7.24,70.0,4.9,0.253,0.121,0.084,0.038,0.317,0.112,0.041,0.381,0.122,0.324,7.17,3.8
1307,5674,Thailand,H371203,1995-07-17,1995,7,17,31.0,7.15,75.0,4.4,0.19,0.09,0.106,0.034,0.293,0.062,0.09,0.315,0.119,0.108,7.35,3.1
1325,5675,Thailand,H371203,1995-08-14,1995,8,14,29.0,7.15,6.0,4.1,0.221,0.052,0.081,0.026,0.283,0.065,0.017,0.407,0.073,0.05,7.43,1.3
1341,5676,Thailand,H371203,1995-09-13,1995,9,13,27.0,6.92,15.0,3.8,0.206,0.16,0.032,0.019,0.301,0.064,0.052,0.3,0.047,0.046,7.72,1.6
1369,5677,Thailand,H371203,1995-10-16,1995,10,16,24.0,6.98,74.0,3.3,0.177,0.087,0.058,0.014,0.225,0.051,0.031,0.359,0.041,0.029,7.98,2.7
