Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
57,2663,Lao PDR,H390199,1986-01-15,1986,1,15,24.4,7.9,18.0,13.1,0.593,0.544,0.18,0.026,1.305,0.049,0.043,0.021,0.048,0.02,7.13,1.1
71,2664,Lao PDR,H390199,1986-02-14,1986,2,14,24.4,7.7,25.0,13.2,0.632,0.408,0.205,0.03,1.232,0.006,0.01,0.006,0.04,0.026,6.83,1.5
86,2665,Lao PDR,H390199,1986-03-15,1986,3,15,28.4,7.9,43.0,12.2,0.507,0.411,0.2,0.028,1.248,0.003,0.007,0.003,0.025,0.024,8.58,1.3
101,2666,Lao PDR,H390199,1986-04-19,1986,4,19,29.0,7.7,50.0,14.8,0.54,0.652,0.215,0.04,1.519,0.026,0.008,0.004,0.053,0.017,8.25,2.1
105,2667,Lao PDR,H390199,1986-05-14,1986,5,14,28.4,7.45,40.0,12.0,0.708,0.337,0.24,0.044,1.355,0.049,0.003,0.172,0.031,0.025,4.76,3.1
154,2668,Lao PDR,H390199,1986-10-15,1986,10,15,28.6,7.64,182.0,8.3,0.641,0.047,0.169,0.03,0.766,0.004,0.08,0.205,0.001,0.016,6.79,1.7
235,2699,Lao PDR,H390199,1987-09-14,1987,9,14,29.2,8.2,88.0,9.1,0.33,0.418,0.105,0.029,0.785,0.058,0.071,0.004,0.025,0.066,7.52,1.9
247,2700,Lao PDR,H390199,1987-10-13,1987,10,13,28.2,7.48,72.0,8.5,0.41,0.352,0.152,0.028,0.87,0.018,0.085,0.051,0.022,0.025,8.22,1.6
261,2701,Lao PDR,H390199,1987-11-11,1987,11,11,26.4,8.0,48.0,11.0,0.51,0.447,0.17,0.021,1.037,0.012,0.076,0.061,0.013,0.02,8.42,1.2
281,2740,Lao PDR,H390199,1988-01-12,1988,1,12,24.8,7.32,16.0,12.6,0.36,0.76,0.183,0.028,1.314,0.069,0.042,0.074,0.044,0.04,8.07,1.1
296,2741,Lao PDR,H390199,1988-03-14,1988,3,14,25.4,7.86,24.0,13.9,0.595,0.64,0.179,0.037,1.424,0.103,0.003,0.088,0.026,0.025,6.89,1.7
306,2742,Lao PDR,H390199,1988-04-11,1988,4,11,34.0,7.72,8.0,14.7,0.53,0.785,0.249,0.042,1.498,0.035,0.101,0.071,0.004,0.037,8.51,1.6
315,2743,Lao PDR,H390199,1988-05-09,1988,5,9,33.0,7.84,4.0,13.8,0.522,0.628,0.165,0.041,1.118,0.019,0.107,0.134,0.03,0.042,9.86,2.0
351,2744,Lao PDR,H390199,1988-09-15,1988,9,15,31.6,7.32,120.0,9.1,0.421,0.348,0.131,0.018,0.779,0.018,0.054,0.077,0.029,0.025,7.6,1.5
376,2745,Lao PDR,H390199,1988-11-11,1988,11,11,23.8,7.49,32.0,8.0,0.429,0.384,0.135,0.017,0.927,0.006,0.103,0.102,0.021,0.029,8.4,1.3
