Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7805,4892,Lao PDR, H390105 ,2017-04-18,2017,4,18,26.7,7.39,152.0,10.4,0.514570858283433,0.4592592592592592,0.0782608695652174,0.0307692307692307,0.975286791215995,0.0414668547249647,0.0097855506974807,0.99,0.03,0.08,7.3,4.48
7827,4893,Lao PDR, H390105 ,2017-05-15,2017,5,15,26.7,6.96,15.33,9.5,0.284630738522954,0.2930041152263374,0.2234782608695652,0.1148337595907928,0.70401179941003,0.225669957686883,0.0670414324380595,0.13,0.04,0.09,7.17,2.68
7853,4894,Lao PDR, H390105 ,2017-06-12,2017,6,12,26.1,7.16,134.5,5.6,0.1452095808383233,0.1950617283950617,0.1956521739130435,0.0690537084398977,0.4097017371353654,0.0397743300423131,0.120258171975848,0.25,0.03,0.16,5.54,4.72
7879,4895,Lao PDR, H390105 ,2017-07-17,2017,7,17,25.6,7.52,12.5,15.4,0.994810379241517,0.2641975308641975,0.184347826086957,0.0314578005115089,1.22906588003933,0.017052186177715,0.203851759317093,0.13,0.04,0.15,6.12,4.84
7918,4896,Lao PDR, H390105 ,2017-08-18,2017,8,18,28.9,7.02,59.5,3.23,0.1996007984031936,0.08559670781893,0.0304347826086956,0.017,0.3064568993772533,0.006346967559944,0.0268582136164896,0.07,0.01,0.14,6.3,3.4
7944,4897,Lao PDR, H390105 ,2017-09-14,2017,9,14,28.2,7.5,116.0,3.97,0.1656686626746507,0.1555555555555555,0.0504347826086956,0.0483375959079283,0.401642084562439,0.007052186177715,0.026158650843223,0.2,0.01,0.02,6.67,4.72
7972,4898,Lao PDR, H390105 ,2017-10-12,2017,10,12,28.6,7.92,58.0,9.89,0.5439121756487026,0.2288065843621399,0.0782608695652174,0.0639386189258312,0.696358570960341,0.1596614950634696,0.1063918384343119,0.19,0.01,0.01,5.64,3.04
8200,4983,Lao PDR, H390105 ,2019-04-19,2019,4,19,29.5,8.3,10.2,10.9,0.88,0.1300411522633744,0.07,0.03,1.0160603080957062,0.007052186177715,0.0416406412658754,0.06,0.01,0.03,6.02,2.67
8207,4984,Lao PDR, H390105 ,2019-05-13,2019,5,13,30.4,8.67,21.94,27.9,1.44,0.745679012345679,0.38,0.118,1.884627990822681,0.1392985906260242,0.5100978555069748,0.01,0.01,0.01,6.2,1.94
8265,4985,Lao PDR, H390105 ,2019-09-18,2019,9,18,29.1,8.32,108.17,23.0,1.34,0.6493827160493827,0.08,0.04,1.466732218944608,0.0691114245416079,0.6246096189881324,0.13,0.01,0.034,6.25,2.21
8277,4986,Lao PDR, H390105 ,2019-10-17,2019,10,17,28.6,7.98,36.4,15.6,1.1377245508982037,0.2288065843621399,0.09,0.03,1.245493280891511,0.019181946403385,0.2248594628357277,0.3,0.036,0.03,7.08,2.41
8316,5015,Lao PDR, H390105 ,2020-05-29,2020,5,29,28.1,7.09,22.0,22.1,1.3597804391217565,0.4987654320987654,0.2413043478260869,0.0483375959079283,1.5880039331366764,0.0696755994358251,0.4965646470955653,0.025,0.01,0.05,6.11,2.86
8320,5016,Lao PDR, H390105 ,2020-06-12,2020,6,12,28.3,7.35,19.87,21.4,1.609281437125749,0.1086419753086419,0.3773913043478261,0.0739130434782608,1.4487053425106522,0.1119887165021156,0.4786591713512387,0.044,0.02,0.08,6.28,1.36
8333,5017,Lao PDR, H390105 ,2020-07-23,2020,7,23,28.0,7.57,57.2,17.2,1.0603792415169662,0.254320987654321,0.3682608695652174,0.0468030690537084,1.6130776794493609,0.0691114245416079,0.1074328544659587,0.027,0.05,0.08,6.13,3.05
8337,5018,Lao PDR, H390105 ,2020-08-07,2020,8,7,27.0,7.33,189.5,21.1,1.7090818363273454,0.0362139917695473,0.1960869565217391,0.0803069053708439,1.620780072107506,0.083215796897038,0.3025192587965854,0.076,0.037,0.01,6.16,4.6
8368,5019,Lao PDR, H390105 ,2020-09-18,2020,9,18,27.5,7.53,1.59,11.2,0.8607784431137725,0.0263374485596707,0.0847826086956521,0.1125319693094629,0.5339233038348082,0.095345557122708,0.4507599417031022,0.065,0.014,0.06,6.25,2.8
