Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
146,2676,Lao PDR,H910105,1986-09-16,1986,9,16,31.2,7.52,5.0,5.4,0.124,0.132,0.223,0.009,0.215,0.232,0.028,0.02,0.022,0.026,2.41,6.5
162,2677,Lao PDR,H910105,1986-10-16,1986,10,16,28.8,6.09,164.0,8.2,0.245,0.121,0.355,0.022,0.121,0.236,0.339,0.391,0.11,0.005,0.92,6.2
260,2709,Lao PDR,H910105,1987-10-16,1987,10,16,29.0,6.4,24.0,10.7,0.14,0.257,0.46,0.015,0.331,0.582,0.032,0.012,0.006,0.022,0.49,9.3
324,2756,Lao PDR,H910105,1988-05-23,1988,5,23,33.2,7.2,40.0,10.4,0.295,0.09,0.43,0.071,0.272,0.414,0.213,0.381,0.039,0.056,0.79,9.1
343,2757,Lao PDR,H910105,1988-08-16,1988,8,16,31.2,5.66,146.0,8.8,0.24,0.158,0.275,0.009,0.339,0.383,0.08,0.026,0.039,0.056,1.31,9.5
468,2809,Lao PDR,H910105,1989-10-17,1989,10,17,28.2,6.73,27.9,13.9,0.292,0.135,0.332,0.032,0.247,0.528,0.111,0.029,0.113,0.028,0.95,9.9
