Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
18,5064,Thailand,H380103,1985-08-15,1985,8,15,34.0,6.9,201.0,7.2,0.13,0.07,0.42,0.06,0.19,0.46,0.02,0.13,0.045,0.031,5.14,4.0
25,5065,Thailand,H380103,1985-09-16,1985,9,16,32.8,6.6,83.0,7.1,0.21,0.09,0.37,0.03,0.27,0.35,0.07,0.231,0.022,0.01,5.34,3.1
30,5066,Thailand,H380103,1985-10-14,1985,10,14,34.0,7.14,56.0,16.3,0.41,0.16,0.96,0.07,0.41,0.95,0.09,0.218,0.024,0.014,5.6,2.0
121,5129,Thailand,H380103,1986-07-15,1986,7,15,30.5,7.32,162.0,18.1,0.54,0.2,0.91,0.1,0.68,0.82,0.03,0.343,0.137,0.038,6.64,3.4
130,5130,Thailand,H380103,1986-08-17,1986,8,17,30.0,6.88,104.0,9.5,0.29,0.06,0.64,0.07,0.29,0.51,0.18,0.27,0.056,0.05,5.64,3.9
157,5131,Thailand,H380103,1986-10-15,1986,10,15,29.5,6.86,14.0,10.6,0.32,0.12,0.49,0.05,0.43,0.49,0.03,0.181,0.036,0.01,6.12,2.7
164,5132,Thailand,H380103,1986-11-13,1986,11,13,26.5,7.18,34.0,17.4,0.5,0.2,0.91,0.06,0.66,0.89,0.05,0.151,0.071,0.01,6.9,2.5
212,5208,Thailand,H380103,1987-05-14,1987,5,14,32.0,7.54,16.0,19.0,0.5,0.2,0.88,0.08,0.66,0.95,0.06,0.071,0.073,0.007,6.9,1.9
239,5209,Thailand,H380103,1987-09-15,1987,9,15,30.0,6.44,119.0,8.2,0.18,0.06,0.43,0.05,0.22,0.41,0.13,0.11,0.106,0.065,5.96,4.3
252,5210,Thailand,H380103,1987-10-15,1987,10,15,30.0,6.87,146.0,14.8,0.44,0.12,0.8,0.06,0.51,0.72,0.12,0.169,0.042,0.047,4.76,3.8
332,5273,Thailand,H380103,1988-06-16,1988,6,16,29.1,7.1,165.0,11.9,0.327,0.133,0.566,0.073,0.434,0.516,0.037,0.233,0.056,0.046,4.85,4.5
342,5274,Thailand,H380103,1988-08-16,1988,8,16,30.5,7.7,86.0,15.9,0.543,0.215,0.65,0.066,0.736,0.567,0.123,0.331,0.022,0.078,7.04,3.1
357,5275,Thailand,H380103,1988-09-18,1988,9,18,31.0,7.44,111.0,18.2,0.506,0.177,0.832,0.057,0.659,0.85,0.088,0.26,0.052,0.071,6.06,3.0
363,5276,Thailand,H380103,1988-10-16,1988,10,16,28.0,7.28,102.0,11.5,0.275,0.155,0.52,0.044,0.43,0.439,0.117,0.144,0.039,0.063,7.88,2.6
457,5328,Thailand,H380103,1989-08-15,1989,8,15,28.0,6.88,162.0,8.2,0.188,0.079,0.433,0.056,0.239,0.409,0.082,0.147,0.028,0.128,6.18,4.6
473,5329,Thailand,H380103,1989-11-15,1989,11,15,29.0,7.57,31.0,19.5,0.575,0.228,0.815,0.059,0.863,0.858,0.057,0.157,0.001,0.054,8.47,3.0
587,5377,Thailand,H380103,1990-09-13,1990,9,13,30.0,7.3,99.0,7.6,0.142,0.15,0.35,0.041,0.286,0.374,0.088,0.329,0.025,0.081,4.48,3.2
596,5378,Thailand,H380103,1990-10-15,1990,10,15,27.5,7.08,40.0,12.8,0.23,0.163,0.521,0.035,0.351,0.529,0.106,0.153,0.007,0.049,5.16,2.7
701,5440,Thailand,H380103,1991-08-13,1991,8,13,30.0,7.76,118.0,15.7,0.441,0.177,0.82,0.07,0.527,0.838,0.189,0.304,0.038,0.078,7.42,3.8
720,5441,Thailand,H380103,1991-09-16,1991,9,16,30.5,7.14,106.0,7.4,0.215,0.104,0.343,0.061,0.269,0.341,0.172,0.108,0.068,0.076,4.14,4.8
734,5442,Thailand,H380103,1991-11-13,1991,11,13,26.5,7.43,50.0,19.5,0.576,0.216,0.854,0.053,0.752,0.9,0.162,0.137,0.026,0.067,4.78,3.5
850,5500,Thailand,H380103,1992-09-14,1992,9,14,30.5,6.92,101.0,7.9,0.282,0.084,0.32,0.048,0.308,0.272,0.117,0.164,0.017,0.079,5.1,4.0
1014,5571,Thailand,H380103,1993-09-15,1993,9,15,27.8,7.33,94.0,12.2,0.237,0.25,0.674,0.048,0.53,0.637,0.052,0.164,0.101,0.068,5.72,3.8
1320,5691,Thailand,H380103,1995-08-14,1995,8,14,29.5,6.97,82.0,13.4,0.288,0.138,0.662,0.06,0.412,0.541,0.173,0.233,0.052,0.087,7.56,4.7
1345,5692,Thailand,H380103,1995-09-14,1995,9,14,30.0,7.24,80.0,15.4,0.432,0.326,0.59,0.058,0.678,0.514,0.16,0.341,0.053,0.063,7.35,3.3
1371,5693,Thailand,H380103,1995-10-16,1995,10,16,29.0,7.39,14.0,15.0,0.48,0.35,0.44,0.054,0.681,0.477,0.102,0.163,0.054,0.042,7.69,3.3
1401,5694,Thailand,H380103,1995-11-15,1995,11,15,26.5,7.47,32.0,23.2,0.431,0.375,0.94,0.06,0.743,0.853,0.348,0.185,0.079,0.028,7.34,3.7
1638,5787,Thailand,H380103,1996-08-14,1996,8,14,30.0,7.69,63.0,19.9,0.419,0.405,0.77,0.065,0.753,0.912,0.026,0.52,0.001,0.117,8.9,2.9
1655,5788,Thailand,H380103,1996-09-16,1996,9,16,27.5,7.12,96.0,12.4,0.237,0.146,0.63,0.036,0.351,0.66,0.063,0.244,0.023,0.007,6.4,0.1
1669,5789,Thailand,H380103,1996-10-16,1996,10,16,29.0,6.92,16.0,11.0,0.309,0.237,0.505,0.036,0.445,0.528,0.027,0.162,0.029,0.029,5.81,4.4
1686,5790,Thailand,H380103,1996-11-13,1996,11,13,29.0,6.91,90.0,20.8,0.622,0.189,0.165,0.04,0.713,0.113,0.036,0.137,0.077,0.007,6.76,3.5
1860,5878,Thailand,H380103,1997-08-14,1997,8,14,29.0,6.78,33.0,10.4,0.367,0.144,0.482,0.051,0.426,0.466,0.044,0.24,0.041,0.083,3.88,6.0
1884,5879,Thailand,H380103,1997-09-16,1997,9,16,30.5,7.03,73.0,10.3,0.364,0.133,0.451,0.052,0.452,0.382,0.055,0.35,0.032,0.059,6.89,3.2
1906,5880,Thailand,H380103,1997-10-15,1997,10,15,29.0,7.04,5.0,9.0,0.235,0.12,0.525,0.04,0.392,0.458,0.006,0.286,0.032,0.064,7.47,2.5
2054,5972,Thailand,H380103,1998-09-16,1998,9,16,30.0,7.37,56.0,15.9,0.417,0.347,0.908,0.068,0.572,0.991,0.022,0.395,0.046,0.076,7.99,3.2
2069,5973,Thailand,H380103,1998-10-15,1998,10,15,31.5,6.8,41.0,14.7,0.295,0.227,0.775,0.046,0.544,0.705,0.012,0.18,0.035,0.042,8.46,3.9
2157,6065,Thailand,H380103,1999-08-16,1999,8,16,29.0,7.26,32.0,15.2,0.529,0.138,0.653,0.061,0.703,0.591,0.01,0.181,0.038,0.029,9.08,3.4
2174,6066,Thailand,H380103,1999-09-14,1999,9,14,30.2,7.01,72.0,15.2,0.49,0.082,0.847,0.059,0.615,0.714,0.021,0.266,0.093,0.04,9.28,1.2
2210,6067,Thailand,H380103,1999-10-14,1999,10,14,30.0,7.02,24.0,14.6,0.45,0.15,0.817,0.043,0.605,0.67,0.083,0.098,0.038,0.02,6.07,2.6
2345,6166,Thailand,H380103,2000-04-19,2000,4,19,29.1,7.53,116.0,20.9,0.788,0.224,0.787,0.062,1.19,0.679,0.025,0.161,0.067,0.034,7.32,1.8
2421,6167,Thailand,H380103,2000-08-17,2000,8,17,31.0,7.07,29.0,17.0,0.565,0.131,0.983,0.06,0.561,0.986,0.092,0.164,0.144,0.063,4.72,3.4
2436,6168,Thailand,H380103,2000-09-13,2000,9,13,27.5,6.85,55.0,11.0,0.367,0.033,0.661,0.046,0.448,0.604,0.022,0.302,0.118,0.03,5.27,3.0
2737,6277,Thailand,H380103,2001-07-19,2001,7,19,30.5,6.75,143.0,9.8,0.365,0.148,0.396,0.088,0.585,0.35,0.022,0.239,0.034,0.097,5.61,3.3
2752,6278,Thailand,H380103,2001-08-16,2001,8,16,30.5,6.83,33.0,9.6,0.268,0.142,0.404,0.062,0.344,0.444,0.05,0.241,0.027,0.066,5.14,3.8
2775,6279,Thailand,H380103,2001-09-12,2001,9,12,28.7,6.78,107.0,6.3,0.125,0.182,0.277,0.053,0.274,0.292,0.081,0.136,0.025,0.054,5.18,4.4
2821,6280,Thailand,H380103,2001-10-17,2001,10,17,31.0,6.82,43.0,12.7,0.32,0.179,0.628,0.038,0.49,0.736,0.061,0.162,0.037,0.024,5.77,3.87
2850,6281,Thailand,H380103,2001-11-15,2001,11,15,24.0,6.95,65.0,13.8,0.39,0.226,0.611,0.053,0.566,0.776,0.039,0.167,0.055,0.052,7.4,4.64
2874,6282,Thailand,H380103,2001-12-13,2001,12,13,26.0,7.32,40.0,18.9,0.613,0.29,0.873,0.064,0.796,0.979,0.082,0.284,0.038,0.03,7.56,2.28
3083,6369,Thailand,H380103,2002-07-17,2002,7,17,30.5,6.88,95.0,13.8,0.347,0.148,0.701,0.086,0.515,0.792,0.032,0.421,0.041,0.117,6.42,4.16
3105,6370,Thailand,H380103,2002-08-14,2002,8,14,29.0,6.69,147.0,9.0,0.235,0.156,0.369,0.03,0.351,0.394,0.01,0.533,0.101,0.102,5.66,4.1
3129,6371,Thailand,H380103,2002-09-17,2002,9,17,29.0,6.45,17.0,5.8,0.19,0.039,0.219,0.03,0.226,0.204,0.03,0.15,0.08,0.057,5.11,4.08
3445,6416,Thailand,H380103,2003-08-13,2003,8,13,30.3,7.0,94.0,15.0,0.5,0.19,0.758155719878208,0.0771867007672634,1.0,0.64,0.07,0.573286,0.11303,0.08362,9.0,4.0
3523,6417,Thailand,H380103,2003-10-15,2003,10,15,30.0,6.85,31.0,11.2,0.47,0.094,0.7378,0.0633,0.572,0.659,0.0311,0.1734979999999999,0.008605,0.0395849999999999,6.5,3.62
3671,6462,Thailand,H380103,2004-02-12,2004,2,12,24.5,6.93,41.0,20.3,0.648,0.425,0.9922,0.0875,0.882,0.982,0.32,0.49,0.034,0.137,9.75,7.57
