,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3262,Lao PDR,H013900,2006-02-14,2006,2,14,25.2,7.3,14.0,22.3,1.176,0.639,0.454,0.039,1.55,0.435,0.374,0.098,0.018,0.017,8.2,0.71
5667,Viet Nam,H988316,2006-02-15,2006,2,15,25.7,7.26,40.5,13.2,0.718,0.286,0.343,0.049,0.831,0.277,0.194,0.603,0.021,0.269,5.61,3.22
5622,Viet Nam,H039801,2006-02-15,2006,2,15,25.8,7.24,102.0,10.1,0.507,0.3089999999999999,0.247,0.045,0.741,0.213,0.053,0.401,0.02,0.19,7.25,6.59
5608,Viet Nam,H019804,2006-02-15,2006,2,15,25.3,7.45,46.0,14.0,0.82,0.2720000000000001,0.297,0.039,1.051,0.213,0.162,0.33,0.01,0.112,6.77,1.97
5631,Viet Nam,H039803,2006-02-15,2006,2,15,25.0,7.33,34.0,14.6,0.834,0.27,0.314,0.044,1.066,0.268,0.148,0.504,0.018,0.182,5.65,3.14
5661,Viet Nam,H988115,2006-02-15,2006,2,15,25.9,7.43,34.5,13.9,0.795,0.2219999999999998,0.302,0.04,0.911,0.262,0.137,0.0,0.035,0.074,4.97,2.77
5638,Viet Nam,H440202,2006-02-15,2006,2,15,22.0,7.42,22.0,3.8,0.174,0.044,0.132,0.038,0.233,0.086,0.038,0.191,0.01,0.044,7.3,1.32
5646,Viet Nam,H451303,2006-02-15,2006,2,15,20.7,6.69,8.8,6.0,0.179,0.194,0.217,0.035,0.385,0.185,0.026,0.381,0.03,0.169,6.78,1.76
5655,Viet Nam,H988114,2006-02-15,2006,2,15,25.3,7.39,40.5,15.0,0.859,0.2669999999999999,0.314,0.043,0.97,0.287,0.137,0.392,0.014,0.101,6.45,2.73
1119,Cambodia,H019807,2006-02-15,2006,2,15,29.6,7.54,63.0,13.87,0.617,0.312,0.32,0.0429,0.9168,0.133,0.196,0.064,0.0703,0.0024,7.437,1.689
1107,Cambodia,H019806,2006-02-15,2006,2,15,29.5,7.43,7.0,14.3,0.833,0.209,0.327,0.0445,1.0932,0.128,0.175,0.067,0.0757,0.0133,6.506,1.928
3251,Lao PDR,H013401,2006-02-15,2006,2,15,24.0,7.0,60.0,23.5,1.286,0.619,0.437,0.043,1.619,0.392,0.488,0.136,0.023,0.02,7.5,0.82
3282,Lao PDR,H230103,2006-02-15,2006,2,15,25.4,7.0,8.0,10.5,0.525,0.318,0.154,0.029,0.762,0.164,0.111,0.046,0.016,0.016,7.7,0.9
5598,Viet Nam,H019803,2006-02-15,2006,2,15,25.2,7.48,25.5,14.0,0.825,0.3720000000000001,0.285,0.036,0.978,0.301,0.144,0.274,0.011,0.052,5.8,2.25
5613,Viet Nam,H019805,2006-02-15,2006,2,15,25.3,7.43,60.0,15.8,0.8,0.292,0.394,0.046,0.82,0.361,0.257,0.43,0.011,0.188,5.9,3.02
3245,Lao PDR,H011901,2006-02-15,2006,2,15,24.5,7.4,60.0,27.7,1.411,0.785,0.509,0.068,1.727,0.458,0.637,0.166,0.023,0.046,8.2,0.85
1087,Cambodia,H019801,2006-02-16,2006,2,16,28.3,7.94,5.0,15.84,0.716,0.429,0.375,0.0322,1.113,0.102,0.381,0.007,0.0339,0.0056,6.505,0.211
1167,Cambodia,H020107,2006-02-16,2006,2,16,29.0,7.03,86.0,15.94,0.902,0.291,0.333,0.0416,1.1903,0.291,0.135,0.31,0.221,0.022,4.395,1.065
1221,Cambodia,H440103,2006-02-17,2006,2,17,26.5,7.29,5.0,3.97,0.142,0.113,0.109,0.044,0.3158,0.023,0.097,0.075,0.0253,0.0082,8.317,0.13
1230,Cambodia,H450101,2006-02-17,2006,2,17,25.0,7.56,8.0,6.09,0.337,0.067,0.142,0.0419,0.3621,0.092,0.107,0.186,0.0285,0.0018,9.816,0.105
1209,Cambodia,H430102,2006-02-18,2006,2,18,27.5,7.55,5.0,6.07,0.269,0.142,0.145,0.0265,0.416,0.019,0.19,0.006,0.0296,0.0018,7.611,1.049
3310,Lao PDR,H390105,2006-02-18,2006,2,18,25.6,7.4,24.0,13.8,0.654,0.422,0.258,0.044,1.165,0.052,0.135,0.074,0.142,0.025,8.6,1.81
1175,Cambodia,H020108,2006-02-19,2006,2,19,29.2,7.34,38.0,9.62,0.468,0.081,0.252,0.0724,0.5431,0.154,0.153,0.184,0.036,0.0126,7.182,3.946
1151,Cambodia,H020103,2006-02-20,2006,2,20,29.4,7.18,67.0,8.83,0.411,0.072,0.256,0.0668,0.5391,0.101,0.23,0.054,0.0735,0.031,6.739,2.824
1130,Cambodia,H020101,2006-02-20,2006,2,20,29.7,7.01,16.0,8.34,0.404,0.136,0.237,0.0553,0.599,0.101,0.115,0.096,0.0993,0.0197,6.668,3.533
1078,Cambodia,H014901,2006-02-20,2006,2,20,29.4,7.27,2.0,18.5,0.795,0.498,0.378,0.0377,1.1555,0.167,0.389,0.011,0.0071,0.0356,9.3,0.567
1160,Cambodia,H020106,2006-02-20,2006,2,20,29.5,7.2,174.0,8.93,0.428,0.136,0.262,0.068,0.5862,0.093,0.19,0.039,0.0939,0.0075,7.178,4.862
1192,Cambodia,H033402,2006-02-20,2006,2,20,30.9,7.24,8.0,10.29,0.47,0.193,0.375,0.0547,0.6277,0.291,0.169,0.121,0.0821,0.0107,7.839,3.76
1140,Cambodia,H020102,2006-02-21,2006,2,21,29.6,6.98,10.0,8.19,0.457,0.0255,0.288,0.0587,0.5276,0.1,0.164,0.087,0.125,0.0107,6.084,3.517
3272,Lao PDR,H100101,2006-02-21,2006,2,21,24.2,7.3,6.0,25.9,1.556,0.573,0.459,0.037,1.812,0.435,0.271,0.037,0.032,0.135,8.2,0.76
1182,Cambodia,H033401,2006-02-21,2006,2,21,30.2,7.08,12.0,11.01,0.453,0.206,0.415,0.0655,0.6433,0.201,0.212,0.106,0.18,0.0082,5.919,3.683
3299,Lao PDR,H350101,2006-03-11,2006,3,11,29.0,6.6,28.0,13.5,0.548,0.434,0.316,0.037,1.085,0.286,0.076,0.015,0.013,0.018,8.8,0.932
3252,Lao PDR,H013401,2006-03-12,2006,3,12,25.0,7.0,82.0,24.6,1.419,0.588,0.447,0.043,1.558,0.382,0.368,0.091,0.124,0.026,9.1,0.192
4607,Thailand,H013101,2006-03-13,2006,3,13,27.0,8.39,22.0,23.45,1.3828386936545385,0.5642617658015647,0.4282798541171747,0.0329230899662291,1.733933393339334,0.3102,0.4384790834049521,0.065,0.0229755603108458,0.0398908251102246,7.9,2.796116504854368
4630,Thailand,H050104,2006-03-13,2006,3,13,23.0,8.04,28.5,11.97,0.5364460449521917,0.3695517198559541,0.227523672499749,0.0541182122620847,1.1276327632763277,0.0465299999999999,0.0203506893404654,0.145,0.0083342718774636,0.0755826159983203,7.55,4.893203883495144
4645,Thailand,H310102,2006-03-13,2006,3,13,28.0,7.71,3.166666666666665,15.64,0.3675648826524276,0.2384204644231962,0.7628734901462175,0.0371621144254002,0.5688568856885688,0.8262599999999999,0.1433158160861241,0.065,0.0319855839621579,0.0244943662957519,7.5,3.495145631067959
3263,Lao PDR,H013900,2006-03-13,2006,3,13,25.6,7.0,16.0,23.1,1.156,0.599,0.48,0.059,1.623,0.334,0.374,0.058,0.016,0.017,7.8,0.194
4657,Thailand,H380128,2006-03-13,2006,3,13,29.5,7.66,1.5000000000001124,13.67,0.3019992549360486,0.1947100459456103,0.6959547629404089,0.0369266130665573,0.493969396939694,0.7275599999999999,0.078350153960792,0.1,0.0263543191800878,0.0181958149625586,7.35,1.7475728155339805
3311,Lao PDR,H390105,2006-03-13,2006,3,13,26.0,6.5,28.0,12.8,0.595,0.416,0.2,0.059,1.135,0.12,0.063,0.172,0.018,0.044,8.3,1.65
4618,Thailand,H013801,2006-03-13,2006,3,13,28.0,8.27,5.999999999999964,22.71,1.3454861542282377,0.4951198311188374,0.4115501723157226,0.030097073660115,1.6705670567056703,0.3243,0.3437701060897089,0.1,0.04662687239554,0.0237945272587304,7.85,1.7475728155339805
1079,Cambodia,H014901,2006-03-15,2006,3,15,29.7,7.72,3.0,17.87,0.856,0.473,0.391,0.0339,1.2,0.151,0.354,0.055,0.0205,0.0154,8.659,0.832
5656,Viet Nam,H988114,2006-03-15,2006,3,15,27.3,7.42,50.0,17.1,0.914,0.4169999999999999,0.356,0.052,1.191,0.219,0.249,0.026,0.018,0.19,6.38,3.46
5668,Viet Nam,H988316,2006-03-15,2006,3,15,27.1,7.22,125.5,16.9,0.762,0.4730000000000001,0.376,0.072,1.162,0.284,0.223,0.051,0.004,0.209,5.44,5.98
5647,Viet Nam,H451303,2006-03-15,2006,3,15,24.8,7.3,42.5,6.4,0.204,0.212,0.21,0.041,0.506,0.087,0.059,0.239,0.014,0.045,6.62,0.82
5639,Viet Nam,H440202,2006-03-15,2006,3,15,24.5,7.37,28.0,6.1,0.278,0.1639999999999999,0.108,0.028,0.471,0.068,0.035,0.283,0.042,0.041,7.07,1.22
5632,Viet Nam,H039803,2006-03-15,2006,3,15,27.2,7.43,59.0,17.1,0.884,0.489,0.368,0.055,1.182,0.255,0.259,0.346,0.088,0.37,5.5,3.58
5662,Viet Nam,H988115,2006-03-15,2006,3,15,27.3,7.06,44.0,17.0,0.812,0.5089999999999999,0.356,0.052,1.182,0.249,0.251,0.026,0.005,0.063,4.9,3.14
5609,Viet Nam,H019804,2006-03-15,2006,3,15,27.2,7.12,44.0,16.5,0.869,0.4419999999999999,0.364,0.051,1.131,0.242,0.224,0.02,0.063,0.084,6.51,3.18
5623,Viet Nam,H039801,2006-03-15,2006,3,15,27.3,6.92,54.0,14.0,0.68,0.392,0.376,0.046,1.172,0.222,0.098,0.016,0.142,0.087,7.13,6.9
5599,Viet Nam,H019803,2006-03-15,2006,3,15,26.6,7.75,41.0,17.1,0.966,0.425,0.344,0.042,1.192,0.278,0.212,0.02,0.105,0.084,5.51,2.74
5614,Viet Nam,H019805,2006-03-15,2006,3,15,27.1,7.27,61.0,19.3,0.787,0.628,0.55,0.054,1.131,0.368,0.375,0.071,0.06,0.18,5.73,4.06
3283,Lao PDR,H230103,2006-03-16,2006,3,16,25.8,6.7,6.0,10.4,0.615,0.278,0.142,0.037,0.711,0.26,0.096,0.041,0.045,0.017,6.1,0.893
3321,Lao PDR,H910108,2006-03-16,2006,3,16,26.1,7.0,58.0,28.3,1.364,0.754,0.717,0.066,1.758,0.69,0.475,0.178,0.157,0.044,4.4,5.98
1210,Cambodia,H430102,2006-03-18,2006,3,18,28.0,7.2,31.4,7.1,0.303,0.213,0.16,0.0228,0.563,0.0571,0.045,0.0205,0.008,0.0313,6.7731,1.03
1222,Cambodia,H440103,2006-03-19,2006,3,19,28.5,6.53,1.0,4.52,0.146,0.143,0.172,0.0418,0.3514,0.037,0.0944,0.038,0.112,0.0046,8.737,0.113
1108,Cambodia,H019806,2006-03-20,2006,3,20,31.0,7.36,10.0,16.3,0.856,0.43,0.399,0.0399,1.1336,0.129,0.345,0.0228,0.075,0.022,6.356,1.276
1120,Cambodia,H019807,2006-03-20,2006,3,20,31.2,7.69,102.0,16.22,0.881,0.306,0.38,0.0381,1.1738,0.137,0.345,0.105,0.0303,0.0291,7.188,2.01
1183,Cambodia,H033401,2006-03-20,2006,3,20,32.0,7.53,5.0,11.72,0.574,0.242,0.302,0.0313,0.7252,0.313,0.113,0.182,0.1686,0.1297,6.013,4.077
1097,Cambodia,H019802,2006-03-21,2006,3,21,31.0,6.86,2.0,17.5,0.782,0.518,0.39,0.0341,1.278,0.183,0.334,0.055,0.0177,0.0098,7.883,0.961
1168,Cambodia,H020107,2006-03-21,2006,3,21,26.5,7.03,145.38,13.24,0.533,0.503,0.2992,0.0325,1.2321,0.116,0.0427,0.10778,0.1139,0.19603,4.8012,5.27
1131,Cambodia,H020101,2006-03-21,2006,3,21,31.4,7.17,21.0,8.99,0.431,0.202,0.219,0.022,0.6504,0.102,0.126,0.104,0.0219,0.0447,6.431,0.3516
1152,Cambodia,H020103,2006-03-22,2006,3,22,30.7,7.13,13.0,8.65,0.429,0.0245,0.294,0.054,0.4818,0.1,0.212,0.228,0.02078,0.0699,6.736,2.418
1161,Cambodia,H020106,2006-03-22,2006,3,22,31.6,6.67,170.0,9.28,0.479,0.15,0.227,0.077,0.613,0.101,0.268,0.076,0.2148,0.1075,8.526,2.128
1141,Cambodia,H020102,2006-03-22,2006,3,22,31.5,7.03,17.0,8.63,0.494,0.0298,0.293,0.021,0.5495,0.101,0.165,0.118,0.01359,0.0493,6.281,2.378
5663,Viet Nam,H988115,2006-04-15,2006,4,15,27.4,6.77,36.5,19.1,0.894,0.5459999999999999,0.418,0.051,1.305,0.3,0.218,0.002,0.03,0.157,5.21,2.8
5648,Viet Nam,H451303,2006-04-15,2006,4,15,24.9,7.53,53.0,8.8,0.243,0.3329999999999999,0.297,0.049,0.595,0.128,0.066,0.69,0.001,0.143,7.04,3.2
5669,Viet Nam,H988316,2006-04-15,2006,4,15,27.5,7.07,51.0,18.2,0.775,0.5459999999999999,0.538,0.051,1.038,0.34,0.375,0.358,0.098,0.18,5.81,3.4
5640,Viet Nam,H440202,2006-04-15,2006,4,15,25.8,7.35,28.0,5.4,0.164,0.213,0.163,0.04,0.524,0.027,0.017,0.09,0.006,0.07,7.27,1.4
5600,Viet Nam,H019803,2006-04-15,2006,4,15,27.2,7.73,29.5,18.4,0.949,0.511,0.368,0.045,1.339,0.27,0.239,0.071,0.018,0.078,5.93,1.64
5633,Viet Nam,H039803,2006-04-15,2006,4,15,28.3,6.82,39.5,18.9,0.874,0.561,0.338,0.077,1.334,0.273,0.185,0.005,0.013,0.142,5.56,2.76
5624,Viet Nam,H039801,2006-04-15,2006,4,15,28.1,7.06,26.5,13.0,0.437,0.447,0.368,0.068,0.944,0.213,0.073,0.276,0.083,0.136,7.43,6.68
5610,Viet Nam,H019804,2006-04-15,2006,4,15,28.3,7.49,36.5,18.9,0.904,0.576,0.298,0.045,1.329,0.184,0.214,0.038,0.005,0.162,6.86,2.16
5615,Viet Nam,H019805,2006-04-15,2006,4,15,28.5,7.47,39.5,26.2,0.899,0.72,0.757,0.063,1.266,0.689,0.4,0.109,0.005,0.139,5.93,2.44
3284,Lao PDR,H230103,2006-04-16,2006,4,16,28.5,7.4,9.0,10.4,0.523,0.234,0.14,0.019,0.675,0.221,0.077,0.077,0.013,0.019,8.8,0.629
4658,Thailand,H380128,2006-04-17,2006,4,17,32.0,7.4,6.833333333333275,16.14,0.3160642570281124,0.2060240963855421,0.8732893900358017,0.0462330896827586,0.4986149584487535,0.7811399999999997,0.0338270655592352,0.075,0.055199933494056,0.0159213623148276,6.7,6.084507042253521
4646,Thailand,H310102,2006-04-17,2006,4,17,30.0,7.41,4.000000000000045,16.75,0.3931726907630522,0.2273092369477911,0.8398300264328974,0.0492352383634572,0.552539242843952,0.8516399999999998,0.1227779548537313,0.055,0.0992601213733477,0.0263048594766717,6.7,7.774647887323944
4639,Thailand,H290103,2006-04-17,2006,4,17,31.0,7.95,4.50000000000013,25.63,1.2991967871485943,0.6606425702811245,0.5944613600115993,0.040371751782347,1.6768236380424746,0.4822199999999999,0.5047379331472367,0.11,0.115055283065924,0.0401495223591305,7.9,4.394366197183098
4631,Thailand,H050104,2006-04-17,2006,4,17,27.2,7.89,33.16666666666676,11.94,0.516867469879518,0.3726907630522088,0.2375614815806203,0.066390373681735,1.0570637119113573,0.00141,0.0252511897836544,0.15,0.1025854185717848,0.0830679772947528,6.95,4.394366197183098
4619,Thailand,H013801,2006-04-17,2006,4,17,32.0,8.08,7.833333333333442,23.95,1.25140562248996,0.6522088353413655,0.5163895116048227,0.0363688868747489,1.5660203139427515,0.3962099999999999,0.4828218061651971,0.085,0.0443927175991354,0.0214592274678111,7.45,1.6901408450704227
4608,Thailand,H013101,2006-04-17,2006,4,17,29.5,8.09,15.5,24.4,1.3401606425702812,0.6437751004016065,0.4940832692028865,0.038370319328548,1.6908587257617729,0.36942,0.5295126853878034,0.065,0.0610192035913209,0.0311504914855323,7.45,4.732394366197183
3264,Lao PDR,H013900,2006-04-18,2006,4,18,26.2,7.5,10.0,20.2,1.028,0.512,0.432,0.043,1.335,0.368,0.412,0.107,0.036,0.03,7.6,0.862
3312,Lao PDR,H390105,2006-04-18,2006,4,18,26.5,7.7,34.0,11.3,0.391,0.353,0.268,0.049,0.933,0.111,0.117,0.283,0.188,0.066,7.5,2.92
3273,Lao PDR,H100101,2006-04-19,2006,4,19,26.1,7.2,14.17,26.9,1.447,0.566,0.68,0.049,2.035,0.553,0.208,0.124,0.043,0.026,8.9,1.911
1217,Cambodia,H440102,2006-04-21,2006,4,21,28.5,7.12,2.0,5.0,0.21,0.076,0.1546,0.0467,0.352,0.017,0.155,0.099,0.0107,0.0332,7.008,7.615
1169,Cambodia,H020107,2006-04-21,2006,4,21,26.5,6.86,154.105,12.2,0.592,0.407,0.2486,0.0257,1.168,0.12038,0.0427,0.1077,0.134,0.193575,4.894,5.222
3300,Lao PDR,H350101,2006-04-21,2006,4,21,32.0,7.65,1.0,13.2,0.582,0.376,0.312,0.032,1.016,0.311,0.07,0.033,0.019,0.019,7.3,0.9
1121,Cambodia,H019807,2006-04-22,2006,4,22,31.8,7.7,2.0,16.86,0.824,0.378,0.4076,0.0404,1.136,0.175,0.254,0.1165,0.0112,0.0419,7.852,0.769
1211,Cambodia,H430102,2006-04-22,2006,4,22,28.5,7.23,36.416,7.5,0.375,0.288,0.1676,0.0211,0.664,0.08334,0.0464,0.108,0.0089,0.0313,6.903,1.947
1109,Cambodia,H019806,2006-04-22,2006,4,22,31.7,7.76,4.0,17.59,0.933,0.42,0.4614,0.0417,1.316,0.168,0.247,0.0781,0.0163,0.0458,7.538,1.107
3293,Lao PDR,H320101,2006-04-22,2006,4,22,30.0,8.2,2.29,17.8,1.058,0.566,0.09,0.016,1.443,0.255,0.054,0.037,0.019,0.018,8.0,1.095
1080,Cambodia,H014901,2006-04-23,2006,4,23,29.5,7.25,2.0,19.7,0.984,0.46,0.2601,0.0433,1.336,0.248,0.276,0.0218,0.0307,0.0307,8.09,2.372
3253,Lao PDR,H013401,2006-04-23,2006,4,23,30.0,7.8,23.0,24.6,1.29,0.542,0.597,0.04,1.812,0.343,0.378,0.087,0.045,0.032,7.5,0.862
4659,Thailand,H380128,2006-05-15,2006,5,15,31.0,7.58,13.0,12.09,0.1054558769681435,0.2812156719150495,0.6154849934754242,0.0409366509708312,0.3960927025474048,0.60913228089276,0.065742213180552,0.11,0.0669214361891219,0.0295423023578363,7.3,3.733333333333333
3313,Lao PDR,H390105,2006-05-15,2006,5,15,26.8,7.5,15.0,10.7,0.386,0.423,0.212,0.041,0.487,0.204,0.352,0.224,0.129,0.032,6.0,3.87
3265,Lao PDR,H013900,2006-05-15,2006,5,15,26.5,8.0,5.0,21.5,1.094,0.523,0.548,0.038,1.426,0.422,0.378,0.152,0.045,0.025,6.5,1.114
4620,Thailand,H013801,2006-05-15,2006,5,15,32.0,8.15,25.66666666666661,20.088,0.9764433052605886,0.6991334065665815,0.3871248368856024,0.0441236226306857,1.4878375790078533,0.2873728905824714,0.3189844996033201,0.365,0.0642552435122644,0.0517337031900138,7.4,2.3111111111111096
3274,Lao PDR,H100101,2006-05-16,2006,5,16,27.0,8.0,17.0,25.4,1.323,0.653,0.458,0.046,1.822,0.352,0.352,0.134,0.034,0.03,6.9,1.495
3301,Lao PDR,H350101,2006-05-17,2006,5,17,30.4,7.86,42.0,14.4,0.553,0.392,0.376,0.086,1.103,0.256,0.091,0.065,0.022,0.025,7.7,1.121
3294,Lao PDR,H320101,2006-05-17,2006,5,17,30.1,7.54,29.0,16.1,1.105,0.451,0.089,0.021,1.402,0.075,0.143,0.33,0.025,0.019,7.8,1.211
4647,Thailand,H310102,2006-05-17,2006,5,17,30.2,7.68,6.000000000000103,10.82,0.3066031978518248,0.2745758574392775,0.3653762505437147,0.0511349602823656,0.6466194215667498,0.3512335329341317,0.0973828505401759,0.14,0.1282438677568432,0.0378640776699029,6.3,5.155555555555555
4609,Thailand,H013101,2006-05-17,2006,5,17,29.8,8.24,22.33333333333337,25.6,1.2826559257903092,0.6663249115098259,0.5828621139625925,0.0482666857884966,1.5828385366787974,0.4371997822536745,0.4439845484314642,0.13,0.0731425524351226,0.0475728155339805,8.35,3.733333333333333
3254,Lao PDR,H013401,2006-05-17,2006,5,17,28.9,7.6,36.0,25.3,1.325,0.626,0.423,0.032,1.755,0.298,0.329,0.033,0.056,0.032,5.5,0.86
3285,Lao PDR,H230103,2006-05-18,2006,5,18,28.3,7.6,12.0,10.6,0.635,0.313,0.125,0.018,0.624,0.245,0.128,0.049,0.021,0.013,6.5,0.19
3246,Lao PDR,H011901,2006-05-18,2006,5,18,28.9,8.1,78.0,28.3,1.524,0.684,0.577,0.059,1.652,0.544,0.653,0.409,0.045,0.045,7.0,1.747
1193,Cambodia,H033402,2006-05-22,2006,5,22,31.1,6.99,5.0,19.13,0.7682,0.449,0.578,0.0565,1.1485,0.304,0.2843,0.1357,0.0379,0.0379,6.994,0.121
1184,Cambodia,H033401,2006-05-22,2006,5,22,30.5,6.95,26.0,19.8,0.8092,0.375,0.593,0.047,1.189,0.357,0.16,0.0556,0.0018,0.218,5.816,0.388
1223,Cambodia,H440103,2006-05-22,2006,5,22,31.5,6.83,41.0,4.12,0.1384,0.013,0.1822,0.04075,0.2634,0.017,0.06411,0.183,0.0098,0.0655,7.285,0.113
1231,Cambodia,H450101,2006-05-22,2006,5,22,27.5,7.07,53.0,7.15,0.2531,0.099,0.2582,0.04625,0.4898,0.047,0.0963,0.3981,0.0073,0.0883,7.393,1.288
1110,Cambodia,H019806,2006-05-22,2006,5,22,31.1,7.28,13.0,17.28,0.961,0.317,0.4702,0.0464,1.2638,0.219,0.1723,0.0159,0.0093,0.0294,7.803,0.44
1218,Cambodia,H440102,2006-05-22,2006,5,22,31.0,6.79,40.0,5.89,0.2561,0.084,0.1502,0.03425,0.3375,0.015,0.1759,0.1821,0.0018,0.0604,7.782,0.109
1122,Cambodia,H019807,2006-05-22,2006,5,22,31.1,7.3,31.0,18.61,0.9597,0.399,0.4672,0.0446,1.2514,0.244,0.2565,0.0201,0.0025,0.004,7.744,0.141
1201,Cambodia,H033403,2006-05-22,2006,5,22,31.0,6.85,28.0,12.37,0.5074,0.387,0.2665,0.039,0.7986,0.302,0.0895,0.0911,0.0104,0.0237,8.194,0.117
1071,Cambodia,H014501,2006-05-23,2006,5,23,30.5,6.98,14.0,19.82,1.08,0.243,0.3992,0.0474,1.3934,0.265,0.2031,0.234,0.0068,0.0009,8.619,1.12
1081,Cambodia,H014901,2006-05-23,2006,5,23,28.7,7.29,6.0,18.06,0.9331,0.297,0.445,0.045,1.272,0.259,0.1053,0.1053,0.0093,0.002,8.656,1.078
1088,Cambodia,H019801,2006-05-23,2006,5,23,31.0,7.09,4.0,18.64,0.957,0.331,0.368,0.0475,1.272,0.233,0.207,0.0017,0.0083,0.0509,8.431,0.836
1098,Cambodia,H019802,2006-05-23,2006,5,23,30.8,7.3,7.0,17.72,0.929,0.3533,0.4612,0.046,1.251,0.24,0.2189,0.001,0.0097,0.0011,7.582,0.945
1132,Cambodia,H020101,2006-05-23,2006,5,23,30.1,6.83,76.0,10.6,0.4511,0.273,0.2892,0.044,0.808,0.127,0.099,0.1361,0.0054,0.113,7.0,2.185
1142,Cambodia,H020102,2006-05-24,2006,5,24,32.0,7.03,82.0,10.16,0.485,0.092,0.3512,0.0395,0.695,0.097,0.1394,0.1522,0.0068,0.1517,7.877,2.137
4602,Thailand,H010501,2006-06-13,2006,6,13,24.8,7.88,119.6666666666668,24.61,1.3325227963525836,0.6711246200607905,0.4658547194432362,0.0481074168797953,1.4953123458008486,0.312832,0.6260324199425473,0.39,0.1446295332292208,0.1351313969571231,7.3,3.1079136690647493
4621,Thailand,H013801,2006-06-13,2006,6,13,31.0,7.69,56.500000000000085,20.89,0.9687537993920976,0.4941033434650455,0.4773535874014343,0.0487668711193596,1.3974143886312052,0.4307456,0.0483752324501058,0.325,0.0804268610098906,0.0604426002766251,6.95,3.4532374100719423
4632,Thailand,H050104,2006-06-13,2006,6,13,28.8,7.74,97.66666666666669,12.69,0.6030395136778116,0.3345896656534955,0.2457590256633319,0.0867774936061381,1.2837264383696831,0.0577535999999999,0.0436325626020563,0.2,0.0899705014749262,0.1835408022130014,6.9,6.561151079136692
3302,Lao PDR,H350101,2006-06-14,2006,6,14,32.0,6.6,22.0,9.08,0.365,0.243,0.231,0.059,0.452,0.293,0.149,0.102,0.033,0.01,7.9,3.502
3314,Lao PDR,H390105,2006-06-14,2006,6,14,28.2,6.1,82.0,6.05,0.264,0.121,0.115,0.09,0.298,0.109,0.178,0.272,0.096,0.025,7.4,3.901
4610,Thailand,H013101,2006-06-14,2006,6,14,31.0,7.78,56.00000000000008,20.45,1.1049240121580548,0.426018237082067,0.44389422379853,0.058423677281609,1.5371558274943256,0.3200512,0.0151759317093483,0.39,0.1533055700156168,0.1033195020746888,6.85,5.179856115107913
3266,Lao PDR,H013900,2006-06-14,2006,6,14,27.9,6.9,74.0,20.8,1.055,0.375,0.638,0.047,1.18,0.441,0.403,0.326,0.048,0.025,7.7,1.75
3255,Lao PDR,H013401,2006-06-15,2006,6,15,31.0,7.1,174.0,20.1,1.152,0.45,0.375,0.047,1.425,0.308,0.365,0.356,0.081,0.019,7.8,2.058
5625,Viet Nam,H039801,2006-06-15,2006,6,15,28.1,7.2,34.5,19.1,0.952,0.4339999999999999,0.465,0.049,1.037,0.531,0.289,0.01,0.244,0.098,7.24,2.12
5649,Viet Nam,H451303,2006-06-15,2006,6,15,26.0,6.73,46.0,7.4,0.269,0.2089999999999999,0.202,0.049,0.272,0.34,0.073,0.386,0.142,0.225,7.17,2.59
5670,Viet Nam,H988316,2006-06-15,2006,6,15,27.3,7.04,100.0,19.5,0.908,0.42,0.489,0.059,0.959,0.613,0.361,0.09,0.25,0.065,5.66,3.15
5657,Viet Nam,H988114,2006-06-15,2006,6,15,26.8,7.16,112.5,20.4,1.015,0.4590000000000001,0.5,0.067,1.203,0.626,0.396,0.151,0.293,0.102,6.57,3.78
5601,Viet Nam,H019803,2006-06-15,2006,6,15,27.0,7.58,61.0,17.6,0.942,0.3760000000000001,0.368,0.047,0.964,0.414,0.355,0.349,0.063,0.164,5.74,1.6
5641,Viet Nam,H440202,2006-06-15,2006,6,15,25.8,7.28,67.0,3.8,0.146,0.108,0.109,0.014,0.13,0.194,0.063,0.366,0.058,0.053,7.28,2.06
5664,Viet Nam,H988115,2006-06-15,2006,6,15,27.1,7.13,112.5,20.9,0.991,0.5179999999999999,0.489,0.073,1.179,0.634,0.426,0.23,0.242,0.137,5.1,4.42
5616,Viet Nam,H019805,2006-06-15,2006,6,15,26.4,7.24,55.0,20.0,0.869,0.532,0.453,0.068,1.101,0.436,0.463,0.541,0.075,0.106,5.71,1.94
1072,Cambodia,H014501,2006-06-16,2006,6,16,31.7,7.12,9.0,19.41,0.943,0.298,0.418,0.045,1.039,0.458,0.205,0.5282,0.0049,0.1003,8.102,2.244
3286,Lao PDR,H230103,2006-06-16,2006,6,16,29.8,6.1,6.0,11.1,0.721,0.254,0.168,0.02,0.882,0.126,0.139,0.067,0.019,0.012,6.04,1.198
3275,Lao PDR,H100101,2006-06-19,2006,6,19,30.0,6.9,12.0,23.8,1.425,0.431,0.454,0.04,1.634,0.507,0.198,0.012,0.035,0.028,6.8,1.843
