,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3865,Thailand,H013801,1986-02-13,1986,2,13,23.4,8.4,19.0,19.9,1.37,0.52,0.4,0.03,1.71,0.26,0.36,0.28,0.014,0.027,8.0,0.9
3874,Thailand,H050104,1986-02-13,1986,2,13,22.0,7.68,40.0,9.8,0.53,0.26,0.24,0.06,0.98,0.04,0.09,0.257,0.036,0.05,7.68,0.6
2685,Lao PDR,H100101,1986-02-16,1986,2,16,22.2,8.0,2.0,25.6,1.167,0.778,0.531,0.036,2.374,0.05,0.13,0.003,0.012,0.018,8.17,0.6
2679,Lao PDR,H011901,1986-02-18,1986,2,18,22.8,8.1,70.0,25.3,1.393,0.496,0.43,0.036,1.686,0.187,0.564,0.012,0.012,0.039,7.1,1.5
3851,Thailand,H010501,1986-03-13,1986,3,13,25.0,7.87,73.0,28.1,1.64,0.63,0.55,0.05,1.99,0.32,0.52,0.362,0.035,0.022,8.62,0.8
3857,Thailand,H013101,1986-03-13,1986,3,13,24.3,8.23,20.0,24.4,1.48,0.48,0.48,0.04,1.86,0.29,0.37,0.233,0.034,0.019,8.6,0.6
3882,Thailand,H310102,1986-03-13,1986,3,13,27.0,7.51,12.0,19.5,0.69,0.18,0.83,0.08,0.91,0.77,0.06,0.04,0.037,0.005,7.49,2.9
3875,Thailand,H050104,1986-03-13,1986,3,13,20.8,7.69,16.5,10.9,0.56,0.22,0.26,0.06,1.02,0.03,0.04,0.244,0.036,0.049,7.76,0.9
3866,Thailand,H013801,1986-03-13,1986,3,13,23.0,8.33,9.5,23.6,1.46,0.46,0.46,0.03,1.82,0.28,0.31,0.148,0.033,0.019,8.63,0.8
2680,Lao PDR,H011901,1986-03-17,1986,3,17,23.4,7.9,25.0,27.0,1.473,0.523,0.492,0.039,2.117,0.006,0.406,0.033,0.019,0.022,8.08,0.6
2696,Lao PDR,H350101,1986-03-17,1986,3,17,30.0,7.6,6.0,14.9,0.814,0.222,0.298,0.034,1.319,0.145,0.016,0.016,0.0,0.012,6.98,1.0
3867,Thailand,H013801,1986-04-15,1986,4,15,29.4,8.15,3.0,24.8,1.42,0.5,0.5,0.04,1.81,0.33,0.37,0.064,0.013,0.021,6.84,0.7
3858,Thailand,H013101,1986-04-16,1986,4,16,28.0,8.13,9.0,26.3,1.49,0.54,0.56,0.04,1.86,0.35,0.43,0.034,0.031,0.018,7.32,0.9
3852,Thailand,H010501,1986-04-17,1986,4,17,26.0,7.94,109.5,29.0,1.62,0.55,0.64,0.06,1.91,0.38,0.6,0.318,0.019,0.031,7.43,1.6
3876,Thailand,H050104,1986-04-17,1986,4,17,27.0,7.73,60.5,12.3,0.6,0.26,0.28,0.09,1.1,0.02,0.01,0.216,0.023,0.071,6.48,1.6
2681,Lao PDR,H011901,1986-04-18,1986,4,18,28.0,8.4,50.0,29.2,1.62,0.514,0.535,0.045,1.69,0.381,0.544,0.157,0.056,0.09,8.03,1.5
2686,Lao PDR,H100101,1986-04-22,1986,4,22,28.0,7.9,6.0,25.5,1.48,0.385,0.45,0.042,2.056,0.262,0.006,0.008,0.036,0.042,7.82,1.4
3853,Thailand,H010501,1986-05-13,1986,5,13,26.8,7.89,333.5,26.5,1.43,0.49,0.59,0.06,1.67,0.4,0.48,0.469,0.012,0.053,6.9,1.7
2682,Lao PDR,H011901,1986-05-14,1986,5,14,28.2,7.9,220.0,22.7,1.372,0.37,0.5,0.067,1.668,0.265,0.312,0.234,0.0,0.042,6.68,2.0
3859,Thailand,H013101,1986-05-15,1986,5,15,28.0,7.86,190.5,17.7,1.02,0.29,0.35,0.05,1.25,0.23,0.18,0.627,0.028,0.063,6.65,1.4
3868,Thailand,H013801,1986-05-15,1986,5,15,29.8,8.03,72.5,25.3,1.43,0.51,0.49,0.05,1.74,0.33,0.43,0.475,0.009,0.052,6.72,1.0
3877,Thailand,H050104,1986-06-15,1986,6,15,26.0,7.26,350.0,10.2,0.51,0.19,0.26,0.1,0.9,0.02,0.02,0.428,0.029,0.105,6.14,2.4
3883,Thailand,H310102,1986-06-16,1986,6,16,30.0,6.51,138.0,5.4,0.18,0.07,0.23,0.06,0.29,0.19,0.08,0.119,0.03,0.064,6.13,4.3
3869,Thailand,H013801,1986-06-16,1986,6,16,28.4,7.59,280.0,13.9,0.88,0.22,0.25,0.04,1.05,0.15,0.18,0.295,0.011,0.044,6.54,1.8
3860,Thailand,H013101,1986-06-17,1986,6,17,28.3,7.42,104.0,11.5,0.7,0.18,0.26,0.08,0.82,0.18,0.14,0.27,0.0,0.043,6.3,1.6
2691,Lao PDR,H320101,1986-06-17,1986,6,17,27.2,7.52,36.0,17.6,1.636,0.116,0.067,0.022,1.695,0.042,0.115,0.146,0.024,0.017,6.21,2.7
2683,Lao PDR,H011901,1986-07-15,1986,7,15,27.9,7.84,254.0,21.0,1.651,0.173,0.315,0.039,1.639,0.155,0.312,0.129,0.0,0.024,6.63,1.7
3884,Thailand,H310102,1986-07-16,1986,7,16,29.7,7.23,20.0,11.0,0.44,0.1,0.46,0.05,0.52,0.46,0.03,0.113,0.006,0.032,6.47,3.0
3870,Thailand,H013801,1986-07-16,1986,7,16,27.8,7.84,144.0,11.9,0.83,0.19,0.19,0.03,0.98,0.14,0.08,0.292,0.0,0.034,6.84,1.3
3861,Thailand,H013101,1986-07-16,1986,7,16,28.8,7.97,174.0,16.6,1.17,0.27,0.3,0.04,1.32,0.15,0.26,0.381,0.0,0.037,6.8,1.2
2692,Lao PDR,H320101,1986-07-29,1986,7,29,24.6,7.46,78.0,16.8,1.502,0.16,0.208,0.009,1.605,0.028,0.106,0.069,0.01,0.008,7.36,1.5
3878,Thailand,H050104,1986-08-17,1986,8,17,28.0,7.56,24.0,8.6,0.44,0.2,0.23,0.07,0.74,0.08,0.04,0.301,0.066,0.061,6.2,1.9
2687,Lao PDR,H100101,1986-08-17,1986,8,17,26.5,7.4,142.0,16.0,1.203,0.225,0.21,0.028,1.648,0.068,0.072,0.001,0.0,0.014,8.2,2.3
3885,Thailand,H310102,1986-08-18,1986,8,18,30.4,6.94,58.0,6.8,0.25,0.07,0.3,0.04,0.29,0.31,0.04,0.059,0.076,0.025,6.01,2.6
2697,Lao PDR,H350101,1986-08-19,1986,8,19,23.6,6.67,8.0,19.4,0.299,0.089,0.745,0.019,0.128,1.03,0.056,0.009,0.064,0.014,6.03,1.4
2693,Lao PDR,H320101,1986-08-19,1986,8,19,27.0,7.54,52.0,20.3,1.851,0.181,0.057,0.012,2.015,0.028,0.108,0.054,0.021,0.022,6.29,1.6
2698,Lao PDR,H350101,1986-09-11,1986,9,11,27.0,6.47,198.0,5.3,0.277,0.144,0.115,0.026,0.455,0.031,0.092,0.083,0.0,0.003,6.36,2.6
2694,Lao PDR,H320101,1986-09-11,1986,9,11,25.6,7.55,85.0,17.1,1.168,0.525,0.046,0.016,1.718,0.007,0.105,0.173,0.0,0.004,6.39,1.6
2688,Lao PDR,H100101,1986-09-14,1986,9,14,25.8,7.7,132.0,16.1,0.945,0.464,0.164,0.019,1.527,0.033,0.13,0.218,0.0,0.012,8.9,0.8
3886,Thailand,H310102,1986-09-15,1986,9,15,31.4,6.73,60.0,5.8,0.22,0.06,0.25,0.03,0.3,0.25,0.01,0.052,0.08,0.019,5.6,2.2
3879,Thailand,H050104,1986-09-15,1986,9,15,28.0,7.62,146.0,10.3,0.6,0.24,0.16,0.06,0.097,0.02,0.01,0.358,0.211,0.044,6.52,1.3
3880,Thailand,H050104,1986-10-15,1986,10,15,27.0,7.82,100.0,11.1,0.68,0.24,0.15,0.07,1.04,0.05,0.07,0.112,0.022,0.029,6.84,1.3
3871,Thailand,H013801,1986-10-15,1986,10,15,27.4,7.95,224.0,18.0,1.24,0.34,0.26,0.03,1.3,0.18,0.23,0.251,0.002,0.028,7.2,0.5
2689,Lao PDR,H100101,1986-10-15,1986,10,15,25.8,8.1,128.0,15.9,1.168,0.346,0.175,0.023,1.606,0.038,0.114,0.183,0.0,0.022,8.2,0.5
2690,Lao PDR,H100101,1986-11-13,1986,11,13,23.9,7.8,16.0,22.0,1.445,0.577,0.304,0.022,2.143,0.086,0.193,0.019,0.0,0.002,8.2,0.6
3881,Thailand,H050104,1986-11-17,1986,11,17,25.0,7.57,57.0,11.0,0.67,0.26,0.2,0.06,1.07,0.04,0.01,0.55,0.07,0.033,7.14,1.0
3862,Thailand,H013101,1986-11-18,1986,11,18,26.2,7.91,216.0,19.0,1.28,0.4,0.3,0.04,1.59,0.23,0.19,0.362,0.052,0.029,7.46,0.7
2684,Lao PDR,H011901,1986-12-15,1986,12,15,22.8,7.86,272.0,22.8,1.768,0.197,0.338,0.033,1.838,0.12,0.404,0.092,0.005,0.023,8.47,0.6
3854,Thailand,H010501,1986-12-16,1986,12,16,19.0,7.55,172.0,23.3,1.4,0.54,0.42,0.04,1.82,0.28,0.34,0.242,0.0,0.025,8.58,0.5
3872,Thailand,H013801,1986-12-17,1986,12,17,23.8,8.09,64.0,19.1,1.3,0.35,0.33,0.03,1.64,0.23,0.25,0.23,0.005,0.027,8.16,0.4
3863,Thailand,H013101,1986-12-17,1986,12,17,24.2,8.07,73.0,21.9,1.34,0.44,0.42,0.04,1.75,0.3,0.25,0.244,0.0,0.031,8.16,0.6
2699,Lao PDR,H350101,1986-12-18,1986,12,18,25.0,7.63,36.0,9.4,0.63,0.118,0.192,0.019,0.801,0.077,0.125,0.019,0.045,0.002,8.61,1.0
3909,Thailand,H050104,1987-01-15,1987,1,15,23.0,7.8,35.0,11.8,0.65,0.26,0.23,0.07,1.09,0.04,0.01,0.174,0.048,0.069,7.88,1.0
3892,Thailand,H013101,1987-01-15,1987,1,15,22.3,8.17,89.0,22.7,1.37,0.45,0.44,0.04,1.73,0.29,0.27,0.181,0.0,0.043,8.28,0.4
3887,Thailand,H010501,1987-01-15,1987,1,15,18.5,7.54,143.0,23.7,1.43,0.5,0.43,0.04,1.82,0.26,0.34,0.258,0.023,0.048,8.7,0.9
2700,Lao PDR,H011901,1987-01-15,1987,1,15,22.4,7.74,288.0,21.1,1.216,0.607,0.357,0.052,1.706,0.109,0.425,0.124,0.062,0.016,7.8,1.8
3899,Thailand,H013801,1987-01-15,1987,1,15,23.8,8.24,41.0,22.4,1.4,0.44,0.4,0.03,1.77,0.26,0.27,0.164,0.007,0.037,8.19,0.7
2707,Lao PDR,H320101,1987-01-19,1987,1,19,22.0,7.42,88.0,21.4,1.249,0.493,0.336,0.037,1.713,0.117,0.323,0.081,0.019,0.012,8.2,0.1
2711,Lao PDR,H350101,1987-01-20,1987,1,20,25.0,6.44,136.0,11.0,0.165,0.025,0.613,0.029,0.084,0.725,0.113,0.068,0.008,0.014,7.8,1.6
2708,Lao PDR,H320101,1987-02-13,1987,2,13,24.8,7.73,16.0,22.4,1.378,0.464,0.369,0.036,1.777,0.223,0.419,0.064,0.002,0.011,8.5,0.4
3888,Thailand,H010501,1987-02-15,1987,2,15,19.5,8.67,128.0,24.6,1.47,0.53,0.45,0.04,1.95,0.25,0.43,0.342,0.021,0.032,8.68,0.6
3900,Thailand,H013801,1987-02-16,1987,2,16,25.4,8.17,8.0,21.3,1.35,0.46,0.37,0.03,1.81,0.2,0.26,0.146,0.026,0.027,7.71,1.0
3920,Thailand,H310102,1987-02-16,1987,2,16,29.0,7.29,32.0,16.5,0.54,0.18,0.69,0.07,0.76,0.66,0.07,0.295,0.065,0.016,6.91,1.9
3893,Thailand,H013101,1987-02-17,1987,2,17,25.0,8.0,24.0,21.9,1.35,0.44,0.42,0.04,1.79,0.25,0.3,0.15,0.021,0.035,7.91,0.8
2701,Lao PDR,H011901,1987-02-17,1987,2,17,22.8,8.04,72.0,24.3,1.494,0.593,0.396,0.041,1.932,0.235,0.388,0.001,0.018,0.008,7.13,0.6
3889,Thailand,H010501,1987-03-16,1987,3,16,23.0,7.92,58.0,27.9,1.67,0.52,0.51,0.05,2.07,0.28,0.52,0.293,0.027,0.052,8.44,1.4
3910,Thailand,H050104,1987-03-16,1987,3,16,23.0,7.7,13.0,11.4,0.61,0.23,0.24,0.07,1.06,0.05,0.01,0.298,0.023,0.046,9.02,0.8
3901,Thailand,H013801,1987-03-16,1987,3,16,29.0,8.17,6.0,21.9,1.36,0.39,0.43,0.04,1.73,0.28,0.25,0.234,0.024,0.024,7.67,0.4
2702,Lao PDR,H011901,1987-03-17,1987,3,17,26.4,8.03,284.0,25.4,1.479,0.638,0.4,0.047,1.904,0.03,0.652,0.043,0.0,0.005,7.47,1.5
3894,Thailand,H013101,1987-03-17,1987,3,17,28.5,8.1,7.0,24.3,1.47,0.43,0.5,0.04,1.99,0.33,0.32,0.352,0.024,0.048,7.8,0.5
3911,Thailand,H050104,1987-04-15,1987,4,15,27.8,7.73,72.0,11.7,0.6,0.24,0.26,0.08,1.11,0.03,0.08,0.113,0.061,0.054,7.06,0.8
3902,Thailand,H013801,1987-04-15,1987,4,15,29.6,8.14,4.0,23.0,1.38,0.45,0.47,0.04,1.78,0.32,0.32,0.039,0.056,0.025,7.17,0.2
3912,Thailand,H050104,1987-05-13,1987,5,13,29.0,7.71,66.0,12.1,0.68,0.26,0.26,0.09,1.12,0.04,0.08,0.325,0.003,0.065,7.14,1.3
3895,Thailand,H013101,1987-05-14,1987,5,14,31.4,8.03,51.0,23.8,1.41,0.51,0.43,0.04,1.68,0.33,0.44,0.399,0.01,0.021,7.26,0.7
3903,Thailand,H013801,1987-05-14,1987,5,14,30.8,8.32,5.0,23.7,1.33,0.5,0.56,0.04,1.59,0.39,0.62,0.105,0.028,0.006,7.13,6.4
3904,Thailand,H013801,1987-06-15,1987,6,15,30.2,7.9,115.0,20.2,1.18,0.42,0.45,0.04,1.37,0.36,0.44,0.407,0.02,0.032,6.52,0.9
3921,Thailand,H310102,1987-06-15,1987,6,15,31.0,6.9,103.0,16.5,0.44,0.12,0.88,0.09,0.39,1.0,0.14,0.333,0.106,0.075,4.9,4.4
3913,Thailand,H050104,1987-06-15,1987,6,15,26.8,7.51,126.0,11.0,0.61,0.25,0.22,0.09,1.0,0.07,0.21,0.284,0.05,0.088,6.56,2.4
3914,Thailand,H050104,1987-07-15,1987,7,15,28.0,7.54,71.0,10.8,0.49,0.29,0.25,0.07,0.92,0.1,0.11,0.205,0.077,0.052,6.58,2.2
3922,Thailand,H310102,1987-07-15,1987,7,15,30.5,7.09,125.0,8.7,0.34,0.12,0.32,0.05,0.44,0.37,0.05,0.077,0.045,0.021,6.58,2.8
3896,Thailand,H013101,1987-07-16,1987,7,16,29.0,7.8,113.0,17.6,1.02,0.42,0.31,0.03,1.26,0.22,0.37,0.241,0.014,0.015,6.82,1.8
3905,Thailand,H013801,1987-07-16,1987,7,16,28.4,7.6,199.0,13.1,0.89,0.22,0.18,0.03,1.0,0.15,0.2,0.284,0.009,0.026,6.63,1.8
3915,Thailand,H050104,1987-08-16,1987,8,16,30.0,7.46,128.0,9.8,0.55,0.26,0.18,0.07,0.91,0.1,0.06,0.133,0.067,0.053,6.0,3.3
3923,Thailand,H310102,1987-08-17,1987,8,17,27.5,6.84,293.0,6.8,0.28,0.06,0.29,0.04,0.32,0.35,0.03,0.074,0.116,0.029,6.75,2.6
3924,Thailand,H310102,1987-09-14,1987,9,14,30.8,6.74,46.0,6.3,0.23,0.07,0.23,0.04,0.28,0.21,0.11,0.036,0.028,0.074,5.27,1.3
3916,Thailand,H050104,1987-09-14,1987,9,14,27.2,7.38,199.0,9.8,0.56,0.21,0.19,0.06,0.86,0.03,0.19,0.198,0.0,0.05,6.52,5.7
3906,Thailand,H013801,1987-09-15,1987,9,15,28.4,7.85,342.0,15.4,1.09,0.26,0.25,0.03,1.22,0.13,0.22,0.208,0.0,0.026,6.4,1.2
2704,Lao PDR,H100101,1987-09-15,1987,9,15,28.2,7.9,124.0,18.3,0.9,0.743,0.194,0.023,1.644,0.06,0.234,0.102,0.0,0.021,7.25,0.8
2712,Lao PDR,H350101,1987-09-16,1987,9,16,29.0,7.64,288.0,7.2,0.39,0.131,0.149,0.04,0.545,0.108,0.021,0.117,0.008,0.038,6.67,2.2
2709,Lao PDR,H320101,1987-10-10,1987,10,10,28.0,7.37,24.0,27.9,1.67,0.441,0.175,0.015,1.924,0.001,0.381,0.098,0.004,0.011,8.3,0.9
2713,Lao PDR,H350101,1987-10-11,1987,10,11,30.0,7.45,28.0,9.5,0.39,0.394,0.175,0.026,0.878,0.075,0.111,0.042,0.01,0.039,7.5,1.6
3925,Thailand,H310102,1987-10-14,1987,10,14,29.0,6.84,62.0,6.8,0.28,0.11,0.24,0.05,0.36,0.23,0.05,0.068,0.013,0.018,5.7,2.3
3917,Thailand,H050104,1987-10-15,1987,10,15,29.0,7.57,121.0,11.1,0.66,0.26,0.18,0.06,0.98,0.05,0.11,0.162,0.013,0.049,7.19,3.5
2710,Lao PDR,H320101,1987-11-12,1987,11,12,25.0,7.67,92.0,22.1,1.58,0.356,0.308,0.045,2.386,0.041,0.084,0.159,0.039,0.018,7.8,1.2
2705,Lao PDR,H100101,1987-11-12,1987,11,12,22.9,7.75,248.0,15.9,0.78,0.656,0.22,0.048,1.526,0.067,0.184,0.091,0.022,0.052,7.0,3.5
2714,Lao PDR,H350101,1987-11-12,1987,11,12,28.0,7.86,52.0,11.0,0.51,0.269,0.187,0.023,0.809,0.101,0.113,0.057,0.008,0.038,7.5,1.2
3918,Thailand,H050104,1987-11-16,1987,11,16,26.5,7.61,156.0,10.9,0.59,0.28,0.19,0.05,0.95,0.01,0.16,0.198,0.016,0.07,7.02,2.4
