Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3314,7253,Viet Nam,H019804,2003-04-15,2003,4,15,28.5,6.86,64.0,13.6,0.681,0.395,0.269,0.039,1.011,0.18,0.162,0.467,0.022,0.135,6.85,2.65
3340,7254,Viet Nam,H019804,2003-05-15,2003,5,15,28.6,7.18,6.8,19.2,1.044,0.2269999999999998,0.647,0.043,1.39,0.467,0.096,0.12,0.016,0.076,7.12,2.03
3369,7255,Viet Nam,H019804,2003-06-15,2003,6,15,28.0,6.81,68.0,14.4,0.68,0.3229999999999998,0.322,0.076,0.931,0.405,0.149,0.24,0.021,0.252,6.42,1.4
3414,7256,Viet Nam,H019804,2003-07-15,2003,7,15,29.0,6.96,57.0,16.3,0.811,0.358,0.358,0.043,1.026,0.435,0.263,0.124,0.05,0.036,6.92,1.82
3465,7257,Viet Nam,H019804,2003-08-15,2003,8,15,28.0,6.82,108.0,11.0,0.622,0.2239999999999999,0.157,0.027,0.875,0.189,0.016,0.155,0.02,0.109,7.78,2.42
3562,7258,Viet Nam,H019804,2003-11-15,2003,11,15,28.0,6.99,66.0,13.9,0.7,0.3,0.225,0.058,1.013,0.143,0.104,0.311,0.049,0.106,5.24,3.13
3709,7359,Viet Nam,H019804,2004-03-15,2004,3,15,30.0,7.17,22.5,20.6,1.025,0.5170000000000001,0.447,0.037,1.379,0.255,0.282,0.128,0.008,0.158,4.83,1.54
3763,7360,Viet Nam,H019804,2004-05-15,2004,5,15,28.6,7.14,42.0,22.6,1.126,0.5770000000000002,0.507,0.044,1.34,0.345,0.477,0.213,0.011,0.072,5.406,3.26
3783,7361,Viet Nam,H019804,2004-06-15,2004,6,15,28.0,7.3,61.0,17.6,1.008,0.32,0.335,0.041,1.24,0.179,0.337,0.188,0.012,0.042,6.89,2.56
4057,7490,Viet Nam,H019804,2005-01-15,2005,1,15,27.3,7.33,24.5,14.3,0.771,0.418,0.275,0.038,1.097,0.257,0.106,0.703,0.038,0.053,6.78,2.87
4106,7491,Viet Nam,H019804,2005-02-15,2005,2,15,27.5,7.24,9.0,16.9,0.919,0.4139999999999999,0.376,0.036,1.26,0.337,0.106,0.107,0.015,0.135,7.02,1.84
4125,7492,Viet Nam,H019804,2005-03-15,2005,3,15,28.9,6.91,25.5,19.2,1.057,0.505,0.37,0.041,1.362,0.342,0.256,0.052,0.097,0.064,6.53,1.47
4178,7493,Viet Nam,H019804,2005-04-15,2005,4,15,29.6,7.36,29.0,24.8,1.312,0.5879999999999999,0.442,0.046,1.562,0.492,0.203,0.239,0.008,0.093,7.11,0.97
4206,7494,Viet Nam,H019804,2005-05-15,2005,5,15,29.0,7.4,24.0,25.6,1.234,0.6040000000000001,0.465,0.042,1.742,0.315,0.41,0.15,0.02,0.066,6.75,1.23
4249,7495,Viet Nam,H019804,2005-06-15,2005,6,15,27.4,7.26,25.0,19.7,1.021,0.449,0.42,0.055,1.27,0.276,0.295,0.077,0.056,0.068,6.44,1.86
4309,7496,Viet Nam,H019804,2005-07-15,2005,7,15,28.4,7.07,55.0,12.4,0.691,0.2310000000000001,0.232,0.04,0.782,0.222,0.139,0.255,0.106,0.085,6.53,2.69
4343,7497,Viet Nam,H019804,2005-08-15,2005,8,15,27.9,7.24,184.0,8.9,0.497,0.187,0.234,0.058,0.677,0.176,0.063,0.28,0.05,0.255,6.81,2.82
4448,7498,Viet Nam,H019804,2005-10-15,2005,10,15,24.7,7.02,103.0,11.3,0.646,0.246,0.174,0.033,0.889,0.04,0.086,0.24,0.003,0.167,6.42,2.44
4513,7499,Viet Nam,H019804,2005-11-15,2005,11,15,26.3,7.06,60.5,11.2,0.66,0.241,0.232,0.038,0.909,0.17,0.079,0.217,0.018,0.124,6.59,2.17
4576,7500,Viet Nam,H019804,2005-12-15,2005,12,15,24.4,7.45,68.0,11.5,0.651,0.2329999999999999,0.216,0.035,0.859,0.097,0.121,0.327,0.05,0.125,6.99,1.59
4668,7678,Viet Nam,H019804,2006-02-15,2006,2,15,25.3,7.45,46.0,14.0,0.82,0.2720000000000001,0.297,0.039,1.051,0.213,0.162,0.33,0.01,0.112,6.77,1.97
4706,7679,Viet Nam,H019804,2006-03-15,2006,3,15,27.2,7.12,44.0,16.5,0.869,0.4419999999999999,0.364,0.051,1.131,0.242,0.224,0.02,0.063,0.084,6.51,3.18
4744,7680,Viet Nam,H019804,2006-04-15,2006,4,15,28.3,7.49,36.5,18.9,0.904,0.576,0.298,0.045,1.329,0.184,0.214,0.038,0.005,0.162,6.86,2.16
4863,7681,Viet Nam,H019804,2006-07-15,2006,7,15,26.3,6.78,150.0,12.4,0.649,0.235,0.279,0.045,0.684,0.314,0.233,0.909,0.081,0.273,6.6,3.8
4934,7682,Viet Nam,H019804,2006-09-15,2006,9,15,24.4,6.85,116.0,10.5,0.633,0.259,0.152,0.034,0.829,0.225,0.083,0.381,0.006,0.146,5.98,6.14
5071,7683,Viet Nam,H019804,2006-12-15,2006,12,15,26.1,6.9,113.0,13.9,0.723,0.274,0.277,0.044,1.025,0.187,0.198,0.821,0.089,0.342,7.35,7.8
5110,7815,Viet Nam,H019804,2007-01-15,2007,1,15,26.3,6.77,38.5,14.2,0.728,0.4279999999999999,0.326,0.035,0.95,0.286,0.158,0.073,0.028,0.075,6.6,4.85
5194,7832,Viet Nam,H019804,2007-03-15,2007,3,15,31.3,7.1,24.5,18.7,1.33,0.04,0.383,0.049,1.055,0.423,0.444,0.739,0.034,0.054,7.21,1.6
5255,7847,Viet Nam,H019804,2007-05-15,2007,5,15,31.3,7.37,22.0,20.8,1.067,0.5070000000000001,0.534,0.056,1.313,0.388,0.317,0.011,0.011,0.06,5.7,1.4
5317,7859,Viet Nam,H019804,2007-07-15,2007,7,15,28.1,7.0,149.0,10.0,0.58,0.174,0.199,0.029,0.716,0.23,0.109,0.342,0.001,0.057,5.88,3.98
5377,7869,Viet Nam,H019804,2007-08-15,2007,8,15,27.7,6.73,151.0,11.6,0.629,0.3379999999999999,0.193,0.036,0.806,0.255,0.137,0.368,0.01,0.132,6.12,4.43
5401,7882,Viet Nam,H019804,2007-09-15,2007,9,15,27.5,6.82,153.0,12.2,0.687,0.2509999999999999,0.189,0.034,0.847,0.158,0.262,0.3,0.012,0.193,6.33,5.11
5520,7911,Viet Nam,H019804,2007-11-15,2007,11,15,28.0,6.45,101.0,12.6,0.658,0.27,0.28,0.035,0.856,0.293,0.143,0.318,0.027,0.286,5.77,4.06
5647,7953,Viet Nam,H019804,2008-02-15,2008,2,15,28.7,6.51,59.5,14.4,0.7,0.4140000000000001,0.328,0.035,0.877,0.417,0.15,0.491,0.009,0.249,6.17,3.67
5851,7991,Viet Nam,H019804,2008-07-15,2008,7,15,27.8,6.75,66.0,13.2,0.758,0.1919999999999999,0.345,0.035,0.943,0.369,0.107,0.296,0.012,0.156,6.04,3.03
5891,8011,Viet Nam,H019804,2008-08-15,2008,8,15,28.9,6.4,138.0,11.5,0.81,0.118,0.153,0.049,0.93,0.189,0.113,0.446,0.05,0.204,6.31,6.97
