Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
7804,4875,Lao PDR, H230103 ,2017-04-16,2017,4,16,28.9,7.32,15.75,11.3,0.820838323353293,0.1950617283950617,0.061,0.0196410256410256,1.11120943952802,0.0215726375176305,0.0451800957734749,0.08,0.01,0.15,6.71,1.04
7831,4876,Lao PDR, H230103 ,2017-05-16,2017,5,16,27.3,7.06,25.66,10.93,0.780838323353293,0.2279835390946502,0.07,0.0256410256410256,1.01120943952802,0.0565726375176305,0.0451800957734749,0.03,0.01,0.09,6.5,1.5
7858,4877,Lao PDR, H230103 ,2017-06-15,2017,6,15,28.9,6.8,15.0,15.5,1.12824351297405,0.2600823045267489,0.09,0.0306905370843989,1.25217961324156,0.1994358251057827,0.0516343951696856,0.07,0.01,0.14,6.73,1.58
7883,4878,Lao PDR, H230103 ,2017-07-17,2017,7,17,30.8,6.51,33.0,9.85,0.74137724550898,0.1539094650205761,0.09,0.0255754475703324,0.91017043592264,0.0478843441466855,0.0963980845305017,0.16,0.01,0.1,6.92,2.8
7903,4879,Lao PDR, H230103 ,2017-08-14,2017,8,14,28.8,6.64,177.5,9.94,0.696626746506986,0.2016460905349794,0.05,0.0212276214833759,0.800137659783677,0.101988716502116,0.163918384343118,0.19,0.01,0.15,6.5,2.46
7941,4880,Lao PDR, H230103 ,2017-09-14,2017,9,14,31.7,6.82,10.25,10.57,0.641117764471058,0.2213991769547325,0.21,0.1,0.96207800721075,0.0798307475317348,0.0524672079950031,0.16,0.01,0.01,7.03,1.44
7973,4881,Lao PDR, H230103 ,2017-10-13,2017,10,13,29.1,6.87,26.0,10.9,0.7235528942115769,0.2131687242798353,0.09,0.0191815856777493,0.891910848901999,0.1464033850493653,0.0553820528836144,0.12,0.01,0.01,6.32,0.88
8075,4928,Lao PDR, H230103 ,2018-04-16,2018,4,16,27.1,7.35,12.0,12.7,0.920838323353293,0.1950617283950617,0.161,0.0196410256410256,1.0488364470665354,0.08,0.15,0.26,0.01,0.02,6.71,2.48
8080,4929,Lao PDR, H230103 ,2018-05-15,2018,5,15,28.9,7.42,2.5,15.2,1.0780838323353,0.2279835390946502,0.13,0.0256410256410256,1.130776794493609,0.1404795486600846,0.1894649177597334,0.2,0.01,0.01,6.5,1.28
8099,4930,Lao PDR, H230103 ,2018-07-12,2018,7,12,29.2,7.38,18.25,14.25,1.08413772455089,0.2526748971193415,0.09,0.0255754475703324,1.071779744346116,0.1111424541607898,0.1781178430147824,0.19,0.017,0.03,6.38,1.47
8126,4931,Lao PDR, H230103 ,2018-08-19,2018,8,19,28.0,7.1,38.0,13.6,1.01966267465069,0.2016460905349794,0.07,0.0212276214833759,1.04,0.19,0.15,0.14,0.01,0.12,6.46,2.1
8138,4932,Lao PDR, H230103 ,2018-09-16,2018,9,16,27.9,6.9,31.0,20.1,1.24111776447105,0.3037037037037037,0.27,0.1,1.44,0.18,0.29,0.09,0.01,0.02,6.15,3.8
8160,4933,Lao PDR, H230103 ,2018-10-18,2018,10,18,29.2,7.38,173.0,11.2,0.8233532934131736,0.2131687242798353,0.09,0.0191815856777493,0.968534906588004,0.1224259520451339,0.0811992504684572,0.32,0.01,0.02,6.78,1.84
8199,4964,Lao PDR, H230103 ,2019-04-19,2019,4,19,31.0,7.79,12.0,13.1,0.93,0.3604938271604938,0.06,0.0196,1.0439200262209112,0.0394922425952045,0.158859046429315,0.02,0.01,0.02,6.5,0.85
8208,4965,Lao PDR, H230103 ,2019-05-13,2019,5,13,28.4,7.529,3.2,12.44,0.8083,0.2452674897119341,0.11,0.0256,0.901343821697804,0.1100141043723554,0.1436602123672704,0.02,0.01,0.033,7.02,1.4
8216,4966,Lao PDR, H230103 ,2019-06-14,2019,6,14,29.0,7.11,12.7,13.9,1.05,0.2666666666666666,0.09,0.0306,1.1373320222877743,0.0840620592383638,0.1632313137622319,0.11,0.01,0.04,6.88,8.7
8224,4967,Lao PDR, H230103 ,2019-07-12,2019,7,12,30.8,7.374,17.5,12.5,0.98,0.1563786008230452,0.09,0.02557,0.8128482464765651,0.1833568406205923,0.1840516343951696,0.06,0.01,0.05,6.27,2.13
8236,4968,Lao PDR, H230103 ,2019-08-13,2019,8,13,29.2,6.93,74.75,10.2,0.696,0.2279835390946502,0.057,0.021,0.5342510652245166,0.2428772919605077,0.1769727253799708,0.26,0.05,0.048,6.58,2.1
8262,4969,Lao PDR, H230103 ,2019-09-18,2019,9,18,29.8,6.77,14.4,11.1,0.66,0.2139917695473251,0.16,0.05,0.5866928875778432,0.3672778561354019,0.1259629398292733,0.21,0.041,0.03,6.9,2.06
8274,4970,Lao PDR, H230103 ,2019-10-16,2019,10,16,30.7,7.3,55.2,19.43,1.2225548902195609,0.3144032921810699,0.25,0.029,1.466732218944608,0.3215796897038082,0.1082656672912762,0.19,0.01,0.03,7.29,1.48
8309,5002,Lao PDR, H230103 ,2020-05-12,2020,5,12,30.5,7.715,21.3,13.41,0.8233532934131736,0.3374485596707818,0.1300565463244889,0.0022307692307692,1.1274991805965255,0.0691114245416079,0.1238809077659796,0.02,0.01,0.09,6.9,1.63
8326,5003,Lao PDR, H230103 ,2020-06-24,2020,6,24,31.0,7.22,25.37,11.71,0.6916666666666668,0.2279835390946502,0.2034782608695652,0.0319693094629156,0.9324811537200915,0.0829337094499294,0.1295023943368727,0.025,0.01,0.06,6.33,0.4
8331,5004,Lao PDR, H230103 ,2020-07-16,2020,7,16,29.3,7.184,67.6,10.7,0.7015968063872257,0.2189300411522634,0.1091304347826086,0.0260869565217391,0.8552933464437888,0.0691114245416079,0.1465750572558817,0.04,0.02,0.04,6.14,1.72
8338,5005,Lao PDR, H230103 ,2020-08-10,2020,8,10,28.9,7.11,42.8,12.7,0.8967065868263473,0.2049382716049382,0.1552173913043478,0.0350383631713555,1.121271714192068,0.1517630465444287,0.0298563397876327,0.063,0.036,0.01,5.9,1.6
8370,5006,Lao PDR, H230103 ,2020-09-23,2020,9,23,28.7,6.5,33.14,15.82,1.183632734530938,0.1506172839506173,0.23,0.0478260869565217,0.4700098328416912,0.932299012693935,0.1039558609202581,0.069,0.02,0.04,6.35,0.6
8374,5007,Lao PDR, H230103 ,2020-10-16,2020,10,16,28.5,6.74,62.37,13.7,0.6472055888223553,0.205761316872428,0.4582608695652173,0.0268542199488491,0.6856768272697477,0.5105782792665726,0.1084738704976056,0.077,0.02,0.02,6.08,1.16
