Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3950,829,Cambodia,H019807,2004-10-16,2004,10,16,29.4,7.04,70.0,11.3,0.6994,0.2558,0.1902,0.028,0.991,0.0895,0.0815,0.1219,0.01,0.0358,6.591,3.3165
3971,830,Cambodia,H019807,2004-11-02,2004,11,2,28.5,7.12,37.0,13.1,0.7761,0.3572,0.1713,0.0275,0.971,0.062,0.3828,0.171,0.01,0.0435,7.197,0.1407
4044,831,Cambodia,H019807,2004-12-21,2004,12,21,27.0,7.39,34.0,12.6,0.7258,0.2919,0.193,0.028,0.951,0.1314,0.102,0.0097,0.1432,0.0646,5.975,3.7788
4085,945,Cambodia,H019807,2005-01-21,2005,1,21,28.0,7.2,4.0,12.5,0.6318,0.2762,0.2771,0.0347,0.9613,0.115,0.141,0.073,0.0045,0.0592,5.7,3.98
4161,946,Cambodia,H019807,2005-03-28,2005,3,28,30.3,8.07,30.0,19.2,1.018,0.5385,0.2738,0.0379,1.38,0.178,0.349,0.021,0.0112,0.0299,7.54,8.688
4233,947,Cambodia,H019807,2005-05-20,2005,5,20,31.0,7.58,26.0,19.6,1.0821,0.1473,0.4747,0.0424,1.273,0.235,0.318,0.035,0.017,0.013,7.0,9.8088
4293,948,Cambodia,H019807,2005-07-15,2005,7,15,29.0,7.05,50.0,8.5,0.6292,0.1106,0.1804,0.0295,0.716,0.093,0.121,0.423,0.0242,0.0931,6.256,1.024
4409,949,Cambodia,H019807,2005-09-27,2005,9,27,28.5,6.83,140.0,10.32,0.672,0.1755,0.1841,0.029,0.815,0.074,0.153,0.219,0.0044,0.0483,7.802,3.72
4489,950,Cambodia,H019807,2005-10-22,2005,10,22,29.4,7.07,133.0,11.9,0.638,0.265,0.222,0.028,0.8938,0.078,0.174,0.14,0.1258,0.0525,7.174,1.208
4546,951,Cambodia,H019807,2005-11-27,2005,11,27,28.4,6.8,13.0,12.61,0.751,0.24,0.1952,0.0403,0.9902,0.063,0.208,0.121,0.0226,0.0517,8.274,2.8
4592,952,Cambodia,H019807,2005-12-27,2005,12,27,25.3,6.65,28.0,11.9,0.613,0.414,0.216,0.0422,0.9134,0.101,0.221,0.081,0.0437,0.042,7.059,1.437
4641,1107,Cambodia,H019807,2006-01-24,2006,1,24,28.5,7.78,4.0,12.91,0.601,0.24,0.33,0.0405,0.8143,0.12,0.219,0.058,0.0031,0.0278,7.663,4.743
4669,1108,Cambodia,H019807,2006-02-15,2006,2,15,29.6,7.54,63.0,13.87,0.617,0.312,0.32,0.0429,0.9168,0.133,0.196,0.064,0.0703,0.0024,7.437,1.689
4731,1109,Cambodia,H019807,2006-03-20,2006,3,20,31.2,7.69,102.0,16.22,0.881,0.306,0.38,0.0381,1.1738,0.137,0.345,0.105,0.0303,0.0291,7.188,2.01
4776,1110,Cambodia,H019807,2006-04-22,2006,4,22,31.8,7.7,2.0,16.86,0.824,0.378,0.4076,0.0404,1.136,0.175,0.254,0.1165,0.0112,0.0419,7.852,0.769
4806,1111,Cambodia,H019807,2006-05-22,2006,5,22,31.1,7.3,31.0,18.61,0.9597,0.399,0.4672,0.0446,1.2514,0.244,0.2565,0.0201,0.0025,0.004,7.744,0.141
4854,1112,Cambodia,H019807,2006-06-22,2006,6,22,31.9,7.13,16.5,15.68,0.906,0.214,0.4056,0.0407,0.9639,0.287,0.276,0.5998,0.0132,0.0791,7.306,1.526
4925,1113,Cambodia,H019807,2006-08-19,2006,8,19,28.0,6.89,137.0,9.75,0.48,0.2,0.1847,0.0405,0.65,0.063,0.1736,0.2311,0.0572,0.1792,6.8833,4.0703
