Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
1213,3231,Lao PDR,H231901,1995-02-13,1995,2,13,25.0,7.36,1.0,5.3,0.354,0.088,0.03,0.022,0.391,0.033,0.067,0.029,0.031,0.02,8.05,2.4
1261,3232,Lao PDR,H231901,1995-04-24,1995,4,24,30.1,7.1,1.0,4.4,0.333,0.079,0.055,0.024,0.383,0.025,0.069,0.159,0.105,0.018,5.93,2.7
1310,3233,Lao PDR,H231901,1995-07-17,1995,7,17,31.7,6.67,2.0,4.9,0.298,0.194,0.025,0.016,0.425,0.032,0.045,0.114,0.028,0.029,5.5,1.7
1326,3234,Lao PDR,H231901,1995-08-15,1995,8,15,27.1,6.23,7.0,4.0,0.289,0.096,0.021,0.018,0.317,0.008,0.062,0.229,0.04,0.019,7.0,2.4
1358,3235,Lao PDR,H231901,1995-09-18,1995,9,18,35.0,7.11,2.0,2.8,0.208,0.069,0.02,0.012,0.214,0.028,0.065,0.02,0.075,0.044,3.5,1.4
1388,3236,Lao PDR,H231901,1995-10-17,1995,10,17,27.3,6.45,4.0,3.1,0.226,0.084,0.022,0.015,0.231,0.048,0.076,0.089,0.115,0.036,5.76,1.8
1420,3237,Lao PDR,H231901,1995-11-20,1995,11,20,25.4,6.41,5.0,4.2,0.26,0.088,0.024,0.012,0.264,0.049,0.099,0.01,0.031,0.014,4.62,1.4
1446,3238,Lao PDR,H231901,1995-12-20,1995,12,20,24.5,6.66,3.0,3.3,0.252,0.091,0.015,0.007,0.26,0.016,0.068,0.206,0.018,0.015,8.7,1.4
1475,3315,Lao PDR,H231901,1996-01-22,1996,1,22,23.8,7.03,3.0,3.3,0.26,0.087,0.014,0.008,0.267,0.014,0.084,0.045,0.027,0.009,8.5,2.4
1497,3316,Lao PDR,H231901,1996-02-19,1996,2,19,23.3,7.02,3.0,4.3,0.264,0.088,0.023,0.019,0.277,0.002,0.155,0.041,0.017,0.012,8.3,9.6
1517,3317,Lao PDR,H231901,1996-03-18,1996,3,18,25.9,7.03,2.0,3.4,0.268,0.089,0.031,0.031,0.287,0.017,0.122,0.032,0.03,0.016,9.5,7.9
1539,3318,Lao PDR,H231901,1996-04-18,1996,4,18,28.6,7.03,3.0,3.6,0.253,0.084,0.032,0.035,0.268,0.016,0.095,0.045,0.02,0.025,8.6,7.9
1564,3319,Lao PDR,H231901,1996-05-20,1996,5,20,30.3,7.13,4.0,3.5,0.371,0.09,0.03,0.014,0.277,0.018,0.076,0.025,0.029,0.018,5.7,2.5
1600,3320,Lao PDR,H231901,1996-06-19,1996,6,19,29.0,6.52,3.0,4.4,0.253,0.084,0.033,0.019,0.282,0.024,0.075,0.019,0.056,0.015,5.9,1.9
1624,3321,Lao PDR,H231901,1996-07-23,1996,7,23,30.2,6.95,5.0,3.4,0.271,0.085,0.028,0.02,0.29,0.015,0.116,0.038,0.043,0.018,9.3,3.1
1645,3322,Lao PDR,H231901,1996-08-20,1996,8,20,28.8,6.09,3.0,6.1,0.3,0.1,0.026,0.024,0.442,0.008,0.128,0.055,0.066,0.018,6.5,2.4
1736,3378,Lao PDR,H231901,1997-01-20,1997,1,20,24.0,6.56,1.0,3.7,0.25,0.083,0.027,0.045,0.268,0.021,0.086,0.009,0.064,0.01,6.9,1.9
1763,3379,Lao PDR,H231901,1997-02-17,1997,2,17,24.9,6.58,1.0,4.1,0.289,0.091,0.022,0.017,0.382,0.01,0.065,0.029,0.031,0.014,6.6,2.6
1791,3380,Lao PDR,H231901,1997-03-19,1997,3,19,27.1,7.1,1.0,3.8,0.234,0.112,0.028,0.012,0.28,0.021,0.095,0.02,0.017,0.012,6.2,3.5
1810,3381,Lao PDR,H231901,1997-04-23,1997,4,23,27.4,7.1,1.0,4.0,0.29,0.105,0.022,0.016,0.316,0.019,0.099,0.026,0.076,0.011,6.3,2.8
2163,3414,Lao PDR,H231901,1999-08-17,1999,8,17,29.6,6.85,3.0,3.7,0.259,0.277,0.016,0.013,0.321,0.007,0.039,0.008,0.038,0.025,6.1,3.2
2193,3415,Lao PDR,H231901,1999-09-27,1999,9,27,28.0,6.57,4.0,3.3,0.232,0.42,0.022,0.037,0.27,0.002,0.024,0.007,0.012,0.009,6.4,3.6
2225,3416,Lao PDR,H231901,1999-10-20,1999,10,20,28.5,7.01,3.0,3.4,0.235,0.185,0.02,0.014,0.26,0.05,0.07,0.003,0.008,0.01,6.5,4.0
2230,3417,Lao PDR,H231901,1999-11-09,1999,11,9,25.4,7.58,3.0,9.2,0.268,0.068,0.021,0.031,0.36,0.036,0.013,0.006,0.018,0.015,5.6,2.001
2258,3418,Lao PDR,H231901,1999-12-20,1999,12,20,24.6,7.6,3.0,3.7,0.434,0.181,0.018,0.02,0.644,0.012,0.029,0.016,0.01,0.008,6.9,2.6
2269,3471,Lao PDR,H231901,2000-01-17,2000,1,17,23.8,7.5,2.0,3.7,0.27,0.144,0.02,0.022,0.347,0.017,0.046,0.032,0.096,0.009,8.5,0.1
2272,3472,Lao PDR,H231901,2000-01-17,2000,1,17,23.8,7.5,2.0,3.7,0.27,0.144,0.02,0.022,0.347,0.017,0.046,0.032,0.096,0.009,8.5,0.1
2294,3473,Lao PDR,H231901,2000-02-21,2000,2,21,24.4,7.7,9.0,3.7,0.343,0.026,0.022,0.009,0.327,0.082,0.064,0.011,0.024,0.012,8.37,3.5
2325,3474,Lao PDR,H231901,2000-03-20,2000,3,20,28.2,7.86,8.0,3.5,0.585,0.067,0.023,0.007,0.528,0.015,0.299,0.002,0.014,0.013,7.22,3.2
2341,3475,Lao PDR,H231901,2000-04-18,2000,4,18,28.0,7.65,8.0,3.6,0.588,0.06,0.02,0.01,0.516,0.024,0.105,0.02,0.022,0.009,7.35,3.3
2353,3476,Lao PDR,H231901,2000-05-16,2000,5,16,28.8,7.6,8.0,3.5,0.582,0.055,0.019,0.011,0.6,0.097,0.1,0.009,0.021,0.022,7.2,3.308
2379,3477,Lao PDR,H231901,2000-06-20,2000,6,20,29.0,7.3,9.0,3.6,0.59,0.061,0.018,0.012,0.59,0.085,0.112,0.016,0.016,0.08,6.95,3.205
2400,3478,Lao PDR,H231901,2000-07-17,2000,7,17,29.6,6.85,9.0,3.5,0.58,0.6,0.02,0.009,0.589,0.09,0.108,0.033,0.018,0.007,6.9,3.46
2425,3479,Lao PDR,H231901,2000-08-18,2000,8,18,29.9,6.48,18.0,3.6,0.301,0.088,0.022,0.008,0.288,0.059,0.383,0.008,0.084,0.014,7.0,3.0
2438,3480,Lao PDR,H231901,2000-09-19,2000,9,19,28.8,6.88,22.0,3.4,0.36,0.217,0.024,0.007,0.305,0.034,0.039,0.002,0.027,0.044,6.6,3.3
2463,3481,Lao PDR,H231901,2000-10-23,2000,10,23,27.8,6.66,23.0,3.3,0.338,0.021,0.02,0.008,0.32,0.034,0.141,0.034,0.035,0.05,6.7,1.4
2496,3482,Lao PDR,H231901,2000-11-20,2000,11,20,26.4,6.82,20.0,3.5,0.094,0.154,0.023,0.007,0.306,0.033,0.108,0.042,0.025,0.026,6.3,1.4
2511,3483,Lao PDR,H231901,2000-12-20,2000,12,20,24.6,6.93,16.0,3.6,0.296,0.162,0.028,0.009,0.345,0.032,0.113,0.033,0.016,0.017,6.4,1.0
2551,3582,Lao PDR,H231901,2001-01-24,2001,1,24,26.8,7.6,10.0,3.7,0.384,0.219,0.024,0.009,0.306,0.028,0.213,0.01,0.071,0.008,7.34,2.0
2562,3583,Lao PDR,H231901,2001-02-14,2001,2,14,25.6,7.41,8.0,4.2,0.471,0.344,0.02,0.01,0.486,0.026,0.211,0.018,0.074,0.009,7.22,1.7
2615,3584,Lao PDR,H231901,2001-03-16,2001,3,16,25.8,7.08,9.0,4.3,0.299,0.317,0.022,0.009,0.372,0.03,0.312,0.016,0.066,0.013,7.35,2.0
2638,3585,Lao PDR,H231901,2001-04-14,2001,4,14,28.4,7.55,9.0,4.2,0.3,0.203,0.019,0.01,0.38,0.024,0.2,0.014,0.035,0.013,7.2,2.1
