Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3968,888,Cambodia,H430102,2004-10-24,2004,10,24,25.5,6.96,14.0,4.7,0.2208,0.1702,0.094,0.002,0.434,0.019,0.0224,0.004,0.023,0.0578,6.21,2.6934
4038,889,Cambodia,H430102,2004-12-18,2004,12,18,26.5,7.1,9.0,6.4,0.2391,0.1664,0.199,0.023,0.473,0.02,0.0795,0.004,0.01,0.0142,7.968,7.4249
4149,1017,Cambodia,H430102,2005-03-18,2005,3,18,29.7,8.03,40.0,8.4,0.2989,0.2885,0.2423,0.0258,0.64,0.122,0.067,0.005,0.0075,0.0136,7.81,9.34
4273,1018,Cambodia,H430102,2005-06-17,2005,6,17,31.5,7.61,155.0,5.7,0.2352,0.2228,0.113,0.0309,0.424,0.028,0.105,0.146,0.0461,0.0434,5.419,5.096
4311,1019,Cambodia,H430102,2005-07-15,2005,7,15,30.5,7.35,26.0,3.5,0.2312,0.0533,0.0794,0.0225,0.234,0.019,0.128,0.202,0.0254,0.0547,5.078,1.572
4374,1020,Cambodia,H430102,2005-08-20,2005,8,20,26.0,7.3,196.0,4.4,0.18,0.067,0.1643,0.0239,0.309,0.019,0.094,0.079,0.0029,0.022,5.667,2.294
4415,1021,Cambodia,H430102,2005-09-28,2005,9,28,26.6,6.27,56.0,3.21,0.1588,0.0469,0.106,0.021,0.271,0.019,0.052,0.073,0.0055,0.0253,7.095,1.84
4473,1022,Cambodia,H430102,2005-10-20,2005,10,20,27.1,6.67,53.0,4.03,0.1275,0.096,0.1266,0.0173,0.258,0.015,0.091,0.075,0.1027,0.0232,8.081,4.003
4527,1023,Cambodia,H430102,2005-11-22,2005,11,22,26.4,6.74,10.0,3.6,0.119,0.099,0.1159,0.0146,0.2551,0.016,0.052,0.059,0.0448,0.0231,7.866,1.192
4583,1024,Cambodia,H430102,2005-12-26,2005,12,26,24.3,6.54,33.0,3.8,0.131,0.055,0.195,0.0237,0.3537,0.016,0.063,0.068,0.008,0.0106,8.536,3.283
4636,1194,Cambodia,H430102,2006-01-21,2006,1,21,27.9,7.53,13.0,5.89,0.242,0.103,0.179,0.0214,0.3876,0.021,0.145,0.008,0.0053,0.0232,7.916,1.643
4682,1195,Cambodia,H430102,2006-02-18,2006,2,18,27.5,7.55,5.0,6.07,0.269,0.142,0.145,0.0265,0.416,0.019,0.19,0.006,0.0296,0.0018,7.611,1.049
4729,1196,Cambodia,H430102,2006-03-18,2006,3,18,28.0,7.2,31.4,7.1,0.303,0.213,0.16,0.0228,0.563,0.0571,0.045,0.0205,0.008,0.0313,6.7731,1.03
4779,1197,Cambodia,H430102,2006-04-22,2006,4,22,28.5,7.23,36.416,7.5,0.375,0.288,0.1676,0.0211,0.664,0.08334,0.0464,0.108,0.0089,0.0313,6.903,1.947
