Unnamed: 0.1,Unnamed: 0,MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
3815,3958,Lao PDR,H011200,2004-07-12,2004,7,12,25.0,7.86,59.0,16.9,1.249,0.338,0.04,0.008,1.32,0.045,0.322,0.634,0.068,0.114,6.98,0.127
3871,3959,Lao PDR,H011200,2004-08-17,2004,8,17,26.2,6.92,110.0,16.6,1.24,0.336,0.04,0.006,1.3,0.032,0.324,0.332,0.059,0.039,8.0,2.103
3891,3960,Lao PDR,H011200,2004-09-15,2004,9,15,24.3,7.69,85.0,17.4,1.189,0.495,0.042,0.006,1.353,0.05,0.323,0.474,0.018,0.015,7.4,1.126
3956,3961,Lao PDR,H011200,2004-10-18,2004,10,18,28.9,7.81,52.0,19.15,1.292,0.522,0.064,0.006,1.42,0.124,0.358,0.186,0.041,0.018,6.23,1.118
3999,3962,Lao PDR,H011200,2004-11-18,2004,11,18,23.2,8.05,48.0,22.6,1.417,0.523,0.062,0.005,1.416,0.043,0.631,0.201,0.015,0.01,7.8,0.483
4036,3963,Lao PDR,H011200,2004-12-16,2004,12,16,28.0,8.0,58.0,24.6,1.597,0.66,0.091,0.002,1.74,0.189,0.488,0.178,0.05,0.011,9.0,0.433
4078,4094,Lao PDR,H011200,2005-01-18,2005,1,18,19.4,7.73,25.0,26.9,1.898,0.617,0.105,0.018,2.0,0.192,0.47,0.181,0.021,0.036,8.899,3.538
4120,4095,Lao PDR,H011200,2005-02-17,2005,2,17,18.2,8.1,29.0,29.3,1.9,0.74,0.1,0.018,2.08,0.265,0.556,0.144,0.041,0.005,7.8,2.273
4167,4096,Lao PDR,H011200,2005-04-12,2005,4,12,26.4,7.5,65.0,28.7,1.614,0.646,0.56,0.058,2.108,0.261,0.689,0.148,0.022,0.089,5.3,1.202
4256,4097,Lao PDR,H011200,2005-06-15,2005,6,15,26.1,7.73,34.0,26.1,1.47,0.54,0.495,0.052,1.613,0.237,0.54,0.374,0.083,0.074,6.8,2.696
4402,4098,Lao PDR,H011200,2005-09-16,2005,9,16,26.0,8.06,200.0,21.0,1.245,0.399,0.236,0.05,1.57,0.184,0.249,0.324,0.086,0.069,6.48,0.87
4480,4099,Lao PDR,H011200,2005-10-20,2005,10,20,27.2,7.88,150.0,22.9,1.292,0.647,0.248,0.08,1.682,0.284,0.261,0.311,0.078,0.053,5.35,0.77
4840,4227,Lao PDR,H011200,2006-06-19,2006,6,19,26.4,6.0,168.0,25.6,1.405,0.684,0.412,0.057,1.271,0.651,0.626,0.308,0.086,0.029,7.2,1.536
5073,4228,Lao PDR,H011200,2006-12-18,2006,12,18,21.6,7.96,128.0,24.8,1.599,0.45,0.398,0.036,1.706,0.201,0.553,0.174,0.031,0.039,7.6,1.2
5095,4354,Lao PDR,H011200,2007-01-09,2007,1,9,19.8,8.09,120.0,26.0,1.556,0.617,0.359,0.01,2.011,0.016,0.487,0.23,0.024,0.037,7.5,0.916
5157,4355,Lao PDR,H011200,2007-02-16,2007,2,16,19.0,7.84,50.0,26.9,1.628,0.642,0.382,0.011,1.99,0.037,0.42,0.204,0.023,0.019,9.01,1.194
5197,4356,Lao PDR,H011200,2007-03-15,2007,3,15,23.0,7.97,26.0,30.5,1.628,0.775,0.482,0.011,2.218,0.301,0.556,0.199,0.044,0.023,6.607,0.895
5559,4357,Lao PDR,H011200,2007-12-17,2007,12,17,20.4,7.48,84.0,21.3,1.302,0.471,0.306,0.041,1.774,0.222,0.156,0.237,0.054,0.041,6.013,1.685
