MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Viet Nam,H988115,2008-08-15,2008,8,15,28.6,6.4,130.0,11.3,0.769,0.154,0.151,0.032,0.87,0.209,0.112,0.385,0.034,0.12,5.48,6.03
Viet Nam,H988115,2012-04-15,2012,4,15,28.73,7.19,101.0,20.4,1.08,0.3539999999999998,0.403,0.073,1.22,0.317,0.518,0.192,0.046,0.277,6.13,3.18
Viet Nam,H988115,2018-04-15,2018,4,15,29.6,7.91,30.0,23.7,1.037,0.6520000000000001,0.415,0.041,1.146,0.502,0.554,0.778,0.089,0.112,3.68,3.77
Viet Nam,H988115,2011-03-15,2011,3,15,26.9,6.91,47.0,18.89,1.125,0.5589999999999999,0.372,0.033,1.131,0.528,0.299,0.141,0.053,0.11,5.25,2.32
Viet Nam,H988115,2018-08-15,2018,8,15,27.9,6.67,41.0,12.07,0.485,0.406,0.25,0.022,0.737,0.25,0.152,0.154,0.229,0.084,4.69,3.2
Viet Nam,H988115,2012-03-15,2012,3,15,28.13,7.63,104.0,15.9,0.86,0.3929999999999999,0.355,0.055,1.31,0.3,0.122,0.191,0.024,0.109,6.65,2.59
Viet Nam,H988115,2007-12-15,2007,12,15,28.5,6.6,135.0,11.3,0.507,0.389,0.184,0.051,0.847,0.168,0.129,0.327,0.002,0.168,6.48,4.56
Viet Nam,H988115,2004-10-15,2004,10,15,30.0,7.08,37.0,11.0,0.464,0.462,0.17,0.034,0.868,0.226,0.047,0.295,0.006,0.101,6.37,3.02
Viet Nam,H988115,2007-10-15,2007,10,15,27.6,6.51,44.5,11.2,0.513,0.3279999999999999,0.246,0.05,0.816,0.195,0.192,0.074,0.002,0.153,5.37,5.81
Viet Nam,H988115,2013-04-15,2013,4,15,27.3,6.26,113.0,20.8,1.02,0.506,0.499,0.105,1.104,0.645,0.281,0.034,0.0,0.202,6.62,3.25
Viet Nam,H988115,2014-03-15,2014,3,15,30.3,6.81,47.0,18.44,0.776,0.6099999999999999,0.376,0.055,1.347,0.261,0.286,0.451,0.245,0.099,4.55,3.28
Viet Nam,H988115,2006-06-15,2006,6,15,27.1,7.13,112.5,20.9,0.991,0.5179999999999999,0.489,0.073,1.179,0.634,0.426,0.23,0.242,0.137,5.1,4.42
Viet Nam,H988115,2014-10-15,2014,10,15,29.1,7.59,46.0,9.49,0.6,0.12,0.261,0.024,0.737,0.212,0.039,0.364,0.126,0.141,5.06,2.8
Viet Nam,H988115,2007-09-15,2007,9,15,27.7,6.94,79.0,10.9,0.619,0.1979999999999999,0.21,0.032,0.759,0.225,0.136,0.193,0.012,0.148,5.72,5.31
