MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Viet Nam,H039803,2016-01-18,2016,1,18,26.8,7.6,33.6,22.5,1.285,0.44,0.547,0.056,1.101,0.447,0.44,0.369,0.062,0.255,5.24,1.8
Viet Nam,H039803,2008-10-15,2008,10,15,28.2,6.49,202.0,12.9,0.5,0.51,0.308,0.031,1.039,0.269,0.084,0.292,0.0,0.257,6.12,4.22
Viet Nam,H039803,2014-10-15,2014,10,15,29.6,7.62,63.0,11.28,0.66,0.1599999999999999,0.258,0.031,1.006,0.128,0.049,0.516,0.101,0.086,5.9,2.64
Viet Nam,H039803,2013-03-15,2013,3,15,28.0,7.29,76.0,19.9,1.11,0.506,0.393,0.09,1.542,0.453,0.107,0.572,0.0,0.093,6.71,2.6
Viet Nam,H039803,2010-09-15,2010,9,15,27.8,7.45,71.0,15.02,0.52,0.54,0.428,0.029,1.109,0.355,0.05,0.324,0.086,0.162,3.48494720809972,6.43
Viet Nam,H039803,2004-03-15,2004,3,15,29.0,7.1,49.5,20.7,1.035,0.494,0.472,0.044,1.43,0.298,0.305,0.17,0.0,0.112,6.12,2.07
Viet Nam,H039803,2020-04-16,2020,4,16,29.5,7.45,46.0,27.6,1.292,0.748,0.569,0.083,1.383,0.555,0.687,0.734,0.109,0.134,5.465,4.1
Viet Nam,H039803,2005-04-15,2005,4,15,29.3,7.2,27.0,24.5,1.151,0.7589999999999999,0.426,0.037,1.537,0.485,0.227,0.06,0.001,0.091,6.07,1.7
Viet Nam,H039803,2011-09-15,2011,9,15,26.5,6.71,89.0,10.7,0.663,0.13,0.264,0.023,0.871,0.221,0.047,0.376,0.012,0.255,6.18,3.03
Viet Nam,H039803,2008-11-15,2008,11,15,27.4,6.73,64.5,13.9,0.83,0.23,0.209,0.038,1.003,0.248,0.141,0.292,0.013,0.105,6.24,4.04
