MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Lao PDR,H100101,1986-09-14,1986,9,14,25.8,7.7,132.0,16.1,0.945,0.464,0.164,0.019,1.527,0.033,0.13,0.218,0.0,0.012,8.9,0.8
Lao PDR,H100101,1986-04-22,1986,4,22,28.0,7.9,6.0,25.5,1.48,0.385,0.45,0.042,2.056,0.262,0.006,0.008,0.036,0.042,7.82,1.4
Lao PDR,H100101,2004-05-17,2004,5,17,30.0,8.32,21.0,22.0,1.48,0.521,0.028,0.007,1.7,0.104,0.333,0.234,0.096,0.074,6.4,2.351
Lao PDR,H100101,1987-12-15,1987,12,15,19.1,7.14,6.0,23.1,1.44,0.572,0.316,0.02,2.173,0.127,0.175,0.029,0.004,0.014,7.88,0.6
Lao PDR,H100101,1997-03-13,1997,3,13,24.8,8.0,5.0,26.3,1.722,0.574,0.45,0.045,2.139,0.271,0.296,0.029,0.273,0.022,7.6,1.1
Lao PDR,H100101,1991-02-18,1991,2,18,22.4,8.01,6.0,26.2,1.512,0.378,0.43,0.02,1.695,0.16,0.393,0.007,0.023,0.021,6.99,0.1
Lao PDR,H100101,2002-04-13,2002,4,13,26.5,7.8,35.0,28.0,1.773,0.53,0.088,0.007,2.291,0.318,0.508,0.189,0.032,0.026,7.54,1.8
Lao PDR,H100101,2004-02-19,2004,2,19,20.4,8.73,22.0,26.4,1.935,0.483,0.13,0.004,2.261,0.257,0.298,0.068,0.029,0.02,7.18,1.557
Lao PDR,H100101,2001-12-16,2001,12,16,20.8,8.7,35.0,21.0,1.452,0.263,0.063,0.021,1.728,0.095,0.14,0.05,0.035,0.025,7.39,1.2
Lao PDR,H100101,2003-05-16,2003,5,16,28.2,7.41,23.0,25.0,1.782,0.575,0.102,0.045,2.243,0.265,0.142,0.127,0.058,0.027,6.98,0.5
Lao PDR,H100101,2001-11-16,2001,11,16,21.5,8.8,75.0,20.9,1.445,0.183,0.058,0.018,1.739,0.091,0.137,0.049,0.032,0.027,7.451,1.0
Lao PDR,H100101,1992-08-14,1992,8,14,27.2,7.92,108.0,19.3,1.223,0.305,0.153,0.051,1.385,0.135,0.287,0.32,0.022,0.265,6.86,2.1
Lao PDR,H100101,2010-08-17,2010,8,17,26.6,6.98,204.0,16.8,1.096,0.418,0.228,0.036,1.543,0.091,0.184,0.198,0.104,0.055,6.43,4.9
Lao PDR,H100101,1989-12-17,1989,12,17,19.0,8.32,2.0,24.2,1.64,0.415,0.37,0.007,1.882,0.048,0.315,0.011,0.03,0.018,7.76,0.5
Lao PDR,H100101,2001-08-17,2001,8,17,28.6,8.96,140.0,17.0,1.111,0.556,0.056,0.01,1.605,0.019,0.166,0.314,0.035,0.03,8.76,2.6
Lao PDR,H100101,1992-07-17,1992,7,17,27.2,7.85,58.0,20.0,1.384,0.345,0.138,0.06,1.426,0.122,0.296,0.22,0.236,0.14,7.78,2.1
Lao PDR,H100101,1990-01-18,1990,1,18,22.7,7.81,11.0,26.0,1.311,0.797,0.175,0.023,1.64,0.048,0.521,0.104,0.043,0.023,6.81,0.3
Lao PDR,H100101,2001-06-19,2001,6,19,28.2,7.95,66.0,23.0,1.1,0.408,0.06,0.013,1.292,0.026,0.213,0.136,0.038,0.054,8.01,0.8
Lao PDR,H100101,1996-06-13,1996,6,13,29.4,7.75,53.0,20.1,1.528,0.509,0.386,0.044,1.759,0.275,0.3,0.077,0.023,0.04,7.6,1.6
Lao PDR,H100101,1987-11-12,1987,11,12,22.9,7.75,248.0,15.9,0.78,0.656,0.22,0.048,1.526,0.067,0.184,0.091,0.022,0.052,7.0,3.5
Lao PDR,H100101,1992-03-17,1992,3,17,22.4,7.94,4.0,25.2,1.917,0.479,0.06,0.035,2.368,0.121,0.222,0.004,0.025,0.066,8.45,1.3
Lao PDR,H100101,1994-12-13,1994,12,13,20.3,7.9,30.0,20.8,1.248,0.388,0.3,0.088,1.568,0.216,0.254,0.07,0.058,0.061,7.78,1.1
Lao PDR,H100101,2011-06-14,2011,6,14,30.0,7.65,173.0,23.8,1.34,0.601,0.435,0.049,1.583,0.292,0.441,0.427,0.013,0.068,5.9,1.721
Lao PDR,H100101,1993-06-15,1993,6,15,25.8,7.39,11.0,20.6,1.663,0.259,0.122,0.051,1.668,0.094,0.355,0.073,0.086,0.036,8.16,1.9
Lao PDR,H100101,2010-06-16,2010,6,16,29.8,7.44,46.0,21.71,1.342,0.471,0.398,0.046,1.832,0.154,0.247,0.321,0.03,0.042,6.26,2.646
Lao PDR,H100101,2003-12-16,2003,12,16,22.0,6.4,63.0,23.89,1.807,0.328,0.306,0.031,2.054,0.113,0.271,0.026,0.057,0.019,7.18,0.6
Lao PDR,H100101,2014-05-20,2014,5,20,29.0,6.25,7.7,23.7,1.62,0.48,0.37,0.05,1.98,0.25,0.13,0.46,0.02,0.01,5.7,1.6
Lao PDR,H100101,2009-12-16,2009,12,16,19.4,7.68,7.0,23.9,1.537,0.646,0.348,0.02,2.138,0.171,0.139,0.017,0.021,0.037,8.23,0.46
Lao PDR,H100101,1995-05-15,1995,5,15,28.0,7.62,8.0,25.7,1.67,0.395,0.593,0.049,2.028,0.257,0.246,0.119,0.023,0.026,8.72,1.5
Lao PDR,H100101,1992-11-15,1992,11,15,21.2,8.84,10.0,20.6,1.36,0.442,0.201,0.045,1.703,0.11,0.404,0.245,0.027,0.011,8.13,0.1
Lao PDR,H100101,2015-04-26,2015,4,26,22.4,8.3,12.0,23.7,1.25,0.7572016460905349,0.4347826086956521,0.041025641025641,2.28,0.2704225352112676,0.125,0.29,0.01,0.03,6.75,3.0
Lao PDR,H100101,2007-04-23,2007,4,23,29.0,7.57,8.0,25.4,1.601,0.44,0.328,0.012,2.091,0.209,0.269,0.302,0.027,0.048,7.065,2.46
Lao PDR,H100101,2006-12-18,2006,12,18,21.8,8.33,4.0,25.4,1.75,0.388,0.393,0.024,2.115,0.174,0.277,0.01,0.025,0.025,7.8,1.0
Lao PDR,H100101,2015-06-28,2015,6,28,28.1,7.59,41.0,20.8,1.4,0.4279835390946502,0.2782608695652174,0.0538461538461538,1.84,0.1211267605633802,0.0729166666666666,0.05,0.03,0.04,6.75,2.8
Lao PDR,H100101,2009-04-20,2009,4,20,27.8,7.3,23.0,21.77,1.41,0.463,0.31,0.032,1.863,0.128,0.187,0.357,0.016,0.041,6.68,3.1
