MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H020106,2000-09-29,2000,9,29,31.7,7.3,6.67,9.52,0.538,0.242,0.2,0.03,0.808,0.032,0.127,0.07,0.03,0.01,7.258,4.62
Cambodia,H020106,1995-12-21,1995,12,21,27.8,7.41,2.7,7.9,0.401,0.16,0.17,0.04,0.603,0.085,0.134,0.032,0.008,0.03,6.81,4.3
Cambodia,H020106,1996-05-29,1996,5,29,29.8,6.78,270.0,5.3,0.132,0.13,0.32,0.1,0.386,0.189,0.06,0.343,0.08,0.16,6.26,4.3
Cambodia,H020106,2011-02-24,2011,2,24,27.4,6.63,41.0,9.38,0.2064516129032258,0.2501240694789081,0.3768,0.054,0.4505867014341592,0.1908876669285153,0.266717,0.1383194999999999,0.217002,0.087542,5.664075022252576,4.336886993603409
Cambodia,H020106,1997-02-17,1997,2,17,30.4,6.91,3.0,7.0,0.29,0.184,0.23,0.04,0.587,0.074,0.034,0.02,0.07,0.02,6.29,5.6
Cambodia,H020106,2008-05-28,2008,5,28,31.0,7.41,42.666666666666686,15.03,0.6034854771784235,0.4282157676348546,0.367,0.05415,0.9719008264462812,0.1405571635311143,0.3079182000000001,0.106,0.00517214,0.0949350999999999,6.595626571449079,2.8
Cambodia,H020106,2006-01-21,2006,1,21,30.0,7.22,15.0,8.39,0.438,0.128,0.268,0.0448,0.5598,0.06,0.19,0.005,0.1961,0.0535,6.441,5.363
Cambodia,H020106,2008-03-14,2008,3,14,29.8,7.5,68.66666666666669,8.88,0.3463917525773196,0.2432989690721649,0.3004,0.0411,0.584974958263773,0.1398626671485363,0.2042847,0.14198,0.1501159999999999,0.1156232,8.04,2.446982055464926
Cambodia,H020106,2008-10-22,2008,10,22,30.5,6.78,8.99999999999998,8.36,0.5460101867572156,0.1426146010186756,0.1563999999999999,0.0253,0.7273311897106111,0.0708225746956842,0.1251609,0.0054644999999999,0.042611,0.0702087999999999,4.73,2.1684081130915787
Cambodia,H020106,2012-12-24,2012,12,24,28.0,6.92,20.000000000000018,8.76,0.4154209284028325,0.1718332022029898,0.2039454,0.064082,0.5817840375586855,0.2120569317093198,0.1151629999999999,0.0245323,0.0393723999999999,0.0399591999999999,6.13429815757232,4.006849315068491
