MC,STATID,SDATE,Y,M,D,TEMP_°C,pH,TSS_mg_L,COND_mS_m,Ca_meq_L,Mg_meq_L,Na_meq_L,K_meq_L,ALK_meq_L,Cl_meq_L,SO4_meq_L,NO32_mg_L,NH4N_mg_L,TOTP_mg_L,DO_mg_L,CODMN_mg_L
Cambodia,H014901,1995-08-27,1995,8,27,27.6,7.46,235.0,7.9,0.499,0.157,0.13,0.04,0.667,0.055,0.066,0.18,0.03,0.04,6.83,1.1
Cambodia,H014901,1995-09-14,1995,9,14,29.8,7.67,140.0,9.0,0.581,0.163,0.14,0.03,0.767,0.049,0.069,0.138,0.02,0.03,6.31,1.3
Cambodia,H014901,1995-10-16,1995,10,16,27.6,7.48,302.5,10.3,0.623,0.189,0.19,0.04,0.823,0.096,0.068,0.214,0.004,0.24,7.31,1.5
Cambodia,H014901,1995-11-19,1995,11,19,27.5,7.61,54.0,14.2,0.517,0.551,0.31,0.03,1.039,0.202,0.136,0.182,0.02,0.04,7.46,1.2
Cambodia,H014901,1996-01-21,1996,1,21,27.2,8.4,10.0,17.4,0.993,0.405,0.35,0.03,1.343,0.181,0.175,0.1,0.01,0.02,7.15,0.8
Cambodia,H014901,1996-03-15,1996,3,15,29.8,7.05,9.0,19.7,1.093,0.423,0.39,0.03,1.505,0.216,0.245,0.274,0.1,0.02,6.6,3.2
Cambodia,H014901,1996-04-18,1996,4,18,30.5,7.27,6.0,20.2,1.036,0.488,0.4,0.04,1.5,0.256,0.255,0.065,0.01,0.009,7.18,3.2
Cambodia,H014901,1996-05-29,1996,5,29,30.0,7.13,103.0,16.1,0.862,0.346,0.42,0.04,1.145,0.188,0.222,0.097,0.04,0.01,6.42,2.2
Cambodia,H014901,1996-06-16,1996,6,16,30.5,6.52,55.0,11.7,0.579,0.256,0.26,0.04,0.786,0.163,0.165,0.237,0.049,0.03,6.88,2.6
Cambodia,H014901,1996-07-16,1996,7,16,30.0,7.11,150.0,13.6,0.655,0.257,0.37,0.04,0.918,0.243,0.152,0.141,0.02,0.02,7.0,1.6
Cambodia,H014901,1996-08-16,1996,8,16,31.0,6.97,188.0,8.1,0.505,0.198,0.16,0.01,0.695,0.055,0.08,0.143,0.04,0.02,7.12,1.2
Cambodia,H014901,1996-10-16,1996,10,16,29.5,6.87,6.0,8.6,0.436,0.221,0.2,0.03,0.698,0.089,0.053,0.016,0.02,0.006,6.92,1.8
Cambodia,H014901,1996-11-17,1996,11,17,28.0,6.87,132.0,10.4,0.469,0.187,0.26,0.03,0.742,0.173,0.054,0.151,0.13,0.02,7.35,4.1
Cambodia,H014901,1996-12-15,1996,12,15,26.4,6.75,112.0,13.5,0.612,0.29,0.36,0.04,0.921,0.275,0.123,0.164,0.02,0.02,7.72,1.6
Cambodia,H014901,1997-01-16,1997,1,16,26.0,7.56,6.0,16.0,0.886,0.383,0.32,0.03,1.242,0.169,0.177,0.16,0.1,0.01,7.82,1.4
Cambodia,H014901,1997-02-17,1997,2,17,30.0,6.66,70.0,17.5,0.976,0.4,0.36,0.03,1.33,0.195,0.197,0.02,0.07,0.01,7.1,1.5
Cambodia,H014901,1997-03-19,1997,3,19,29.0,7.1,37.0,18.3,0.942,0.464,0.4,0.04,1.382,0.226,0.198,0.01,0.05,0.02,7.14,2.5
Cambodia,H014901,1997-04-19,1997,4,19,30.0,6.81,44.0,19.2,0.919,0.502,0.43,0.05,1.356,0.272,0.222,0.08,0.04,0.01,7.45,1.6
Cambodia,H014901,1997-05-16,1997,5,16,30.0,7.53,3.3,19.2,0.924,0.517,0.43,0.05,1.327,0.277,0.242,0.1,0.02,0.01,6.98,1.1
Cambodia,H014901,1997-06-12,1997,6,12,30.0,7.06,74.0,15.1,0.88,0.422,0.37,0.04,0.982,0.23,0.374,0.21,0.06,0.01,7.14,2.9
Cambodia,H014901,1997-07-16,1997,7,16,28.5,7.26,210.0,8.6,0.625,0.193,0.2,0.05,0.593,0.075,0.124,0.012,0.03,0.04,7.36,2.7
Cambodia,H014901,1997-08-18,1997,8,18,28.3,7.19,118.0,7.3,0.409,0.256,0.19,0.03,0.621,0.082,0.064,0.11,0.05,0.03,7.59,3.8
Cambodia,H014901,1997-09-16,1997,9,16,28.5,7.38,183.3,10.0,0.711,0.333,0.18,0.04,0.895,0.087,0.065,0.12,0.14,0.02,8.01,1.1
Cambodia,H014901,1997-10-17,1997,10,17,28.7,7.69,282.5,9.9,0.485,0.234,0.23,0.04,0.757,0.065,0.143,0.78,0.04,0.04,7.45,1.7
Cambodia,H014901,1997-11-20,1997,11,20,28.5,7.1,74.0,15.1,1.055,0.348,0.22,0.04,1.193,0.123,0.282,0.27,0.21,0.03,7.76,1.8
Cambodia,H014901,1997-12-26,1997,12,26,28.0,7.72,12.0,17.2,1.14,0.522,0.2,0.03,1.423,0.141,0.235,0.08,0.01,0.01,8.29,1.1
Cambodia,H014901,1998-01-22,1998,1,22,29.0,8.15,29.0,19.0,1.158,0.641,0.23,0.03,1.519,0.179,0.253,0.07,0.04,0.01,7.51,1.0
Cambodia,H014901,1998-02-18,1998,2,18,29.0,8.14,7.3,20.0,1.245,0.602,0.35,0.03,1.525,0.202,0.382,0.02,0.04,0.01,7.31,1.7
Cambodia,H014901,1998-03-24,1998,3,24,30.8,8.24,50.0,20.2,1.184,0.641,0.31,0.04,1.569,0.256,0.228,0.65,0.09,0.02,7.58,1.6
